IDLE,Mbps,Stack,Timestamp,TmrSvc,esp_timer,experiment_runn,ipc0,ipc1,measurer,sys_evt,tiT,wifi
301661541,7.55,4004,359,18,624085,16920354,27228,44070,2383089,14416,126278996,49462249
3591611,0.01,4116,0,18,3687,578,27228,44090,4603,14460,7800,710551
4587991,0.00,4116,1,18,5102,5908,27228,44090,18719,14460,10288,723897
5573277,0.00,4116,2,18,6349,5908,27228,44090,25449,14460,11233,736902
7058826,8.61,4116,3,18,7841,60462,27228,44090,32612,14460,379571,882413
7712596,7.82,4116,4,18,9782,105553,27228,44090,37598,14460,718378,1018905
8044586,8.36,4116,5,18,11569,150937,27228,44090,42809,14460,1078639,1158916
8892857,7.55,4116,6,18,13189,194343,27228,44090,49698,14460,1399746,1282219
9642542,8.70,4116,7,18,14813,243533,27228,44090,56934,14460,1767729,1421102
10271389,8.56,4116,8,18,16667,292189,27228,44090,61390,14460,2136221,1563806
11365495,8.60,4116,9,18,18276,339695,27228,44090,66763,14460,2504284,1706739
12196952,8.20,4116,10,18,20269,384512,27228,44090,74373,14460,2849746,1841301
12222997,7.49,4116,11,18,21899,430768,27228,44090,79784,14460,3173673,1960024
13889011,8.02,4116,12,18,23428,477597,27228,44090,86588,14460,3517973,2089009
13454038,9.62,4116,13,18,24969,531545,27228,44090,92428,14460,3925571,2247405
15533005,7.72,4116,14,18,26768,577012,27228,44090,98704,14460,4256201,2374126
16365587,8.54,4116,15,18,28414,629518,27228,44090,105111,14460,4621459,2503523
15371893,8.56,4116,16,18,30122,677206,27228,44090,112943,14460,4984365,2646120
16020639,7.89,4116,17,18,31895,723863,27228,44090,118084,14460,5327032,2778749
16664389,8.33,4116,18,18,33770,772070,27228,44090,123259,14460,5681725,2915070
17308503,8.09,4116,19,18,35540,816545,27228,44090,130691,14460,6025483,3046560
20532061,8.85,4116,20,18,36933,867590,27228,44090,138030,14460,6400888,3182889
21371163,7.85,4116,21,18,38769,914286,27228,44090,142758,14460,6739710,3314959
22192682,8.63,4116,22,18,40434,962659,27228,44090,149809,14460,7107305,3457142
19845349,8.48,4116,23,18,42305,1009035,27228,44090,157193,14460,7463162,3590969
23861799,7.67,4116,24,18,44144,1051477,27228,44090,162105,14460,7794600,3722794
24703073,7.55,4116,25,18,45726,1091802,27228,44090,169509,14460,8113477,3849775
25510584,9.71,4116,26,18,47423,1145749,27228,44090,175398,14460,8524961,4007858
26357323,7.23,4116,27,18,48974,1188914,27228,44090,182795,14460,8833174,4127443
27176156,8.93,4116,28,18,50696,1237916,27228,44090,187760,14460,9212288,4273926
23724654,8.31,4116,29,18,52419,1283146,27228,44090,195625,14460,9561929,4410594
24364085,8.32,4116,30,18,54200,1329766,27228,44090,200818,14460,9917404,4548404
29664343,8.14,4116,31,18,55753,1377688,27228,44090,206547,14460,10268477,4677907
30504844,7.55,4116,32,18,57562,1420863,27228,44090,213956,14460,10589967,4803623
26308846,8.69,4116,33,18,59369,1469403,27228,44090,221782,14460,10957832,4948582
32143063,8.54,4116,34,18,61204,1518151,27228,44090,226866,14460,11326191,5092937
32991967,7.63,4116,35,18,62803,1559625,27228,44090,231777,14460,11648589,5219168
28224614,9.13,4116,36,18,64508,1609737,27228,44090,238993,14460,12033980,5361946
28871201,8.23,4116,37,18,66459,1656546,27228,44090,245544,14460,12382250,5500107
35489020,7.34,4116,38,18,68063,1698621,27228,44090,250247,14460,12700183,5625264
36321231,8.87,4116,39,18,69415,1748990,27228,44090,257193,14460,13074579,5760421
37158890,8.38,4116,40,18,71095,1795278,27228,44090,261723,14460,13432285,5899493
37979506,8.63,4116,41,18,72648,1844244,27228,44090,269128,14460,13798973,6041219
38823848,7.55,4116,42,18,74306,1887101,27228,44090,276522,14460,14118956,6164311
32715374,9.25,4116,43,18,75729,1939382,27228,44090,283998,14460,14508832,6307929
40478212,8.10,4116,44,18,77628,1985871,27228,44090,288704,14460,14853644,6443154
41307649,8.49,4116,45,18,79147,2036320,27228,44090,292530,14460,15222971,6586814
42159618,7.17,4116,46,18,80732,2076655,27228,44090,299939,14460,15526689,6702734
35297999,9.22,4116,47,18,82295,2126304,27228,44090,307894,14460,15913322,6846833
43806903,8.39,4116,48,18,84034,2172809,27228,44090,312663,14460,16274526,6988164
44625424,8.63,4116,49,18,86000,2220746,27228,44090,319556,14460,16641147,7132351
37225897,7.88,4116,50,18,87699,2264807,27228,44090,327384,14460,16973389,7260858
46294903,8.26,4116,51,18,89431,2310931,27228,44090,332208,14460,17329795,7398060
47134138,7.55,4116,52,18,91475,2353842,27228,44090,339613,14460,17650215,7524039
39170247,8.80,4116,53,18,92858,2405510,27228,44090,345003,14460,18025591,7668237
48791301,8.39,4116,54,18,94361,2452728,27228,44090,352251,14460,18382433,7805938
49618706,8.65,4116,55,18,96182,2501396,27228,44090,357421,14460,18750859,7947121
50443808,8.34,4116,56,18,97955,2547975,27228,44090,364814,14460,19105623,8086579
41717488,8.22,4116,57,18,99631,2594968,27228,44090,372461,14460,19453561,8222671
52107783,8.20,4116,58,18,101291,2642808,27228,44090,376931,14460,19808179,8355984
52945044,7.80,4116,59,18,102907,2686650,27228,44090,384326,14460,20139161,8482792
43641857,8.89,4116,60,18,104735,2735423,27228,44090,390726,14460,20514624,8625903
54603925,8.09,4116,61,18,106770,2781078,27228,44090,395296,14460,20865206,8762352
55427729,8.63,4116,62,18,108419,2830675,27228,44090,402705,14460,21231922,8900765
45566061,8.41,4116,63,18,110149,2877835,27228,44090,410096,14460,21586945,9035714
57092766,7.74,4116,64,18,112042,2921882,27228,44090,416180,14460,21921404,9164828
46897775,7.71,4116,65,18,113812,2965470,27228,44090,424172,14460,22246859,9293561
58781042,7.86,4116,66,18,115234,3013463,27228,44090,427825,14460,22588890,9417464
59597942,9.18,4116,67,18,116808,3066368,27228,44090,435226,14460,22977626,9560459
60418734,8.63,4116,68,18,118246,3114665,27228,44090,442633,14460,23344737,9705051
49420111,8.63,4116,69,18,120101,3163597,27228,44090,449798,14460,23711703,9841692
62098005,7.55,4116,70,18,121717,3207436,27228,44090,457020,14460,24033456,9961034
62919629,8.63,4116,71,18,123638,3254684,27228,44090,464104,14460,24398269,10101074
51369659,8.14,4116,72,18,125234,3301007,27228,44090,471510,14460,24744386,10235385
51994579,8.72,4116,73,18,126821,3348259,27228,44090,477743,14460,25116516,10382062
52678763,7.26,4116,74,18,128508,3391666,27228,44090,484239,14460,25428760,10502261
66232589,9.20,4116,75,18,130219,3443688,27228,44090,489938,14460,25825355,10651235
