IDLE,Mbps,Stack,Timestamp,TmrSvc,esp_timer,experiment_runn,ipc0,ipc1,measurer,sys_evt,tiT,wifi
300541779,13.29,4116,358,18,641642,17011370,27228,44082,2303468,14472,126353840,49789399
301421061,5.39,4116,359,18,643402,17044427,27228,44082,2311382,14472,126585771,49885047
3578940,0.01,4116,0,18,3957,573,27228,44086,4604,14378,7768,713289
4575289,0.00,4116,1,18,5459,5896,27228,44086,18712,14378,10210,727110
6419180,0.00,4116,2,18,6679,5896,27228,44086,25412,14378,11990,739384
6397857,7.55,4116,3,18,8335,60050,27228,44086,32048,14378,337441,865676
7703426,8.93,4116,4,18,10171,109531,27228,44086,39370,14378,712656,1013165
8043736,7.75,4116,5,18,12058,154877,27228,44086,43148,14378,1049748,1144618
8862964,8.75,4116,6,18,13788,207492,27228,44086,50376,14378,1421703,1281707
9623969,8.50,4116,7,18,15669,253182,27228,44086,55123,14378,1780516,1425479
10519110,8.09,4116,8,18,17368,300845,27228,44086,60844,14378,2128984,1560449
11467730,2.11,4116,9,18,18935,316218,27228,44086,67096,14378,2220947,1599538
12232142,11.87,4116,10,18,20616,381181,27228,44086,74726,14378,2720131,1785482
13008729,11.19,4116,11,18,22320,447047,27228,44086,79990,14378,3202068,1963628
13863555,6.68,4116,12,18,23849,487491,27228,44086,87378,14378,3488115,2076245
14672081,9.49,4116,13,18,25754,542794,27228,44086,93699,14378,3891254,2228595
15488152,8.63,4116,14,18,27670,593585,27228,44086,101014,14378,4260046,2372630
14756601,8.12,4116,15,18,29646,638118,27228,44086,108849,14378,4602917,2511491
15389562,8.68,4116,16,18,31456,685541,27228,44086,114199,14378,4973344,2655178
17983909,7.96,4116,17,18,33415,730930,27228,44086,118071,14378,5318497,2795141
18807122,8.63,4116,18,18,35091,781216,27228,44086,123644,14378,5686742,2937091
17316635,8.51,4116,19,18,36864,826732,27228,44086,131054,14378,6042804,3074750
17979066,7.85,4116,20,18,38960,871417,27228,44086,136009,14378,6380900,3208885
21295897,8.40,4116,21,18,40667,918538,27228,44086,142341,14378,6742906,3348135
22121676,8.39,4116,22,18,42492,964756,27228,44086,149738,14378,7094317,3485465
22961217,7.76,4116,23,18,44279,1007141,27228,44086,153471,14378,7428680,3617501
23781926,8.63,4116,24,18,46064,1056152,27228,44086,160872,14378,7795641,3758706
21182971,8.52,4116,25,18,47879,1103514,27228,44086,168723,14378,8153255,3900979
25434103,8.21,4116,26,18,49712,1149703,27228,44086,172547,14378,8509747,4040144
26275605,7.52,4116,27,18,51676,1193183,27228,44086,177437,14378,8831774,4171412
23111645,9.03,4116,28,18,53445,1245391,27228,44086,184628,14378,9215673,4322391
23754127,8.29,4116,29,18,55694,1293114,27228,44086,190215,14378,9569614,4460361
24403353,8.13,4116,30,18,57485,1337018,27228,44086,194171,14378,9920094,4601788
29566722,8.41,4116,31,18,59454,1386091,27228,44086,198657,14378,10286513,4745505
25671957,8.53,4116,32,18,61355,1432299,27228,44086,206290,14378,10647357,4888880
31223585,7.60,4116,33,18,63408,1477189,27228,44086,211024,14378,10977527,5018259
26990393,8.10,4116,34,18,65304,1521504,27228,44086,218431,14378,11322758,5150820
27614216,8.61,4116,35,18,67120,1571977,27228,44086,225685,14378,11688178,5292228
33702871,8.67,4116,36,18,69013,1621614,27228,44086,230053,14378,12060180,5434790
34535906,7.97,4116,37,18,71026,1666346,27228,44086,233802,14378,12406582,5573365
35356936,8.63,4116,38,18,72905,1714276,27228,44086,241191,14378,12773720,5717842
36192789,7.55,4116,39,18,74712,1757650,27228,44086,248582,14378,13097079,5846859
37004570,8.69,4116,40,18,76591,1807843,27228,44086,255989,14378,13466394,5996807
37832897,8.41,4116,41,18,78395,1856696,27228,44086,261270,14378,13826096,6137196
38660632,8.44,4116,42,18,79955,1904905,27228,44086,265752,14378,14191471,6277564
32729946,8.07,4116,43,18,81511,1949787,27228,44086,273542,14378,14533183,6409153
40320064,8.40,4116,44,18,83447,1998633,27228,44086,280168,14378,14895173,6548448
41149828,8.03,4116,45,18,85219,2043197,27228,44086,287554,14378,15233562,6681525
41972712,8.09,4116,46,18,87127,2090478,27228,44086,291598,14378,15585760,6823851
42789823,8.63,4116,47,18,88885,2141542,27228,44086,298995,14378,15955127,6969898
