IDLE,Mbps,Stack,Timestamp,TmrSvc,esp_timer,experiment_runn,ipc0,ipc1,measurer,sys_evt,tiT,wifi
300915987,6.65,4116,359,18,653429,16700876,27228,44064,2339324,14475,128232765,50680386
3538461,0.01,4116,0,18,3904,564,27228,44083,4614,14476,7851,712014
4534961,0.00,4116,1,18,5297,5892,27228,44083,18749,14476,10209,725916
5520450,0.00,4116,2,18,6554,5892,27228,44083,25454,14476,11232,738695
7041487,7.70,4116,3,18,8405,58734,27228,44083,32422,14476,340887,870438
7666799,8.87,4116,4,18,10219,110218,27228,44083,36305,14476,724619,1019276
8301076,8.59,4116,5,18,11999,158585,27228,44083,41098,14476,1091866,1162036
8839211,8.16,4116,6,18,13966,204053,27228,44083,44999,14476,1445180,1304256
9580028,8.59,4116,7,18,15916,250432,27228,44083,52604,14476,1807272,1446658
10500540,7.55,4116,8,18,17727,293844,27228,44083,57170,14476,2134368,1574822
11312278,8.63,4116,9,18,19689,342922,27228,44083,64412,14476,2503482,1723584
12129652,8.63,4116,10,18,21574,391389,27228,44083,71306,14476,2870354,1866363
12170764,7.75,4116,11,18,23451,434903,27228,44083,78859,14476,3197170,1996490
12810203,8.44,4116,12,18,25413,483482,27228,44083,83032,14476,3562906,2141299
13444560,8.51,4116,13,18,27256,531244,27228,44083,87224,14476,3927957,2283145
14071528,8.55,4116,14,18,28975,578559,27228,44083,93281,14476,4291994,2425731
16289693,7.60,4116,15,18,30840,623562,27228,44083,97397,14476,4623891,2557626
17104110,8.63,4116,16,18,32584,672569,27228,44083,104716,14476,4991489,2701380
16020394,8.09,4116,17,18,34593,717983,27228,44083,112623,14476,5331277,2833622
18771277,8.06,4116,18,18,36604,763635,27228,44083,117511,14476,5682121,2971383
19586915,8.63,4116,19,18,38155,813454,27228,44083,124922,14476,6051498,3119953
20405757,8.63,4116,20,18,40018,862782,27228,44083,132320,14476,6418623,3263615
21246583,7.55,4116,21,18,41769,905016,27228,44083,139718,14476,6740750,3389974
19245346,8.10,4116,22,18,43550,948210,27228,44083,147119,14476,7082819,3526979
22902743,8.06,4116,23,18,45562,995202,27228,44083,152165,14476,7432450,3665386
23718852,8.84,4116,24,18,47199,1044054,27228,44083,159572,14476,7805093,3811702
21148003,8.56,4116,25,18,48920,1091668,27228,44083,164143,14476,8170887,3952399
25374033,8.41,4116,26,18,50768,1139831,27228,44083,168985,14476,8535651,4095676
22411502,8.60,4116,27,18,52558,1187464,27228,44083,177006,14476,8898169,4239060
23067104,7.87,4116,28,18,54286,1233499,27228,44083,181117,14476,9237398,4373019
27857882,8.28,4116,29,18,56045,1281762,27228,44083,186433,14476,9595762,4509529
24369583,7.75,4116,30,18,57853,1325507,27228,44083,194347,14476,9920919,4636528
24982359,9.08,4116,31,18,59533,1377749,27228,44083,198081,14476,10316408,4788424
30360846,7.93,4116,32,18,61567,1422624,27228,44083,203357,14476,10657950,4921578
31171442,8.63,4116,33,18,63573,1471545,27228,44083,210756,14476,11027239,5070035
32010068,7.55,4116,34,18,65290,1515423,27228,44083,218140,14476,11349708,5197353
27594102,8.10,4116,35,18,66924,1560271,27228,44083,226047,14476,11691192,5331939
33670564,8.05,4116,36,18,68792,1606006,27228,44083,230072,14476,12039177,5469278
34482220,8.86,4116,37,18,70416,1655418,27228,44083,235261,14476,12418087,5617739
35306614,8.61,4116,38,18,72107,1705321,27228,44083,242284,14476,12785443,5761087
36134906,8.34,4116,39,18,73883,1751389,27228,44083,247533,14476,13140289,5902745
36953801,8.63,4116,40,18,75880,1799244,27228,44083,254832,14476,13507368,6045416
37790570,7.55,4116,41,18,77990,1841304,27228,44083,262227,14476,13828549,6176540
32081236,8.27,4116,42,18,79791,1885804,27228,44083,269769,14476,14176390,6316120
32709495,8.54,4116,43,18,81618,1935658,27228,44083,274499,14476,14545935,6459881
33329218,8.79,4116,44,18,83268,1985718,27228,44083,279770,14476,14921823,6606114
41085995,7.80,4116,45,18,85151,2032355,27228,44083,284762,14476,15260879,6742952
41901925,8.63,4116,46,18,87138,2080475,27228,44083,292160,14476,15628306,6889815
42734014,7.55,4116,47,18,88942,2122092,27228,44083,299562,14476,15950007,7022052
35938523,8.23,4116,48,18,90579,2166766,27228,44083,307398,14476,16296656,7158018
36583720,8.23,4116,49,18,92554,2212421,27228,44083,312564,14476,16647280,7296467
45211201,8.78,4116,50,18,94341,2261999,27228,44083,316623,14476,17027987,7446399
37842737,8.59,4116,51,18,95932,2309034,27228,44083,322657,14476,17389553,7586002
46873498,8.14,4116,52,18,97888,2355019,27228,44083,327846,14476,17741117,7720625
47684956,8.63,4116,53,18,99688,2405125,27228,44083,335254,14476,18109128,7869938
48519572,7.55,4116,54,18,101503,2447821,27228,44083,342646,14476,18431134,8000129
49345965,8.19,4116,55,18,103457,2494532,27228,44083,350506,14476,18778346,8139097
50173649,8.62,4116,56,18,105315,2542484,27228,44083,354481,14476,19148346,8284435
41697095,8.54,4116,57,18,107215,2588706,27228,44083,361678,14476,19507744,8426773
51833278,8.09,4116,58,18,108847,2634926,27228,44083,367000,14476,19856362,8562137
52667776,8.48,4116,59,18,110496,2681194,27228,44083,370636,14476,20224283,8707300
43626633,8.25,4116,60,18,112468,2726488,27228,44083,378205,14476,20574812,8845957
54333524,7.55,4116,61,18,114359,2769309,27228,44083,384412,14476,20896370,8978174
44918258,8.63,4116,62,18,115890,2819965,27228,44083,390419,14476,21269381,9122524
55968247,8.96,4116,63,18,117651,2870430,27228,44083,395838,14476,21654550,9271753
46173398,8.25,4116,64,18,119605,2918224,27228,44083,403713,14476,22004775,9405741
57632517,7.90,4116,65,18,121388,2964292,27228,44083,407862,14476,22348189,9538781
58457725,8.63,4116,66,18,123166,3011873,27228,44083,414816,14476,22715264,9681894
59281191,8.28,4116,67,18,124762,3057687,27228,44083,422203,14476,23066818,9821595
60120800,7.90,4116,68,18,126779,3101219,27228,44083,428232,14476,23403005,9953046
49426491,7.84,4116,69,18,128814,3143277,27228,44083,436039,14476,23732424,10088003
61777840,9.01,4116,70,18,130409,3193392,27228,44083,440207,14476,24120211,10235651
50680207,8.45,4116,71,18,131911,3240309,27228,44083,445856,14476,24476086,10371276
63438402,8.09,4116,72,18,133869,3287601,27228,44083,451322,14476,24825997,10508795
64284386,7.55,4116,73,18,135447,3331347,27228,44083,458646,14476,25149050,10633680
65098821,8.63,4116,74,18,137232,3379680,27228,44083,466045,14476,25517966,10780773
53262757,8.41,4116,75,18,139357,3426958,27228,44083,473460,14476,25875928,10924511
66738184,8.84,4116,76,18,141222,3474913,27228,44083,479164,14476,26251907,11069614
54528765,8.45,4116,77,18,142963,3520647,27228,44083,486580,14476,26607838,11208431
68402546,7.77,4116,78,18,144739,3565678,27228,44083,491296,14476,26944342,11340431
55860748,7.55,4116,79,18,146250,3612491,27228,44083,497487,14476,27270223,11465879
70064664,8.52,4116,80,18,147990,3667478,27228,44083,504659,14476,27637175,11605435
70873179,8.85,4116,81,18,149648,3726496,27228,44083,512042,14476,28019496,11750317
71701402,8.36,4116,82,18,151345,3780058,27228,44083,516927,14476,28380749,11889042
72521838,8.53,4116,83,18,152826,3834913,27228,44083,522804,14476,28747464,12026945
58997841,8.19,4116,84,18,154407,3887669,27228,44083,528616,14476,29097502,12161803
74182553,8.11,4116,85,18,156374,3935318,27228,44083,533446,14476,29449351,12300009
75026921,7.55,4116,86,18,158124,3976804,27228,44083,540406,14476,29768807,12429718
60903406,9.24,4116,87,18,159922,4030546,27228,44083,547949,14476,30162679,12584959
61567063,7.67,4116,88,18,161934,4073229,27228,44083,553530,14476,30491359,12718339
62182103,8.82,4116,89,18,163813,4125283,27228,44083,558571,14476,30866492,12866567
78318854,8.15,4116,90,18,165376,4174804,27228,44083,562289,14476,31222504,13004357
79150617,8.12,4116,91,18,167241,4222103,27228,44083,569647,14476,31566094,13139033
79982291,8.52,4116,92,18,168852,4271575,27228,44083,573541,14476,31935555,13282793
80800871,8.63,4116,93,18,170661,4319318,27228,44083,580756,14476,32301009,13427121
81647845,7.59,4116,94,18,172371,4361516,27228,44083,587833,14476,32621889,13553202
82473575,8.56,4116,95,18,174173,4408825,27228,44083,593144,14476,32989746,13696380
83298359,8.63,4116,96,18,175772,4457232,27228,44083,600803,14476,33355221,13833553
84135385,7.76,4116,97,18,177391,4506309,27228,44083,608457,14476,33686273,13959545
68045475,6.13,4116,98,18,178677,4551883,27228,44083,614554,14476,33954283,14065320
85858771,6.85,4116,99,18,180156,4597838,27228,44083,622158,14476,34248696,14172980
69507432,5.19,4116,100,18,181625,4637968,27228,44083,629677,14476,34474162,14259707
69993745,11.79,4116,101,18,183089,4710054,27228,44083,635983,14476,34978661,14438437
88280465,11.83,4116,102,18,184739,4782552,27228,44083,641025,14476,35486130,14620023
71130216,7.96,4116,103,18,186511,4830205,27228,44083,649211,14476,35823162,14747701
71772858,8.19,4116,104,18,188475,4879969,27228,44083,654877,14476,36176437,14880056
90775303,8.64,4116,105,18,190058,4936926,27228,44083,662425,14476,36548130,15016689
91620726,7.55,4116,106,18,191704,4981273,27228,44083,670169,14476,36869548,15136177
92441319,8.39,4116,107,18,193310,5029639,27228,44083,677915,14476,37226686,15275932
74354317,8.22,4116,108,18,194817,5076853,27228,44083,684255,14476,37571619,15408680
75005241,7.95,4116,109,18,196229,5130789,27228,44083,690238,14476,37918700,15534994
94984010,6.42,4116,110,18,197728,5176019,27228,44083,697907,14476,38196331,15634341
95767212,11.06,4116,111,18,199123,5243378,27228,44083,705324,14476,38665930,15799703
96594393,8.33,4116,112,18,200818,5295582,27228,44083,712365,14476,39020265,15929635
77539717,7.87,4116,113,18,202514,5342554,27228,44083,716499,14476,39360684,16059717
78161823,8.51,4116,114,18,204551,5391652,27228,44083,724204,14476,39725245,16205977
99087393,8.66,4116,115,18,206248,5442875,27228,44083,729054,14476,40099780,16349636
79434680,8.02,4116,116,18,208206,5488405,27228,44083,737223,14476,40441562,16488775
80068593,8.43,4116,117,18,209961,5537691,27228,44083,742276,14476,40803771,16632183
101573710,8.26,4116,118,18,211809,5584337,27228,44083,746346,14476,41162174,16767922
102394611,8.63,4116,119,18,213497,5632827,27228,44083,753531,14476,41527651,16911774
82019124,7.43,4116,120,18,215346,5675640,27228,44083,761799,14476,41841444,17037367
104087249,7.06,4116,121,18,216948,5719123,27228,44083,767030,14476,42148103,17151559
104877094,10.29,4116,122,18,218787,5778124,27228,44083,774776,14476,42585157,17317752
83912475,8.09,4116,123,18,220736,5825123,27228,44083,783147,14476,42930467,17451357
106536314,8.09,4116,124,18,222527,5872980,27228,44083,789849,14476,43277878,17587228
107390179,7.55,4116,125,18,224121,5917901,27228,44083,797752,14476,43599979,17705316
85861101,8.54,4116,126,18,226002,5964022,27228,44083,805902,14476,43959119,17849093
86503854,8.37,4116,127,18,227952,6009853,27228,44083,811707,14476,44320189,17991805
87132355,8.70,4116,128,18,229873,6058822,27228,44083,817036,14476,44692248,18137877
87762508,8.64,4116,129,18,231541,6107819,27228,44083,822167,14476,45060896,18282450
88406672,8.31,4116,130,18,233736,6151801,27228,44083,826724,14476,45414477,18422201
112355598,7.98,4116,131,18,235559,6197653,27228,44083,831193,14476,45761765,18560614
113193844,7.55,4116,132,18,237376,6238337,27228,44083,838943,14476,46081235,18690225
114020031,8.59,4116,133,18,238997,6286257,27228,44083,846086,14476,46442083,18831216
91005045,8.40,4116,134,18,240857,6333021,27228,44083,851467,14476,46800856,18973282
115662494,8.84,4116,135,18,242675,6383574,27228,44083,856024,14476,47182980,19121139
116485270,8.63,4116,136,18,244401,6429781,27228,44083,863765,14476,47548633,19263136
117324531,7.55,4116,137,18,246247,6472528,27228,44083,871492,14476,47869678,19392016
93596594,7.76,4116,138,18,248040,6514354,27228,44083,879711,14476,48193743,19524037
118997618,8.39,4116,139,18,249868,6562279,27228,44083,883415,14476,48557650,19662718
94837137,9.09,4116,140,18,251258,6617733,27228,44083,891200,14476,48943616,19803478
120653116,8.14,4116,141,18,252966,6667370,27228,44083,896495,14476,49296610,19938615
121475410,8.63,4116,142,18,254892,6716956,27228,44083,903269,14476,49662932,20079252
122300898,8.32,4116,143,18,256562,6764912,27228,44083,911391,14476,50016675,20219091
123135167,7.81,4116,144,18,258524,6808594,27228,44083,916222,14476,50352253,20355818
98067269,8.22,4116,145,18,260421,6852700,27228,44083,924370,14476,50696873,20495220
98704477,8.32,4116,146,18,262355,6898630,27228,44083,928931,14476,51055139,20637639
99325016,8.74,4116,147,18,263919,6949922,27228,44083,934129,14476,51432251,20781655
126457178,8.09,4116,148,18,266048,6995254,27228,44083,940702,14476,51777721,20917390
127275169,8.61,4116,149,18,267802,7043203,27228,44083,949083,14476,52142310,21060854
101241646,8.38,4116,150,18,269342,7089550,27228,44083,955221,14476,52499223,21197937
101925041,7.34,4116,151,18,271107,7131738,27228,44083,962462,14476,52813817,21323182
129776586,8.46,4116,152,18,272758,7180409,27228,44083,966825,14476,53177625,21462157
130606024,8.41,4116,153,18,274444,7230249,27228,44083,971977,14476,53537484,21601785
131441562,8.35,4116,154,18,276185,7282822,27228,44083,977155,14476,53894872,21731002
132266814,8.61,4116,155,18,277923,7332809,27228,44083,984529,14476,54259987,21869826
133119612,6.73,4116,156,18,279316,7383031,27228,44083,990461,14476,54555112,21981131
133926681,9.43,4116,157,18,281306,7438322,27228,44083,995779,14476,54959244,22133722
134745093,8.63,4116,158,18,282893,7486799,27228,44083,1003623,14476,55326994,22276622
107036898,7.98,4116,159,18,284856,7531103,27228,44083,1011826,14476,55666211,22412885
107654197,8.76,4116,160,18,286567,7579900,27228,44083,1019030,14476,56040699,22558164
137226676,8.03,4116,161,18,288417,7627483,27228,44083,1023895,14476,56389889,22694937
138049816,8.63,4116,162,18,290146,7678151,27228,44083,1030761,14476,56758550,22836798
109644709,6.39,4116,163,18,291706,7719946,27228,44083,1039168,14476,57031608,22945500
139702628,9.95,4116,164,18,293201,7782941,27228,44083,1043685,14476,57463558,23111286
110869175,7.86,4116,165,18,294742,7827922,27228,44083,1048612,14476,57800135,23240864
111507392,8.36,4116,166,18,296582,7875912,27228,44083,1055301,14476,58154243,23383319
112129670,8.74,4116,167,18,298300,7930681,27228,44083,1060234,14476,58535716,23528347
143031105,8.19,4116,168,18,299620,7986040,27228,44083,1065950,14476,58891494,23651961
143854868,8.63,4116,169,18,301510,8037711,27228,44083,1073697,14476,59259679,23788240
144692170,7.55,4116,170,18,303157,8081959,27228,44083,1081533,14476,59581599,23912843
