IDLE,Mbps,Stack,Timestamp,TmrSvc,esp_timer,experiment_runn,ipc0,ipc1,measurer,sys_evt,tiT,wifi
284891240,8.99,4116,359,18,540273,22119961,27228,44084,2379603,14103,53685832,63193449
4469343,0.01,4116,0,18,3952,566,27228,44086,4647,14500,7727,712566
4633466,0.00,4116,1,18,5241,5937,27228,44086,19035,14500,10190,725837
5623381,0.00,4116,2,18,6526,5937,27228,44086,25704,14500,11135,737908
6398466,8.73,4116,3,18,8271,82915,27228,44086,31650,14500,177681,917133
7139630,7.76,4116,4,18,10192,142906,27228,44086,35682,14500,382395,1135856
8706106,9.43,4116,5,18,11872,208453,27228,44086,42921,14500,753483,1539736
8165516,9.27,4116,6,18,13696,272330,27228,44086,49433,14500,1188563,2022633
9815132,9.42,4116,7,18,15539,333683,27228,44086,56331,14500,1618873,2489581
9193764,7.02,4116,8,18,17555,380407,27228,44086,60785,14500,2017311,2919005
10022293,6.18,4116,9,18,19520,430521,27228,44086,68500,14500,2149296,3059233
11839797,12.60,4116,10,18,21269,518373,27228,44086,74198,14500,2552145,3486366
12404474,9.42,4116,11,18,23321,582700,27228,44086,81087,14500,2979584,3955408
12935818,9.11,4116,12,18,25336,643453,27228,44086,88235,14500,3430842,4449485
12044619,8.66,4116,13,18,27008,704807,27228,44086,93820,14500,3805641,4861351
12574433,9.25,4116,14,18,28801,772455,27228,44086,100880,14500,4194918,5280741
13034474,9.10,4116,15,18,30613,834084,27228,44086,106089,14500,4654254,5782852
15275386,9.11,4116,16,18,32520,900097,27228,44086,109694,14500,5044282,6211685
14022992,9.08,4116,17,18,34344,959252,27228,44086,116869,14500,5506278,6717279
14523945,8.71,4116,18,18,36368,1017037,27228,44086,121120,14500,5926066,7184651
16932747,9.51,4116,19,18,38385,1084297,27228,44086,129010,14500,6349679,7650710
17502648,8.90,4116,20,18,40326,1148314,27228,44086,135607,14500,6762709,8104984
18105101,9.29,4116,21,18,42267,1214794,27228,44086,140838,14500,7144210,8528110
16570726,8.99,4116,22,18,44027,1277506,27228,44086,147565,14500,7544955,8966163
19294382,8.54,4116,23,18,45965,1335006,27228,44086,153858,14500,7933600,9388995
17627008,9.46,4116,24,18,47657,1407169,27228,44086,161255,14500,8349024,9830041
18545357,0.93,4116,25,18,50006,1409579,27228,44086,166049,14500,8407805,9909736
19516643,0.01,4116,26,18,52474,1409579,27228,44086,173505,14500,8414256,9934659
20482478,0.03,4116,27,18,54788,1409579,27228,44086,180892,14500,8425882,9965213
21409847,0.12,4116,28,18,56853,1409876,27228,44086,186222,14500,8470009,10038241
22167034,9.27,4116,29,18,58712,1479586,27228,44086,193545,14500,8644979,10226304
22710768,14.41,4116,30,18,60130,1579428,27228,44086,198481,14500,9023681,10617432
25777286,13.81,4116,31,18,62039,1681860,27228,44086,201795,14500,9405790,11011473
26365098,15.13,4116,32,18,63749,1794945,27228,44086,205339,14500,9791464,11405636
26968668,15.23,4116,33,18,65741,1909394,27228,44086,212109,14500,10153501,11775900
27553659,13.85,4116,34,18,67792,2009390,27228,44086,217915,14500,10543214,12174983
25433563,11.34,4116,35,18,69650,2096569,27228,44086,223204,14500,10900642,12554678
25935061,9.40,4116,36,18,71548,2161848,27228,44086,228100,14500,11321086,13011839
26432371,9.22,4116,37,18,73373,2220899,27228,44086,234057,14500,11752583,13482677
26905423,8.83,4116,38,18,75340,2282776,27228,44086,239115,14500,12205342,13969729
27378383,9.27,4116,39,18,77421,2345410,27228,44086,246605,14500,12642819,14454559
27852236,9.34,4116,40,18,79191,2409544,27228,44086,251591,14500,13091034,14942146
28348376,9.04,4116,41,18,80994,2469920,27228,44086,257602,14500,13517974,15412598
