IDLE,Mbps,Stack,Timestamp,TmrSvc,esp_timer,experiment_runn,ipc0,ipc1,measurer,sys_evt,tiT,wifi
3237767,0.01,4116,0,18,3322,577,27228,44086,4597,13611,7157,708428
4233515,0.00,4116,1,18,4615,5896,27228,44086,18709,13611,9979,722102
5219259,0.00,4116,2,18,5853,5896,27228,44086,25440,13611,10967,734650
5899059,15.04,4116,3,18,7576,119719,27228,44086,32228,13611,235972,965894
6569918,16.13,4116,4,18,9274,242942,27228,44086,38057,13611,478298,1205272
7250128,15.99,4116,5,18,11055,362020,27228,44086,43069,13611,716290,1441511
7944885,15.13,4116,6,18,12531,474718,27228,44086,47808,13611,942847,1668238
8613995,14.93,4116,7,18,14321,581893,27228,44086,54603,13611,1181510,1910774
9292202,15.33,4116,8,18,15984,697149,27228,44086,61913,13611,1417324,2148705
9991638,14.17,4116,9,18,17711,813563,27228,44086,65777,13611,1639822,2370602
10793338,9.10,4116,10,18,19352,879293,27228,44086,71497,13611,1775743,2516068
11446060,17.03,4116,11,18,20938,1008965,27228,44086,75986,13611,2035996,2775825
12111445,16.41,4116,12,18,22398,1131849,27228,44086,82765,13611,2280718,3022473
12793016,15.50,4116,13,18,24302,1248091,27228,44086,89791,13611,2513504,3254798
13521127,12.92,4116,14,18,25953,1350739,27228,44086,95712,13611,2711267,3454707
14215361,15.06,4116,15,18,27650,1462760,27228,44086,101616,13611,2933146,3679232
16586574,16.90,4116,16,18,29271,1591799,27228,44086,105501,13611,3188384,3935870
15553573,15.37,4116,17,18,30990,1705995,27228,44086,111889,13611,3418642,4165564
18047480,16.89,4116,18,18,32613,1833989,27228,44086,119265,13611,3670659,4415410
18760849,17.04,4116,19,18,34346,1961557,27228,44086,125892,13611,3927144,4669249
19465850,17.27,4116,20,18,36089,2091635,27228,44086,133028,13611,4185350,4924967
20182780,16.81,4116,21,18,37806,2219855,27228,44086,138707,13611,4437419,5175990
18837049,17.49,4116,22,18,39554,2354822,27228,44086,144775,13611,4701304,5433961
19488090,17.46,4116,23,18,41408,2490534,27228,44086,150385,13611,4962901,5692358
20141549,17.16,4116,24,18,42899,2622225,27228,44086,156137,13611,5221772,5949498
20786099,17.51,4116,25,18,44352,2758286,27228,44086,161717,13611,5485699,6208973
21493065,14.79,4116,26,18,46236,2866535,27228,44086,167986,13611,5705823,6433904
22124939,17.81,4116,27,18,48004,3001088,27228,44086,174090,13611,5973953,6701775
25170923,17.70,4116,28,18,49889,3132314,27228,44086,181342,13611,6239687,6963430
23421650,17.64,4116,29,18,51570,3264240,27228,44086,188892,13611,6501239,7222317
24101723,16.05,4116,30,18,53278,3389776,27228,44086,193682,13611,6740907,7460869
24775604,16.20,4116,31,18,55152,3514445,27228,44086,199461,13611,6985083,7705897
25436244,16.78,4116,32,18,56677,3641773,27228,44086,205578,13611,7235225,7958546
26073994,17.79,4116,33,18,58535,3773342,27228,44086,213058,13611,7500023,8220595
29434978,18.75,4116,34,18,60322,3913976,27228,44086,217108,13611,7779030,8497565
27337750,18.19,4116,35,18,62162,4047918,27228,44086,224653,13611,8047827,8762040
30818565,18.56,4116,36,18,63953,4188571,27228,44086,230437,13611,8325219,9039545
28647139,16.23,4116,37,18,65503,4307365,27228,44086,237847,13611,8563839,9279952
29318253,16.35,4116,38,18,67206,4430582,27228,44086,244358,13611,8807254,9524729
29974475,16.89,4116,39,18,69007,4555370,27228,44086,251562,13611,9058811,9775960
33706080,17.23,4116,40,18,70605,4690292,27228,44086,257750,13611,9318623,10029895
34409698,18.10,4116,41,18,72310,4822481,27228,44086,264159,13611,9589490,10299621
31903198,17.49,4116,42,18,74023,4950827,27228,44086,269688,13611,9851374,10559190
35831813,17.45,4116,43,18,75867,5080462,27228,44086,273754,13611,10111585,10819370
36541234,17.69,4116,44,18,77558,5210995,27228,44086,276667,13611,10375292,11080508
37247631,17.13,4116,45,18,79371,5345153,27228,44086,281445,13611,10637602,11335047
34510165,17.08,4116,46,18,81127,5474125,27228,44086,288612,13611,10892866,11589385
35199071,15.66,4116,47,18,82809,5588064,27228,44086,294260,13611,11124543,11819922
39446183,16.00,4116,48,18,84620,5712870,27228,44086,299625,13611,11365867,12057597
36525987,16.96,4116,49,18,86183,5841192,27228,44086,306003,13611,11618601,12310115
40962341,12.39,4116,50,18,87708,5934218,27228,44086,309243,13611,11804148,12499579
