period,tiT,experiment_runn,measurer,main,IDLE,TmrSvc,ipc1,wifi,esp_timer,sys_evt,ipc0,Heap,Stack,Mbps
0,9086,470,858,101324,5275787,18,19457,708733,4342,13388,1814,290608,4152,0.01
1,10974,5956,11748,101324,5458418,18,19457,721810,5546,13388,1814,290608,4152,0.00
2,11971,5956,14402,101324,6444582,18,19457,733937,6801,13388,1814,290608,4152,0.00
3,120180,54066,17307,101324,7294780,18,19457,850962,8135,13388,1814,290608,4152,6.70
4,285018,147131,19998,101324,8076402,18,19457,1012993,9607,13388,1814,290608,4152,11.06
5,481237,216474,22973,101324,8843357,18,19457,1206181,11118,13388,1814,290608,4152,8.83
6,655939,289334,26033,101324,9620386,18,19457,1386360,12332,13388,1814,290608,4152,8.76
7,803753,363294,29093,101324,10415339,18,19457,1539006,13499,13388,1814,290608,4152,8.68
8,955807,435273,31966,101324,11195672,18,19457,1700460,14680,13388,1814,290608,4152,8.69
9,1106688,506363,34999,101324,11984956,18,19457,1861210,15882,13388,1814,290608,4152,8.69
10,1260194,580299,37805,101324,12773803,18,19457,2020139,17105,13388,1814,290608,4152,8.81
11,1407899,648920,40522,101324,13570860,18,19457,2177159,18290,13388,1814,290608,4152,8.57
12,1558398,717200,43638,101324,14356288,18,19457,2340512,19420,13388,1814,290608,4152,9.07
13,1709728,786958,46669,101324,16364610,18,19457,2499156,20665,13388,1814,290608,4152,8.67
14,1864529,863242,49592,101324,15938645,18,19457,2660514,21834,13388,1814,290608,4152,8.87
15,2015847,936098,51863,101324,18007325,18,19457,2823117,22996,13388,1814,290608,4152,8.66
16,2171761,1010398,54280,101324,17520144,18,19457,2984850,24170,13388,1814,290608,4152,8.73
17,2314392,1077201,57373,101324,18323828,18,19457,3137058,25212,13388,1814,290608,4152,8.15
18,2474486,1155415,60485,101324,19098923,18,19457,3306594,26334,13388,1814,290608,4152,9.35
19,2624032,1226337,63216,101324,19889724,18,19457,3468419,27374,13388,1814,290608,4152,8.70
20,2770482,1293970,65754,101324,20686351,18,19457,3628039,28595,13388,1814,290608,4152,8.71
21,2917811,1362020,68324,101324,21480661,18,19457,3789135,29601,13388,1814,290608,4152,8.57
22,3063695,1427956,71192,101324,22274182,18,19457,3948442,30677,13388,1814,290608,4152,8.55
23,3215581,1500820,74226,101324,24653980,18,19457,4110569,31930,13388,1814,290608,4152,9.15
24,3362824,1569236,77104,101324,23854755,18,19457,4270408,33132,13388,1814,290608,4152,8.48
25,3518109,1641591,79885,101324,24637686,18,19457,4435333,34276,13388,1814,290608,4152,8.98
26,3670355,1714845,83149,101324,25428188,18,19457,4595309,35451,13388,1814,290608,4152,8.69
27,3823493,1788739,85468,101324,26215245,18,19457,4756630,36674,13388,1814,290608,4152,8.69
28,3978372,1863933,88410,101324,27005761,18,19457,4917591,37889,13388,1814,290608,4152,8.69
29,4127006,1935774,91129,101324,27799388,18,19457,5072553,39032,13388,1814,290608,4152,8.53
30,4283474,2010205,94103,101324,28586838,18,19457,5237790,40241,13388,1814,290608,4152,8.86
31,4432166,2081550,97141,101324,29381838,18,19457,5394892,41523,13388,1814,290608,4152,8.68
32,4579433,2149780,100269,101324,30178940,18,19457,5552678,42647,13388,1814,290608,4152,8.69
33,4729206,2221719,103188,101324,30973609,18,19457,5713394,43751,13388,1814,290608,4152,8.69
34,4881260,2293003,106051,101324,31760412,18,19457,5873263,44928,13388,1814,290608,4152,8.69
35,5034007,2366782,108936,101324,32558672,18,19457,6032441,45933,13388,1814,290608,4152,8.69
36,5186476,2438235,111937,101324,33338042,18,19457,6196930,47199,13388,1814,290608,4152,8.69
37,5341705,2513496,114799,101324,34123929,18,19457,6358557,48217,13388,1814,290608,4152,8.69
38,5488552,2581293,117895,101324,34906534,18,19457,6520006,49344,13388,1814,290608,4152,8.70
