period,experiment_runn,measurer,IDLE,tiT,ipc0,TmrSvc,esp_timer,wifi,ipc1,sys_evt,Heap,Stack,Mbps,main
4,408,200,5230419,9170,1821,18,3952,706672,19486,13754,290608,4152,0.01,101102
5,2517,11388,5415695,12689,1821,18,5299,720612,19486,13754,290608,4152,0.00,101102
6,2517,14017,6401282,13534,1821,18,6484,733421,19486,13754,290608,4152,0.00,101102
7,115342,16852,7118576,219849,1821,18,7443,941722,19486,13754,290608,4152,15.47,101102
8,248995,20203,8711796,463569,1821,18,8602,1176655,19486,13754,290608,4152,17.35,101102
9,376427,22843,8479168,701011,1821,18,9838,1403652,19486,13754,290608,4152,16.78,101102
10,494168,25441,9183398,919747,1821,18,10915,1615608,19486,13754,290608,4152,15.62,101102
11,626499,29076,9865819,1161786,1821,18,11982,1846645,19486,13754,290608,4152,17.27,101102
12,752016,32056,10555930,1394948,1821,18,13135,2070200,19486,13754,290608,4152,16.43,101102
13,873891,34823,11247881,1622366,1821,18,14201,2291909,19486,13754,290608,4152,16.45,101102
14,997479,37921,11943205,1847793,1821,18,15260,2508945,19486,13754,290608,4152,16.18,101102
15,1123847,41316,12627440,2081951,1821,18,16388,2737917,19486,13754,290608,4152,17.16,101102
16,1233257,44177,14624474,2284685,1821,18,17707,2933548,19486,13754,290608,4152,14.25,101102
17,1370647,46886,15341385,2537530,1821,18,18902,3177672,19486,13754,290608,4152,18.44,101102
18,1493275,50371,16085897,2767050,1821,18,19984,3399468,19486,13754,290608,4152,16.77,101102
19,1619195,52995,15386750,2999546,1821,18,21290,3621039,19486,13754,290608,4152,16.39,101102
20,1742521,56182,16078296,3223841,1821,18,22450,3839120,19486,13754,290608,4152,16.46,101102
21,1874096,58987,18291550,3461239,1821,18,23531,4068580,19486,13754,290608,4152,16.92,101102
22,1995073,61852,17465599,3687423,1821,18,24734,4286411,19486,13754,290608,4152,16.20,101102
23,2118647,64256,18158197,3917633,1821,18,25801,4506737,19486,13754,290608,4152,16.65,101102
24,2239942,66879,18844067,4147936,1821,18,27037,4731492,19486,13754,290608,4152,16.41,101102
25,2365689,70059,19531992,4380301,1821,18,28177,4956984,19486,13754,290608,4152,16.55,101102
26,2482157,72703,20247764,4591032,1821,18,29366,5164603,19486,13754,290608,4152,15.09,101102
27,2618429,76077,22707632,4841959,1821,18,30561,5405577,19486,13754,290608,4152,18.05,101102
28,2723472,78946,21652769,5034398,1821,18,31947,5595653,19486,13754,290608,4152,13.66,101102
29,2865066,82153,22298526,5297886,1821,18,33093,5848351,19486,13754,290608,4152,19.01,101102
30,2992526,84804,22987353,5532488,1821,18,34148,6073486,19486,13754,290608,4152,16.60,101102
31,3118892,87902,23674667,5764382,1821,18,35275,6298691,19486,13754,290608,4152,16.61,101102
32,3242120,91105,26384310,5987482,1821,18,36334,6516473,19486,13754,290608,4152,16.21,101102
33,3365664,94093,27123541,6213925,1821,18,37423,6736509,19486,13754,290608,4152,16.67,101102
34,3496550,97260,25752793,6455430,1821,18,38620,6968346,19486,13754,290608,4152,16.75,101102
35,3620608,99923,26448553,6683434,1821,18,39912,7186977,19486,13754,290608,4152,16.17,101102
36,3748789,103098,27125800,6918411,1821,18,41169,7414127,19486,13754,290608,4152,16.71,101102
37,3866175,106215,27852574,7125824,1821,18,42413,7611166,19486,13754,290608,4152,13.98,101102
38,4019015,109321,28486261,7396988,1821,18,43811,7863218,19486,13754,290608,4152,18.81,101102
39,4157409,111813,29164276,7638152,1821,18,44903,8089486,19486,13754,290608,4152,16.56,101102
40,4295225,114506,29837762,7881775,1821,18,46226,8317741,19486,13754,290608,4152,16.61,101102
41,4421919,117710,32945905,8109841,1821,18,47348,8534876,19486,13754,290608,4152,16.15,101102
42,4551559,120481,33662766,8348665,1821,18,48500,8763958,19486,13754,290608,4152,16.82,101102
43,4676877,123088,31925984,8578957,1821,18,49614,8985925,19486,13754,290608,4152,16.29,101102
44,4804230,125843,32618894,8812090,1821,18,50830,9209703,19486,13754,290608,4152,16.50,101102
45,4929269,129030,35850681,9045091,1821,18,52170,9435659,19486,13754,290608,4152,16.71,101102
46,5045226,132255,36600808,9254986,1821,18,53454,9641286,19486,13754,290608,4152,14.92,101102
47,5168295,135259,34725776,9482156,1821,18,54641,9858768,19486,13754,290608,4152,16.34,101102
48,5308504,138367,35382294,9739240,1821,18,55851,10102464,19486,13754,290608,4152,18.28,101102
49,5433039,141228,36083088,9966332,1821,18,56901,10321542,19486,13754,290608,4152,16.16,101102
50,5562307,144771,36768277,10201260,1821,18,58059,10546266,19486,13754,290608,4152,16.72,101102
51,5689032,149510,37458584,10435698,1821,18,59225,10770586,19486,13754,290608,4152,16.67,101102
52,5814566,152084,38141763,10666860,1821,18,60362,10996881,19486,13754,290608,4152,16.46,101102
53,5939920,155290,38838456,10893734,1821,18,61548,11214892,19486,13754,290608,4152,16.16,101102
54,6070017,158813,42424105,11132427,1821,18,62596,11443898,19486,13754,290608,4152,17.03,101102
55,6198704,161588,40217814,11366808,1821,18,63775,11669017,19486,13754,290608,4152,16.33,101102
56,6328661,164622,40907494,11603179,1821,18,65023,11894259,19486,13754,290608,4152,16.56,101102
57,6454242,168187,44602841,11832970,1821,18,66207,12113127,19486,13754,290608,4152,16.34,101102
58,6576635,171151,42307752,12059047,1821,18,67325,12333684,19486,13754,290608,4152,15.79,101102
59,6703924,174142,42982891,12298904,1821,18,68432,12563482,19486,13754,290608,4152,17.12,101102
60,6829752,177674,43679385,12529745,1821,18,69539,12785180,19486,13754,290608,4152,16.53,101102
61,6954000,180777,47536785,12762511,1821,18,70683,13007703,19486,13754,290608,4152,16.55,101102
62,7062625,183715,48303075,12963048,1821,18,71881,13202162,19486,13754,290608,4152,13.98,101102
63,7203409,186210,45751746,13223752,1821,18,73050,13454244,19486,13754,290608,4152,18.71,101102
64,7334498,189582,46443136,13462380,1821,18,74043,13681985,19486,13754,290608,4152,16.97,101102
65,7461035,192219,50449024,13692294,1821,18,75209,13904570,19486,13754,290608,4152,16.45,101102
66,7581383,195524,47848925,13915414,1821,18,76373,14116993,19486,13754,290608,4152,15.85,101102
67,7713880,198521,51903930,14157198,1821,18,77535,14345834,19486,13754,290608,4152,17.18,101102
68,7837913,201496,49214306,14387961,1821,18,78824,14569876,19486,13754,290608,4152,16.57,101102
69,7961831,204760,49916721,14612477,1821,18,80082,14783816,19486,13754,290608,4152,15.99,101102
70,8085099,207777,54121676,14842530,1821,18,81240,15004424,19486,13754,290608,4152,16.26,101102
71,8218578,210726,51282582,15085733,1821,18,82399,15236799,19486,13754,290608,4152,17.31,101102
72,8346144,213914,51983566,15315640,1821,18,83506,15455137,19486,13754,290608,4152,16.21,101102
73,8471890,217525,56300140,15547704,1821,18,84708,15679324,19486,13754,290608,4152,16.71,101102
74,8588052,220261,53399614,15755685,1821,18,85919,15876751,19486,13754,290608,4152,14.56,101102
75,8725907,223496,54055658,16009272,1821,18,86999,16123489,19486,13754,290608,4152,18.33,101102
76,8847900,226681,54755099,16234010,1821,18,88161,16343033,19486,13754,290608,4152,16.18,101102
77,8976772,229866,59229712,16471435,1821,18,89319,16570515,19486,13754,290608,4152,17.05,101102
78,9110330,232360,56118635,16708682,1821,18,90614,16794720,19486,13754,290608,4152,16.37,101102
79,9250408,235945,56794662,16950877,1821,18,91997,17021308,19486,13754,290608,4152,16.54,101102
80,9391845,238664,57464852,17195832,1821,18,93459,17246687,19486,13754,290608,4152,16.33,101102
81,9537599,241235,58127440,17445955,1821,18,94847,17478422,19486,13754,290608,4152,16.73,101102
82,9662417,244723,62861223,17661690,1821,18,96195,17679163,19486,13754,290608,4152,14.62,101102
