period,experiment_runn,measurer,IDLE,tiT,sys_evt,ipc0,esp_timer,wifi,TmrSvc,ipc1,Heap,Stack,Mbps,main
3,379,598,5317504,9654,13583,1823,4629,713913,19,19441,290608,4152,0.01,101146
4,1538,11353,5487897,12509,13583,1823,5926,727010,19,19441,290608,4152,0.00,101146
5,1538,13949,6474689,13301,13583,1823,6991,738824,19,19441,290608,4152,0.00,101146
6,126096,16526,7167740,240477,13583,1823,8066,963004,19,19441,290608,4152,16.17,101146
7,248258,19445,7830485,499202,13583,1823,9267,1218819,19,19441,290608,4152,16.73,101146
8,336065,22561,9558082,679995,13583,1823,10516,1398400,19,19441,290608,4152,11.52,101146
9,478846,25840,9190140,998198,13583,1823,11649,1707909,19,19441,290608,4152,19.66,101146
10,607288,28603,9709329,1393674,13583,1823,12904,2101309,19,19441,290608,4152,18.03,101146
11,733214,31145,10215668,1797271,13583,1823,13911,2506532,19,19441,290608,4152,17.79,101146
12,837087,34323,10800973,2134440,13583,1823,14953,2853194,19,19441,290608,4152,15.25,101146
13,932225,37510,11378369,2475992,13583,1823,16045,3209466,19,19441,290608,4152,14.16,101146
14,1042973,40274,11935960,2845964,13583,1823,17178,3593142,19,19441,290608,4152,15.45,101146
15,1133299,44210,13826191,3189635,13583,1823,18172,3955303,19,19441,290608,4152,13.15,101146
16,1234679,47496,13053055,3575391,13583,1823,19199,4360674,19,19441,290608,4152,14.72,101146
17,1342143,50359,15038339,3921190,13583,1823,20302,4713984,19,19441,290608,4152,14.94,101146
18,1452013,53293,14239995,4229210,13583,1823,21491,5029290,19,19441,290608,4152,15.34,101146
19,1555262,56236,16321620,4573443,13583,1823,22575,5387625,19,19441,290608,4152,14.66,101146
20,1678678,59492,16878502,4986529,13583,1823,23941,5802350,19,19441,290608,4152,17.90,101146
21,1780776,62129,15928526,5302876,13583,1823,25035,6126567,19,19441,290608,4152,14.53,101146
22,1886669,65318,16527747,5622742,13583,1823,26098,6454981,19,19441,290608,4152,15.20,101146
23,2083473,71234,17640620,6347765,13583,1823,28323,7207844,19,19441,290608,4152,14.61,101146
24,2188979,74438,19988626,6725357,13583,1823,29424,7597002,19,19441,290608,4152,15.62,101146
25,2295189,77630,20605174,7082168,13583,1823,30604,7963473,19,19441,290608,4152,15.04,101146
26,2395473,80135,19324610,7432531,13583,1823,31632,8325573,19,19441,290608,4152,14.20,101146
27,2506900,83368,19869024,7811591,13583,1823,32897,8716263,19,19441,290608,4152,16.47,101146
28,2610406,86076,20407656,8198310,13583,1823,33976,9109108,19,19441,290608,4152,15.13,101146
29,2716634,89395,20942502,8590122,13583,1823,35151,9512446,19,19441,290608,4152,15.91,101146
30,2929051,95564,21989132,9388502,13583,1823,37561,10338954,19,19441,290608,4152,15.56,101146
31,3035858,98199,22537065,9767273,13583,1823,38599,10728472,19,19441,290608,4152,15.39,101146
32,3142900,100705,23035380,10183734,13583,1823,39704,11162380,19,19441,290608,4152,15.84,101146
33,3249888,103794,25888502,10542389,13583,1823,40870,11525366,19,19441,290608,4152,15.43,101146
34,3356174,106763,24211382,10862711,13583,1823,41979,11859702,19,19441,290608,4152,14.54,101146
35,3460003,109914,24710276,11276208,13583,1823,43120,12289805,19,19441,290608,4152,14.86,101146
36,3564648,112507,25271994,11633888,13583,1823,44213,12657545,19,19441,290608,4152,15.18,101146
37,3658709,116138,28305603,12001173,13583,1823,45366,13036739,19,19441,290608,4152,14.20,101146
38,3761108,118904,26335349,12418736,13583,1823,46371,13464403,19,19441,290608,4152,15.44,101146
39,3860105,121833,26911179,12764882,13583,1823,47473,13821139,19,19441,290608,4152,14.34,101146
40,3953324,124984,27502284,13093296,13583,1823,48570,14163705,19,19441,290608,4152,13.90,101146
41,4057520,127900,28033781,13476112,13583,1823,49720,14558774,19,19441,290608,4152,15.61,101146
42,4159689,130439,28570023,13859875,13583,1823,50830,14959277,19,19441,290608,4152,14.39,101146
43,4273066,133616,29102633,14235235,13583,1823,51901,15348245,19,19441,290608,4152,16.19,101146
44,4380192,136218,29627383,14622712,13583,1823,53034,15753481,19,19441,290608,4152,14.88,101146
45,4492127,139346,33067764,15019664,13583,1823,54153,16163182,19,19441,290608,4152,16.05,101146
46,4582336,142480,30719291,15377342,13583,1823,55361,16530813,19,19441,290608,4152,13.82,101146
47,4695104,146107,31285927,15737501,13583,1823,56516,16895165,19,19441,290608,4152,16.05,101146
48,4808870,149046,31806320,16134055,13583,1823,57657,17302836,19,19441,290608,4152,16.16,101146
49,4910122,152020,35433814,16529112,13583,1823,58676,17707940,19,19441,290608,4152,14.89,101146
50,5022239,154852,32854646,16930560,13583,1823,59967,18116664,19,19441,290608,4152,16.14,101146
51,5124311,157179,36575574,17324169,13583,1823,61082,18512953,19,19441,290608,4152,15.65,101146
52,5232283,160181,33963355,17679097,13583,1823,62077,18874445,19,19441,290608,4152,15.28,101146
53,5324493,163363,34503300,18059232,13583,1823,63237,19271315,19,19441,290608,4152,13.92,101146
54,5440765,166655,35039683,18433588,13583,1823,64395,19652630,19,19441,290608,4152,16.57,101146
