period,experiment_runn,measurer,IDLE,tiT,TmrSvc,ipc1,sys_evt,wifi,esp_timer,ipc0,Heap,Stack,Mbps,main
0,412,801,4346170,9656,18,19468,24049,704310,3624,1837,290608,4152,0.01,98694
1,5912,11859,4528406,11136,18,19468,24049,716381,4801,1837,290608,4152,0.00,98694
2,5912,14478,5514671,12024,18,19468,24049,728544,5918,1837,290608,4152,0.00,98694
3,21616,17072,6458074,43829,18,19468,24049,773245,7534,1837,290608,4152,1.95,98694
4,62792,19865,7349749,117828,18,19468,24049,854987,8941,1837,290608,4152,5.05,98694
5,184989,22422,8038920,349509,18,19468,24049,1086505,10424,1837,290608,4152,17.36,98694
6,186469,25491,9013688,355745,18,19468,24049,1106276,11903,1837,290608,4152,0.18,98694
7,298551,28554,9729805,567332,18,19468,24049,1321765,13290,1837,290608,4152,15.81,98694
8,344422,31523,10600449,659736,18,19468,24049,1421618,14913,1837,290608,4152,6.61,98694
9,421131,34332,11403070,803525,18,19468,24049,1569939,16178,1837,290608,4152,10.31,98694
10,476004,37280,13297848,916767,18,19468,24049,1692619,17771,1837,290608,4152,8.03,98694
11,514047,40181,13136666,989133,18,19468,24049,1775066,19024,1837,290608,4152,5.32,98694
12,565681,43219,13988652,1092585,18,19468,24049,1888647,20581,1837,290608,4152,7.60,98694
13,639877,46061,14798171,1229137,18,19468,24049,2030124,21965,1837,290608,4152,10.01,98694
14,680271,49184,15675355,1310968,18,19468,24049,2124216,23562,1837,290608,4152,5.97,98694
15,719323,52232,16561568,1382871,18,19468,24049,2207188,24978,1837,290608,4152,5.06,98694
16,826298,55318,17291208,1585546,18,19468,24049,2411834,26405,1837,290608,4152,15.16,98694
17,889134,58433,18121612,1705997,18,19468,24049,2541477,27845,1837,290608,4152,8.81,98694
18,929780,61791,19006370,1782344,18,19468,24049,2626374,29444,1837,290608,4152,5.34,98694
19,982152,64544,19855955,1885286,18,19468,24049,2740537,30828,1837,290608,4152,7.61,98694
20,1023342,67659,20743520,1959828,18,19468,24049,2824029,32243,1837,290608,4152,5.35,98694
21,1118335,70802,21497688,2144753,18,19468,24049,3011087,33621,1837,290608,4152,13.81,98694
22,1172443,74008,22346374,2248305,18,19468,24049,3124581,35080,1837,290608,4152,7.66,98694
23,1215530,77122,24672731,2326360,18,19468,24049,3211773,36539,1837,290608,4152,5.65,98694
24,1287781,80097,24042107,2466405,18,19468,24049,3357391,37799,1837,290608,4152,10.35,98694
25,1366623,83416,26333161,2613119,18,19468,24049,3507088,39171,1837,290608,4152,10.81,98694
26,1379660,86373,25784607,2645693,18,19468,24049,3554084,40699,1837,290608,4152,2.18,98694
27,1463124,89486,26569130,2799942,18,19468,24049,3712487,42121,1837,290608,4152,11.28,98694
28,1509885,92689,27434023,2893335,18,19468,24049,3814585,43590,1837,290608,4152,6.83,98694
29,1551148,95849,28321045,2969643,18,19468,24049,3899226,44928,1837,290608,4152,5.73,98694
30,1653784,98766,29060287,3167314,18,19468,24049,4098530,46289,1837,290608,4152,14.51,98694
31,1699832,102225,29940285,3252108,18,19468,24049,4189686,47676,1837,290608,4152,6.12,98694
32,1747714,104955,30804908,3346395,18,19468,24049,4293662,49146,1837,290608,4152,6.90,98694
33,1839847,108071,31568459,3519742,18,19468,24049,4471663,50626,1837,290608,4152,12.76,98694
34,1892967,111279,32415862,3624595,18,19468,24049,4585917,52219,1837,290608,4152,7.65,98694
35,1937408,114413,33283014,3714530,18,19468,24049,4686138,53782,1837,290608,4152,6.61,98694
36,1984693,117875,34154574,3803475,18,19468,24049,4783689,55256,1837,290608,4152,6.41,98694
37,2045395,120518,34994382,3919701,18,19468,24049,4907650,56762,1837,290608,4152,8.53,98694
38,2130618,123632,35779078,4079370,18,19468,24049,5070151,58074,1837,290608,4152,11.78,98694
39,2132135,126842,36753285,4085115,18,19468,24049,5090492,59583,1837,290608,4152,0.18,98694
40,2217516,129926,37538968,4241646,18,19468,24049,5249699,60950,1837,290608,4152,11.55,98694
41,2302118,132817,40270694,4404564,18,19468,24049,5418839,62458,1837,290608,4152,11.99,98694
42,2340589,135867,39200753,4482741,18,19468,24049,5507561,64049,1837,290608,4152,5.46,98694
43,2407680,138984,40020543,4612403,18,19468,24049,5643143,65613,1837,290608,4152,9.65,98694
44,2452542,141631,40889087,4702013,18,19468,24049,5745075,67220,1837,290608,4152,6.54,98694
45,2536129,144664,41670867,4861842,18,19468,24049,5912901,69015,1837,290608,4152,11.75,98694
46,2602972,147702,42499758,4983762,18,19468,24049,6040196,70214,1837,290608,4152,8.96,98694
47,2607512,150372,43460182,5000071,18,19468,24049,6073131,71877,1837,290608,4152,1.02,98694
48,2658509,153169,44313789,5100311,18,19468,24049,6184538,73458,1837,290608,4152,7.23,98694
49,2780517,156289,45016004,5323083,18,19468,24049,6406733,74638,1837,290608,4152,16.92,98694
50,2792138,159091,45960280,5353901,18,19468,24049,6452237,76281,1837,290608,4152,1.86,98694
51,2898443,162566,46691495,5552894,18,19468,24049,6653353,77634,1837,290608,4152,14.75,98694
52,2949835,165363,47552772,5648441,18,19468,24049,6756814,78961,1837,290608,4152,6.96,98694
53,2975446,168471,48465919,5703541,18,19468,24049,6824528,80621,1837,290608,4152,4.00,98694
54,3066592,171595,49227686,5870866,18,19468,24049,7002845,82104,1837,290608,4152,12.74,98694
55,3068097,174811,50202052,5876028,18,19468,24049,7023828,83718,1837,290608,4152,0.19,98694
56,3201083,177943,50881483,6108480,18,19468,24049,7261804,85096,1837,290608,4152,17.96,98694
57,3228101,180944,51788441,6165553,18,19468,24049,7333650,86630,1837,290608,4152,3.84,98694
58,3283853,183979,52636144,6275188,18,19468,24049,7451183,88282,1837,290608,4152,8.17,98694
59,3358629,187109,53434965,6420658,18,19468,24049,7604149,89818,1837,290608,4152,10.73,98694
60,3431343,190326,54238781,6558353,18,19468,24049,7752119,91422,1837,290608,4152,9.86,98694
61,3492519,193465,55070544,6677126,18,19468,24049,7879551,93011,1837,290608,4152,8.62,98694
62,3546643,196587,55925611,6780392,18,19468,24049,7991756,94621,1837,290608,4152,7.55,98694
63,3607779,199720,59388856,6900090,18,19468,24049,8120494,96254,1837,290608,4152,8.62,98694
64,3664963,202716,60255128,7015847,18,19468,24049,8247026,97864,1837,290608,4152,8.50,98694
65,3725230,206008,61120187,7130517,18,19468,24049,8369580,99490,1837,290608,4152,8.13,98694
66,3783580,208867,59272808,7242594,18,19468,24049,8492081,101286,1837,290608,4152,8.07,98694
67,3845521,211988,60106925,7358812,18,19468,24049,8617071,102702,1837,290608,4152,8.62,98694
68,3900887,215113,60952002,7465520,18,19468,24049,8732846,104281,1837,290608,4152,7.62,98694
69,3960241,218228,61786436,7582609,18,19468,24049,8860991,106101,1837,290608,4152,8.55,98694
70,4021109,221375,62616264,7701888,18,19468,24049,8989661,107795,1837,290608,4152,8.62,98694
71,4076377,224492,63463859,7809896,18,19468,24049,9106188,109340,1837,290608,4152,8.02,98694
72,4134931,227454,64301886,7923366,18,19468,24049,9230922,111017,1837,290608,4152,8.15,98694
73,4189572,230572,65156088,8023824,18,19468,24049,9341765,112611,1837,290608,4152,7.55,98694
74,4248004,234096,65998280,8137374,18,19468,24049,9465652,114298,1837,290608,4152,8.51,98694
75,4310997,236830,66831053,8259395,18,19468,24049,9596256,115897,1837,290608,4152,8.74,98694
