period,experiment_runn,measurer,IDLE,tiT,TmrSvc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
0,542,3503,4207775,7868,18,19543,24517,3544,699403,1888,206992,4152,0.01
1,6109,14274,4386417,10616,18,19543,24517,5018,714586,1888,206992,4152,0.00
2,6109,16885,5369110,12274,18,19543,24517,6429,729294,1888,206992,4152,0.00
3,131172,19542,6920536,249653,18,19543,24517,7659,963931,1888,206992,4152,16.72
4,249449,22728,6779334,488127,18,19543,24517,8784,1197082,1888,206992,4152,16.36
5,364887,25152,7479089,778413,18,19543,24517,9752,1432221,1888,206992,4152,16.54
6,477539,33249,8187613,1089372,18,19543,24517,10859,1666454,1888,206992,4152,16.17
7,594976,39236,8885656,1394052,18,19543,24517,12057,1906031,1888,206992,4152,17.03
8,707224,47175,10247382,1705128,18,19543,24517,13162,2138690,1888,206992,4152,16.19
9,825004,53237,10901427,2007167,18,19543,24517,14383,2378499,1888,206992,4152,16.85
10,939358,61400,11014252,2306051,18,19543,24517,15494,2606182,1888,206992,4152,16.17
11,1057773,72014,12233488,2621729,18,19543,24517,16720,2850644,1888,206992,4152,17.28
12,1171078,75212,12426717,2938462,18,19543,24517,17851,3079826,1888,206992,4152,16.38
13,1287730,81777,13139293,3231090,18,19543,24517,19059,3313110,1888,206992,4152,16.63
14,1403677,90132,13839927,3541916,18,19543,24517,20261,3550781,1888,206992,4152,16.59
15,1519633,96681,14518467,3851230,18,19543,24517,21421,3793238,1888,206992,4152,17.15
16,1633395,104408,15227136,4160636,18,19543,24517,22731,4026890,1888,206992,4152,16.20
17,1751180,111692,16167548,4468036,18,19543,24517,23952,4267134,1888,206992,4152,17.23
18,1858065,119360,16646494,4773330,18,19543,24517,25087,4495135,1888,206992,4152,15.67
19,1977781,126542,17350212,5080920,18,19543,24517,26154,4736608,1888,206992,4152,17.31
20,2090464,134409,18058758,5389954,18,19543,24517,27357,4970954,1888,206992,4152,16.12
21,2210082,140699,18761993,5699603,18,19543,24517,28576,5209893,1888,206992,4152,17.09
22,2321665,144292,19416260,6018457,18,19543,24517,29678,5445174,1888,206992,4152,16.70
23,2438216,151709,20178072,6312235,18,19543,24517,30770,5677577,1888,206992,4152,16.38
24,2553496,159177,20726680,6616895,18,19543,24517,32059,5913228,1888,206992,4152,16.52
25,2671202,170389,21585084,6930669,18,19543,24517,33339,6149622,1888,206992,4152,17.26
26,2786483,178164,22284538,7244381,18,19543,24517,34536,6385495,1888,206992,4152,16.17
27,2903399,184530,22992234,7546116,18,19543,24517,35627,6621659,1888,206992,4152,16.87
28,3016798,187672,23698939,7864892,18,19543,24517,36840,6856948,1888,206992,4152,16.40
29,3133339,190410,24398757,8161780,18,19543,24517,38067,7092180,1888,206992,4152,16.58
30,3246096,196939,24650315,8481882,18,19543,24517,39334,7328566,1888,206992,4152,16.73
31,3369585,203508,25801392,8779718,18,19543,24517,40501,7565749,1888,206992,4152,16.73
32,3483982,210218,25955535,9091390,18,19543,24517,41599,7798370,1888,206992,4152,16.19
33,3602847,216407,27205137,9395607,18,19543,24517,42833,8038061,1888,206992,4152,16.91
34,3715122,224720,27913812,9694932,18,19543,24517,44009,8268074,1888,206992,4152,16.19
35,3835537,235036,28621215,10007130,18,19543,24517,45178,8510375,1888,206992,4152,17.26
36,3950546,239535,28562990,10326488,18,19543,24517,46342,8743097,1888,206992,4152,16.50
37,4066864,245579,29216288,10620753,18,19543,24517,47518,8975425,1888,206992,4152,16.44
38,4183382,253604,30752386,10934677,18,19543,24517,48784,9209227,1888,206992,4152,16.59
39,4300397,261234,31460179,11238854,18,19543,24517,50043,9448685,1888,206992,4152,17.03
40,4414143,268809,31169152,11547112,18,19543,24517,51220,9682138,1888,206992,4152,16.40
41,4531066,276869,32865389,11849925,18,19543,24517,52705,9916937,1888,206992,4152,16.80
42,4644772,282130,32472316,12171377,18,19543,24517,53722,10153795,1888,206992,4152,16.80
43,4762890,289841,34276344,12463458,18,19543,24517,54922,10389273,1888,206992,4152,16.40
44,4876219,297392,34980172,12772878,18,19543,24517,56189,10627138,1888,206992,4152,16.47
45,4996489,305692,35685524,13066469,18,19543,24517,57389,10866528,1888,206992,4152,17.31
46,5107094,312976,35118644,13365249,18,19543,24517,58577,11102228,1888,206992,4152,16.15
47,5227875,324167,37105688,13681513,18,19543,24517,59762,11343699,1888,206992,4152,17.37
48,5343799,326661,37810250,13990527,18,19543,24517,60844,11579095,1888,206992,4152,16.66
49,5459342,329858,38520048,14277167,18,19543,24517,61884,11807658,1888,206992,4152,16.19
50,5574253,332800,39219231,14596016,18,19543,24517,62903,12044311,1888,206992,4152,16.73
51,5690218,337334,38383079,14888207,18,19543,24517,64099,12279523,1888,206992,4152,16.71
52,5806170,345297,40617931,15169908,18,19543,24517,65366,12514340,1888,206992,4152,16.20
53,5924737,351109,41316146,15476455,18,19543,24517,66550,12759465,1888,206992,4152,17.26
54,6035807,359436,42029361,15780484,18,19543,24517,67598,12989364,1888,206992,4152,16.19
55,6154704,363470,42732889,16063956,18,19543,24517,68716,13227143,1888,206992,4152,16.56
56,6268287,371402,43436398,16369575,18,19543,24517,69817,13463628,1888,206992,4152,16.66
57,6384790,379854,44147047,16658323,18,19543,24517,70965,13700327,1888,206992,4152,16.77
58,6499551,388180,44853028,16958697,18,19543,24517,72014,13936250,1888,206992,4152,16.62
59,6618949,398116,45565767,17278043,18,19543,24517,73229,14178852,1888,206992,4152,17.21
60,6732097,400709,46273750,17581490,18,19543,24517,74233,14408395,1888,206992,4152,16.26
61,6847781,405381,44993206,17873850,18,19543,24517,75361,14641739,1888,206992,4152,16.72
62,6965310,410929,45652039,18181627,18,19543,24517,76512,14881909,1888,206992,4152,16.73
63,7085688,420031,48389718,18477455,18,19543,24517,77777,15117816,1888,206992,4152,16.73
64,7203180,427849,46966185,18772856,18,19543,24517,78856,15354343,1888,206992,4152,16.20
65,7323441,439028,49798598,19072014,18,19543,24517,80136,15595466,1888,206992,4152,17.24
66,7435777,446234,48308048,19363751,18,19543,24517,81218,15829140,1888,206992,4152,16.17
67,7557962,457684,48975733,19675585,18,19543,24517,82490,16076712,1888,206992,4152,17.74
68,7670573,460316,51926494,19993336,18,19543,24517,83656,16309624,1888,206992,4152,16.19
69,7786456,464022,50267426,20286690,18,19543,24517,84885,16544246,1888,206992,4152,16.57
70,7881056,467670,50938515,20575520,18,19543,24517,86068,16746894,1888,206992,4152,13.92
71,8018331,475045,54036447,20898808,18,19543,24517,87225,17017261,1888,206992,4152,19.15
72,8132624,480800,52192426,21217501,18,19543,24517,88346,17251613,1888,206992,4152,16.73
73,8251279,488030,55448707,21514512,18,19543,24517,89576,17490687,1888,206992,4152,16.72
74,8362914,496407,53491883,21823875,18,19543,24517,90696,17721675,1888,206992,4152,16.19
75,8480775,504383,56871151,22126571,18,19543,24517,91872,17960855,1888,206992,4152,16.91
76,8592078,512262,54790468,22432969,18,19543,24517,93154,18190373,1888,206992,4152,16.19
77,8713568,518370,58294252,22740311,18,19543,24517,94303,18429536,1888,206992,4152,17.15
78,8829623,526617,59006890,23043005,18,19543,24517,95488,18658999,1888,206992,4152,16.28
79,8947556,537290,59715839,23355716,18,19543,24517,96662,18902015,1888,206992,4152,17.28
80,9060102,545239,60430905,23664428,18,19543,24517,97721,19130341,1888,206992,4152,16.05
81,9177871,551149,61137102,23965102,18,19543,24517,98821,19367940,1888,206992,4152,16.65
82,9288931,553772,61844025,24284446,18,19543,24517,99944,19602592,1888,206992,4152,16.33
83,9407312,560955,62549207,24577578,18,19543,24517,100982,19837667,1888,206992,4152,16.73
84,9520711,568689,60000928,24879024,18,19543,24517,102225,20072164,1888,206992,4152,16.20
85,9639408,580160,63971945,25195368,18,19543,24517,103414,20313691,1888,206992,4152,17.29
86,9752075,585863,61298182,25513741,18,19543,24517,104455,20548794,1888,206992,4152,16.70
87,9872696,593021,65384908,25805966,18,19543,24517,105433,20781057,1888,206992,4152,16.45
88,9989608,600819,66088022,26111386,18,19543,24517,106538,21018376,1888,206992,4152,16.45
89,10108073,611761,66797352,26423078,18,19543,24517,107617,21256093,1888,206992,4152,17.29
90,10220139,619842,67507606,26732267,18,19543,24517,108697,21487024,1888,206992,4152,16.11
91,10339020,626856,68214867,27038016,18,19543,24517,109729,21727526,1888,206992,4152,17.06
92,10453575,630108,68923636,27354535,18,19543,24517,110766,21959317,1888,206992,4152,16.19
93,10570044,634033,69620527,27649293,18,19543,24517,111875,22196349,1888,206992,4152,16.73
94,10685669,642411,66502363,27963904,18,19543,24517,113233,22427379,1888,206992,4152,16.53
95,10804495,648831,71029734,28269813,18,19543,24517,114452,22668648,1888,206992,4152,16.73
96,10917334,657062,67795271,28577848,18,19543,24517,115547,22899003,1888,206992,4152,16.19
97,11036062,664305,72447331,28889136,18,19543,24517,116713,23142507,1888,206992,4152,17.26
98,11147562,672986,73153109,29193625,18,19543,24517,117827,23372807,1888,206992,4152,16.18
99,11267262,683911,73870734,29506473,18,19543,24517,119051,23613497,1888,206992,4152,17.27
100,11379899,691251,70398943,29821156,18,19543,24517,120147,23845433,1888,206992,4152,16.12
101,11500622,697462,75277510,30125215,18,19543,24517,121209,24084935,1888,206992,4152,16.92
102,11611937,705364,75991213,30436632,18,19543,24517,122303,24315870,1888,206992,4152,15.99
103,11729022,711442,76694518,30738739,18,19543,24517,123443,24552387,1888,206992,4152,16.74
104,11846582,719017,77397788,31055121,18,19543,24517,124480,24787395,1888,206992,4152,16.38
105,11964092,725948,73650340,31364572,18,19543,24517,125687,25024920,1888,206992,4152,16.99
106,12078241,731524,74282376,31688898,18,19543,24517,126890,25262082,1888,206992,4152,16.78
107,12196043,738926,79515646,31985744,18,19543,24517,128022,25497276,1888,206992,4152,16.48
108,12309798,746433,80221383,32295123,18,19543,24517,129145,25732472,1888,206992,4152,16.47
109,12428433,757557,80926693,32611492,18,19543,24517,130214,25972991,1888,206992,4152,17.25
110,12540174,760331,81635145,32929082,18,19543,24517,131365,26203194,1888,206992,4152,16.35
111,12656588,762710,82337503,33225463,18,19543,24517,132434,26438616,1888,206992,4152,16.58
112,12769638,767976,78184073,33548277,18,19543,24517,133724,26675723,1888,206992,4152,16.73
113,12887190,775323,83742191,33847203,18,19543,24517,134650,26911918,1888,206992,4152,16.72
114,12999756,782771,79486410,34162211,18,19543,24517,135855,27146609,1888,206992,4152,16.19
115,13119266,790038,85156652,34470938,18,19543,24517,136890,27387607,1888,206992,4152,16.91
116,13232616,797880,85869953,34784711,18,19543,24517,137949,27618143,1888,206992,4152,16.19
117,13349588,803146,86573858,35087378,18,19543,24517,139112,27858441,1888,206992,4152,16.77
118,13462541,811488,87282916,35405252,18,19543,24517,140291,28091968,1888,206992,4152,16.11
119,13579889,815964,87989877,35709961,18,19543,24517,141491,28330361,1888,206992,4152,16.86
120,13693216,818652,88704734,36001720,18,19543,24517,142527,28562300,1888,206992,4152,16.07
121,13807596,821539,89411218,36333936,18,19543,24517,143575,28796604,1888,206992,4152,16.87
122,13926058,829207,84660694,36632629,18,19543,24517,144695,29035453,1888,206992,4152,16.70
123,14044137,840587,90842031,36959308,18,19543,24517,145924,29275208,1888,206992,4152,17.02
124,14158094,845295,85957708,37281423,18,19543,24517,147020,29508450,1888,206992,4152,16.47
125,14275605,852827,92259763,37581354,18,19543,24517,148085,29747054,1888,206992,4152,16.73
126,14386855,861509,92969623,37893226,18,19543,24517,149114,29977891,1888,206992,4152,16.00
127,14506379,869517,93673959,38199756,18,19543,24517,150178,30215229,1888,206992,4152,17.09
128,14619574,877651,88566005,38499023,18,19543,24517,151411,30448845,1888,206992,4152,16.22
129,14741556,889271,95086225,38826023,18,19543,24517,152700,30692736,1888,206992,4152,17.46
130,14853540,891943,89840916,39146591,18,19543,24517,153744,30924585,1888,206992,4152,16.47
131,14973115,898076,96503439,39439203,18,19543,24517,155020,31157712,1888,206992,4152,16.45
132,15090156,906738,91140995,39748452,18,19543,24517,156111,31395398,1888,206992,4152,16.47
133,15206963,914172,97926292,40059330,18,19543,24517,157210,31631418,1888,206992,4152,17.12
134,15321723,917161,92426571,40382679,18,19543,24517,158305,31867982,1888,206992,4152,16.38
135,15436546,921118,99341018,40679597,18,19543,24517,159473,32102735,1888,206992,4152,16.58
136,15551702,929808,100054706,40994852,18,19543,24517,160525,32336224,1888,206992,4152,16.19
137,15672140,936421,100758783,41302456,18,19543,24517,161713,32573506,1888,206992,4152,16.98
138,15786706,940898,95003228,41628115,18,19543,24517,162792,32812554,1888,206992,4152,16.72
139,15907992,947321,102165940,41926116,18,19543,24517,163824,33049622,1888,206992,4152,16.73
140,16021904,954910,96297661,42237187,18,19543,24517,164911,33279709,1888,206992,4152,16.18
141,16143602,961283,96945057,42548742,18,19543,24517,166034,33521304,1888,206992,4152,17.00
142,16255143,969691,104303589,42849855,18,19543,24517,167239,33749139,1888,206992,4152,16.17
143,16373121,980020,105010547,43168800,18,19543,24517,168227,33992291,1888,206992,4152,17.28
144,16484740,988373,98908830,43484232,18,19543,24517,169544,34226271,1888,206992,4152,16.15
145,16605868,995646,106424004,43793471,18,19543,24517,170546,34466328,1888,206992,4152,16.96
146,16714334,1002982,100201487,44103519,18,19543,24517,171809,34693426,1888,206992,4152,15.89
147,16833020,1010202,100851376,44410866,18,19543,24517,172978,34933615,1888,206992,4152,16.90
148,16944383,1018065,108545370,44728659,18,19543,24517,174203,35168019,1888,206992,4152,16.21
149,17062895,1026464,102145797,45034676,18,19543,24517,175236,35409042,1888,206992,4152,17.06
150,17179309,1034545,102788755,45342164,18,19543,24517,176297,35643384,1888,206992,4152,16.44
151,17293799,1045513,110671450,45656273,18,19543,24517,177470,35879859,1888,206992,4152,16.84
152,17406185,1050782,104090541,45980881,18,19543,24517,178598,36114385,1888,206992,4152,16.49
153,17526425,1059210,112078818,46280563,18,19543,24517,179769,36352312,1888,206992,4152,16.74
154,17639107,1067030,112776760,46591732,18,19543,24517,181130,36587900,1888,206992,4152,16.19
155,17759859,1074929,113483112,46901971,18,19543,24517,182301,36826649,1888,206992,4152,17.21
156,17872327,1083623,106682571,47214628,18,19543,24517,183297,37061241,1888,206992,4152,16.25
157,17990892,1092712,114901292,47525345,18,19543,24517,184555,37300127,1888,206992,4152,17.22
158,18105689,1100520,115613091,47834724,18,19543,24517,185719,37533486,1888,206992,4152,16.21
159,18208504,1108350,116356962,48117452,18,19543,24517,186921,37744050,1888,206992,4152,15.12
160,18262254,1111831,109430582,48336502,18,19543,24517,188548,37875768,1888,206992,4152,8.46
161,18285411,1118637,118120817,48453531,18,19543,24517,190001,37938694,1888,206992,4152,3.26
162,18347479,1127272,118941337,48674417,18,19543,24517,191711,38077862,1888,206992,4152,8.55
163,18501576,1133962,119550488,49047309,18,19543,24517,193107,38388892,1888,206992,4152,22.28
164,18653002,1140806,120159047,49426986,18,19543,24517,194296,38700523,1888,206992,4152,22.02
