period,tiT,experiment_runn,measurer,main,IDLE,TmrSvc,ipc1,sys_evt,wifi,esp_timer,ipc0,Heap,Stack,Mbps
0,7665,341,378,98530,4349186,18,19525,24518,708973,3719,1881,206992,4152,0.01
1,11294,4423,11809,98530,4521258,18,19525,24518,723997,5203,1881,206992,4152,0.00
2,12314,4423,14483,98530,5507071,18,19525,24518,736488,6454,1881,206992,4152,0.00
3,248677,131282,17077,98530,6206130,18,19525,24518,971184,7579,1881,206992,4152,16.71
4,488446,250395,19912,98530,6911268,18,19525,24518,1208074,8695,1881,206992,4152,16.43
5,828915,362971,23183,98530,7616331,18,19525,24518,1442899,9818,1881,206992,4152,16.44
6,1215175,481117,34140,98530,8342458,18,19525,24518,1686738,10861,1881,206992,4152,17.32
7,1585329,591012,39302,98530,9558820,18,19525,24518,1919862,11990,1881,206992,4152,16.58
8,1933818,706382,43474,98530,9755727,18,19525,24518,2156297,13248,1881,206992,4152,16.56
9,2294803,820123,51753,98530,10462655,18,19525,24518,2389068,14233,1881,206992,4152,16.52
10,2656924,935420,60214,98530,11167038,18,19525,24518,2629970,15414,1881,206992,4152,16.93
11,3018236,1049319,68542,98530,11868634,18,19525,24518,2865739,16651,1881,206992,4152,16.53
12,3381525,1166319,78660,98530,12574794,18,19525,24518,3107452,17708,1881,206992,4152,17.20
13,3746580,1278088,86467,98530,13287242,18,19525,24518,3343001,18797,1881,206992,4152,15.93
14,4102042,1394316,92687,98530,13989027,18,19525,24518,3582424,19938,1881,206992,4152,16.67
15,4465199,1506176,100434,98530,14700377,18,19525,24518,3818141,21056,1881,206992,4152,16.38
16,4825914,1622389,106817,98530,15403435,18,19525,24518,4059353,22113,1881,206992,4152,17.22
17,5178975,1731609,114306,98530,15575704,18,19525,24518,4293802,23142,1881,206992,4152,16.02
18,5542611,1847863,125296,98530,16824182,18,19525,24518,4534754,24143,1881,206992,4152,17.31
19,5915089,1960170,127887,98530,17525018,18,19525,24518,4772699,25216,1881,206992,4152,16.68
20,6257662,2075703,135108,98530,18233537,18,19525,24518,5007480,26263,1881,206992,4152,16.73
21,6608843,2188800,142341,98530,18939477,18,19525,24518,5245889,27326,1881,206992,4152,16.21
22,6969826,2305628,152922,98530,19652604,18,19525,24518,5483987,28408,1881,206992,4152,17.18
23,7334219,2416088,160149,98530,20357367,18,19525,24518,5718703,29535,1881,206992,4152,16.29
24,7685833,2533207,167638,98530,21059364,18,19525,24518,5957058,30643,1881,206992,4152,16.92
25,8037715,2638927,175504,98530,21775654,18,19525,24518,6183722,31742,1881,206992,4152,15.46
