period,experiment_runn,measurer,IDLE,tiT,TmrSvc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps,main
0,334,371,4370896,9265,19,19550,24531,3579,703841,1881,206992,4152,0.01,99152
1,2488,8376,4548657,11263,19,19550,24531,4882,717020,1881,206992,4152,0.00,99152
2,2488,10978,5534878,11986,19,19550,24531,6025,728435,1881,206992,4152,0.00,99152
3,124614,13808,6237885,249465,19,19550,24531,7274,962365,1881,206992,4152,16.68,99152
4,243050,21783,7807439,476658,19,19550,24531,8450,1199205,1881,206992,4152,16.19,99152
5,356987,37907,7661974,799834,19,19550,24531,9713,1435234,1881,206992,4152,16.74,99152
6,462800,45523,9146326,1082006,19,19550,24531,10829,1651589,1881,206992,4152,15.38,99152
7,596550,61089,9092919,1444281,19,19550,24531,12004,1915552,1881,206992,4152,18.91,99152
8,716054,70496,9807648,1759080,19,19550,24531,13115,2153133,1881,206992,4152,17.13,99152
9,829363,73338,10508965,2084767,19,19550,24531,14362,2384999,1881,206992,4152,16.38,99152
10,923819,76597,11735510,2369624,19,19550,24531,15472,2581673,1881,206992,4152,14.02,99152
11,1055919,79626,12330446,2720612,19,19550,24531,16766,2847942,1881,206992,4152,19.10,99152
12,1171463,82374,12623139,3037574,19,19550,24531,17974,3081192,1881,206992,4152,16.53,99152
13,1287096,85912,13605306,3355036,19,19550,24531,19164,3310912,1881,206992,4152,16.57,99152
14,1389448,88967,14069711,3650332,19,19550,24531,20153,3521016,1881,206992,4152,14.30,99152
15,1518528,91792,14862487,3996948,19,19550,24531,21349,3786226,1881,206992,4152,18.77,99152
16,1636102,98743,15517943,4289563,19,19550,24531,22354,4018916,1881,206992,4152,16.69,99152
17,1752082,113984,16186836,4634621,19,19550,24531,23611,4259388,1881,206992,4152,16.76,99152
18,1830849,125803,16984280,4875506,19,19550,24531,24737,4429978,1881,206992,4152,11.48,99152
19,1984868,136758,17508621,5258230,19,19550,24531,26045,4735609,1881,206992,4152,22.55,99152
20,2105448,139292,18121038,5592997,19,19550,24531,27166,4976441,1881,206992,4152,16.95,99152
21,2221207,142579,19018220,5910790,19,19550,24531,28391,5210748,1881,206992,4152,16.64,99152
22,2310099,145822,19456043,6172248,19,19550,24531,29540,5396683,1881,206992,4152,12.99,99152
23,2447553,148270,20430772,6534532,19,19550,24531,30723,5675086,1881,206992,4152,19.90,99152
24,2562035,151164,21136199,6853852,19,19550,24531,31756,5908333,1881,206992,4152,16.65,99152
25,2679620,153932,21838328,7175101,19,19550,24531,33028,6143044,1881,206992,4152,16.35,99152
26,2735796,157128,22677455,7390393,19,19550,24531,34469,6270216,1881,206992,4152,8.30,99152
27,2737174,165397,23648642,7489990,19,19550,24531,36176,6294062,1881,206992,4152,0.20,99152
28,2869636,175900,24310639,7827181,19,19550,24531,37404,6560587,1881,206992,4152,18.95,99152
29,3023827,178684,24910391,8225436,19,19550,24531,38639,6872832,1881,206992,4152,22.58,99152
30,3135645,181884,25621130,8540487,19,19550,24531,39664,7100857,1881,206992,4152,16.62,99152
31,3282886,184461,26231288,8924226,19,19550,24531,40822,7405517,1881,206992,4152,21.87,99152
32,3438402,187107,26828790,9318164,19,19550,24531,42083,7717943,1881,206992,4152,22.53,99152
33,3584836,189713,27443185,9696295,19,19550,24531,43236,8018528,1881,206992,4152,21.47,99152
34,3698977,192612,28143023,10014286,19,19550,24531,44435,8253997,1881,206992,4152,16.76,99152
35,3812117,200415,27737242,10320338,19,19550,24531,45562,8481557,1881,206992,4152,16.19,99152
36,3935322,206004,29566292,10632465,19,19550,24531,46667,8725689,1881,206992,4152,17.24,99152
37,4051169,216925,30289578,10959401,19,19550,24531,47911,8964273,1881,206992,4152,16.95,99152
38,4090551,219731,31200159,11159721,19,19550,24531,49531,9064952,1881,206992,4152,6.28,99152
39,4162445,222876,32007621,11407920,19,19550,24531,51020,9216861,1881,206992,4152,10.07,99152
40,4317977,226250,31154506,11796651,19,19550,24531,52338,9528915,1881,206992,4152,22.73,99152
41,4467355,228660,33220806,12174405,19,19550,24531,53458,9833520,1881,206992,4152,21.82,99152
42,4579413,231295,33918632,12493806,19,19550,24531,54612,10070538,1881,206992,4152,16.59,99152
43,4729129,234398,34525356,12878458,19,19550,24531,55922,10376523,1881,206992,4152,22.00,99152
44,4841944,236967,35226428,13196017,19,19550,24531,57114,10610495,1881,206992,4152,16.49,99152
45,4957646,240170,35932894,13517619,19,19550,24531,58231,10844689,1881,206992,4152,16.71,99152
46,5064205,247914,34861303,13790569,19,19550,24531,59297,11062842,1881,206992,4152,15.21,99152
47,5194605,258602,35492283,14127667,19,19550,24531,60496,11320064,1881,206992,4152,18.67,99152
48,5309840,275113,36145042,14460988,19,19550,24531,61588,11565612,1881,206992,4152,16.76,99152
49,5424651,291220,38812746,14798104,19,19550,24531,62791,11806326,1881,206992,4152,16.74,99152
50,5474058,299080,39669305,14980724,19,19550,24531,64242,11923365,1881,206992,4152,7.42,99152
51,5629314,314252,40302356,15379505,19,19550,24531,65510,12239348,1881,206992,4152,22.42,99152
52,5775007,328042,38770161,15775056,19,19550,24531,66692,12537458,1881,206992,4152,21.55,99152
53,5891904,335026,41669732,16075914,19,19550,24531,67828,12768459,1881,206992,4152,16.56,99152
54,6008420,338224,42362363,16406017,19,19550,24531,68902,13008527,1881,206992,4152,16.89,99152
55,6120955,341747,40688135,16724261,19,19550,24531,70098,13243961,1881,206992,4152,16.75,99152
56,6234595,345004,41318905,17045811,19,19550,24531,71236,13479897,1881,206992,4152,16.70,99152
57,6339798,347410,44499136,17351734,19,19550,24531,72238,13699333,1881,206992,4152,15.52,99152
58,6459263,350931,42589524,17681116,19,19550,24531,73285,13943556,1881,206992,4152,17.38,99152
59,6576177,353389,45892459,18004314,19,19550,24531,74419,14178339,1881,206992,4152,16.72,99152
60,6691651,361274,46599382,18315628,19,19550,24531,75535,14410844,1881,206992,4152,16.20,99152
61,6805042,373430,47319359,18617819,19,19550,24531,76613,14641255,1881,206992,4152,16.37,99152
62,6925883,387905,45193030,18958311,19,19550,24531,77896,14890499,1881,206992,4152,17.60,99152
63,7039646,401680,45841893,19299344,19,19550,24531,79256,15128144,1881,206992,4152,17.30,99152
64,7160211,415385,49440380,19599811,19,19550,24531,80343,15365015,1881,206992,4152,16.73,99152
65,7262079,429166,50206746,19896070,19,19550,24531,81520,15573122,1881,206992,4152,14.52,99152
66,7402465,444355,50885214,20261053,19,19550,24531,82819,15849789,1881,206992,4152,20.00,99152
67,7519364,455291,51610675,20580172,19,19550,24531,84021,16088546,1881,206992,4152,16.89,99152
68,7635592,471159,49126726,20927219,19,19550,24531,85223,16334348,1881,206992,4152,17.10,99152
69,7742937,487516,53063659,21242176,19,19550,24531,86347,16556831,1881,206992,4152,15.69,99152
70,7868425,499322,53750856,21564207,19,19550,24531,87508,16807409,1881,206992,4152,17.94,99152
71,7990384,514931,54469091,21904075,19,19550,24531,88753,17052803,1881,206992,4152,17.32,99152
