period,experiment_runn,measurer,main,IDLE,tiT,TmrSvc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
0,398,0,95985,4560652,8102,18,15756,13923,3224,703703,1823,290608,4148,0.02
1,781,9986,95985,4745899,11836,18,15756,13923,4196,712961,1823,290608,4148,0.00
2,781,12594,95985,5733852,12831,18,15756,13923,5188,722686,1823,290608,4148,0.00
3,39380,15172,95985,6619779,87428,18,15756,13923,6172,807730,1823,290608,4148,4.82
4,91704,17957,95985,7463296,194010,18,15756,13923,7036,924259,1823,290608,4148,7.20
5,184701,20637,95985,8238030,359171,18,15756,13923,8016,1086984,1823,290608,4148,10.73
6,268245,23570,95985,9029504,510317,18,15756,13923,8731,1238254,1823,290608,4148,9.66
7,346921,26638,95985,10834788,656486,18,15756,13923,9535,1384656,1823,290608,4148,9.23
8,398804,29787,95985,10703681,754159,18,15756,13923,10490,1482691,1823,290608,4148,5.89
9,489823,33312,95985,11473369,927454,18,15756,13923,11359,1648399,1823,290608,4148,10.91
10,556390,36028,95985,12312026,1049200,18,15756,13923,11967,1766966,1823,290608,4148,7.49
11,642425,38753,95985,13101878,1208409,18,15756,13923,12655,1919511,1823,290608,4148,10.01
12,715518,41847,95985,13913553,1349090,18,15756,13923,13472,2056657,1823,290608,4148,8.97
13,783387,44193,95985,14736161,1482625,18,15756,13923,14419,2189151,1823,290608,4148,8.35
14,847281,47229,95985,15557615,1611449,18,15756,13923,15253,2319681,1823,290608,4148,8.27
15,930456,50069,95985,16350485,1767188,18,15756,13923,16024,2472030,1823,290608,4148,9.72
16,1006743,52781,95985,17161468,1908675,18,15756,13923,16786,2609028,1823,290608,4148,8.58
17,1082865,55573,95985,17974189,2050194,18,15756,13923,17506,2747032,1823,290608,4148,8.71
18,1138777,58669,95985,18823376,2159161,18,15756,13923,18364,2857172,1823,290608,4148,6.96
19,1231284,61390,95985,19600369,2329610,18,15756,13923,19319,3019810,1823,290608,4148,10.40
20,1303298,64570,95985,20405976,2469236,18,15756,13923,20101,3158297,1823,290608,4148,8.65
21,1367241,67854,95985,21217544,2600024,18,15756,13923,20952,3288035,1823,290608,4148,8.32
22,1436714,70797,95985,22046160,2721634,18,15756,13923,21829,3398330,1823,290608,4148,6.81
23,1532997,73909,95985,22814399,2887765,18,15756,13923,22574,3546977,1823,290608,4148,9.37
24,1619039,77017,95985,23599125,3049350,18,15756,13923,23504,3704561,1823,290608,4148,10.18
25,1694508,79632,95985,24413416,3189940,18,15756,13923,24277,3843004,1823,290608,4148,8.62
26,1769230,82743,95985,25230810,3327824,18,15756,13923,25051,3976264,1823,290608,4148,8.60
27,1850137,85842,95985,26034661,3476321,18,15756,13923,26086,4121839,1823,290608,4148,9.16
28,1922514,88637,95985,26854640,3613543,18,15756,13923,26919,4255454,1823,290608,4148,8.48
29,1995566,91553,95985,29325604,3753820,18,15756,13923,27659,4392981,1823,290608,4148,8.74
30,2068153,94554,95985,28488323,3893098,18,15756,13923,28512,4529209,1823,290608,4148,8.66
31,2144364,97386,95985,29296301,4035370,18,15756,13923,29294,4666748,1823,290608,4148,8.73
32,2212952,100474,95985,30118279,4166740,18,15756,13923,30083,4796338,1823,290608,4148,8.12
33,2268498,103587,95985,30973071,4271268,18,15756,13923,31002,4901391,1823,290608,4148,6.49
34,2360496,106705,95985,31741635,4446180,18,15756,13923,31829,5070461,1823,290608,4148,10.82
35,2432676,110098,95985,32549845,4586557,18,15756,13923,32778,5211625,1823,290608,4148,8.73
36,2514269,112817,95985,33348261,4736797,18,15756,13923,33606,5362179,1823,290608,4148,9.83
37,2587782,115521,95985,34164926,4875630,18,15756,13923,34340,5496770,1823,290608,4148,8.42
38,2665388,118489,95985,34973352,5020910,18,15756,13923,35146,5637751,1823,290608,4148,8.94
39,2734440,121515,95985,35792755,5152196,18,15756,13923,36215,5768344,1823,290608,4148,8.14
40,2803806,124632,95985,36612784,5284915,18,15756,13923,37166,5898760,1823,290608,4148,8.24
41,2883719,127753,95985,37415877,5434020,18,15756,13923,37938,6042712,1823,290608,4148,9.19
42,2959511,130420,95985,38216699,5581637,18,15756,13923,38855,6186391,1823,290608,4148,9.05
43,3029609,133803,95985,41092723,5718143,18,15756,13923,39664,6320630,1823,290608,4148,8.49
44,3095611,136649,95985,39854724,5848171,18,15756,13923,40266,6450556,1823,290608,4148,8.14
45,3174855,139272,95985,40661597,5997491,18,15756,13923,41034,6593905,1823,290608,4148,9.10
46,3240541,142683,95985,41493881,6122751,18,15756,13923,41937,6715991,1823,290608,4148,7.59
47,3326827,145231,95985,42282458,6283163,18,15756,13923,42665,6870268,1823,290608,4148,10.01
48,3400032,148422,95985,43096326,6422126,18,15756,13923,43436,7007382,1823,290608,4148,8.65
49,3474728,151513,95985,43907624,6561972,18,15756,13923,44259,7142536,1823,290608,4148,8.65
50,3548804,154616,95985,44719284,6700509,18,15756,13923,45040,7277008,1823,290608,4148,8.60
51,3621721,157712,95985,45530739,6839725,18,15756,13923,45819,7412749,1823,290608,4148,8.69
52,3687913,160322,95985,46357314,6966318,18,15756,13923,46786,7540503,1823,290608,4148,7.93
53,3762419,163243,95985,47163814,7111284,18,15756,13923,47638,7682918,1823,290608,4148,9.08
54,3821703,166133,95985,48008591,7225547,18,15756,13923,48322,7796575,1823,290608,4148,7.20
55,3909000,169249,95985,48788458,7391119,18,15756,13923,49144,7958041,1823,290608,4148,10.39
56,3973625,172448,95985,49622938,7513008,18,15756,13923,50087,8078849,1823,290608,4148,8.01
57,4048567,175783,95985,52883765,7656016,18,15756,13923,50961,8218068,1823,290608,4148,8.55
58,4132827,178713,95985,51236727,7810966,18,15756,13923,51717,8369399,1823,290608,4148,9.47
59,4205011,181809,95985,52055367,7946696,18,15756,13923,52539,8503753,1823,290608,4148,8.54
60,4267814,184922,95985,52899866,8063000,18,15756,13923,53593,8619334,1823,290608,4148,7.27
61,4358110,188057,95985,53679343,8230270,18,15756,13923,54346,8779226,1823,290608,4148,10.34
62,4419890,191239,95985,54522482,8346729,18,15756,13923,55251,8893598,1823,290608,4148,7.21
63,4507475,194356,95985,55310379,8507769,18,15756,13923,55859,9047227,1823,290608,4148,9.97
64,4582284,197018,95985,56123548,8648652,18,15756,13923,56647,9184591,1823,290608,4148,8.77
65,4651593,199710,95985,56951517,8777319,18,15756,13923,57593,9312256,1823,290608,4148,7.78
66,4712206,202516,95985,57796814,8892275,18,15756,13923,58442,9427120,1823,290608,4148,7.20
67,4794742,205238,95985,58589539,9048132,18,15756,13923,59239,9578358,1823,290608,4148,9.84
68,4861003,208327,95985,59423439,9170930,18,15756,13923,60183,9697305,1823,290608,4148,7.58
69,4902914,211463,95985,60313107,9250205,18,15756,13923,61340,9779964,1823,290608,4148,4.88
70,4990910,214575,95985,61094236,9416851,18,15756,13923,62162,9937471,1823,290608,4148,10.39
71,5051007,217758,95985,64715399,9537164,18,15756,13923,63130,10057860,1823,290608,4148,7.74
72,5113297,220794,95985,62772488,9656723,18,15756,13923,64006,10173739,1823,290608,4148,7.44
73,5192352,223766,95985,63566179,9810233,18,15756,13923,64831,10322442,1823,290608,4148,9.74
74,5283555,226523,95985,64338372,9984330,18,15756,13923,65597,10489793,1823,290608,4148,11.13
75,5372514,228969,95985,65120553,10151253,18,15756,13923,66556,10647011,1823,290608,4148,10.26
76,5437177,232145,95985,65948426,10275477,18,15756,13923,67693,10770184,1823,290608,4148,7.77
77,5514941,235267,95985,66756643,10419929,18,15756,13923,68645,10908729,1823,290608,4148,8.97
78,5606623,238035,95985,67530964,10593060,18,15756,13923,69397,11073616,1823,290608,4148,10.72
79,5680488,240846,95985,68346055,10731721,18,15756,13923,70294,11207390,1823,290608,4148,8.52
80,5756471,243959,95985,69153460,10873959,18,15756,13923,70969,11345116,1823,290608,4148,8.73
81,5832619,247413,95985,69961336,11018679,18,15756,13923,71792,11485106,1823,290608,4148,8.95
82,5883806,250275,95985,70829517,11113998,18,15756,13923,72659,11582482,1823,290608,4148,6.14
83,5970154,253508,95985,74738179,11273942,18,15756,13923,73498,11739721,1823,290608,4148,10.28
84,6042837,256351,95985,72432006,11409622,18,15756,13923,74320,11874320,1823,290608,4148,8.39
85,6124330,259470,95985,73234439,11558625,18,15756,13923,75123,12018224,1823,290608,4148,9.29
86,6181412,262577,95985,74094780,11664085,18,15756,13923,75924,12121831,1823,290608,4148,6.49
87,6255976,265713,95985,74896712,11811564,18,15756,13923,76623,12265795,1823,290608,4148,9.29
