period,tiT,experiment_runn,measurer,main,IDLE,TmrSvc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
0,7453,517,523,99335,4347667,19,19487,23953,3585,700701,1836,290608,4152,0.01
1,13186,4463,11751,99335,4522273,19,19487,23953,5008,716277,1836,290608,4152,0.00
2,13664,4463,14360,99335,5508771,19,19487,23953,6156,728068,1836,290608,4152,0.00
3,834323,84856,16953,99335,6518971,19,19487,23953,7250,954569,1836,290608,4152,16.33
4,1651033,162124,20576,99335,6944148,19,19487,23953,8479,1174570,1836,290608,4152,16.17
5,2521891,240456,24134,99335,6816807,19,19487,23953,9699,1411498,1836,290608,4152,17.04
6,3376793,317384,27552,99335,6950977,19,19487,23953,11001,1641409,1836,290608,4152,16.67
7,4165028,390644,30897,99335,7149705,19,19487,23953,12238,1854245,1836,290608,4152,15.33
8,5011479,465708,34167,99335,7292575,19,19487,23953,13507,2083069,1836,290608,4152,16.38
9,5869129,543120,37636,99335,7417272,19,19487,23953,14716,2313671,1836,290608,4152,16.68
10,6706007,616836,41131,99335,7566900,19,19487,23953,16032,2543746,1836,290608,4152,16.37
11,7555585,693297,44513,99335,7714980,19,19487,23953,17252,2776868,1836,290608,4152,16.48
12,8349192,766844,48490,99335,7921402,19,19487,23953,18607,2990979,1836,290608,4152,15.43
13,9164792,839622,52094,99335,8107273,19,19487,23953,19835,3218956,1836,290608,4152,15.72
14,10003533,915796,55870,99335,8258848,19,19487,23953,21110,3450240,1836,290608,4152,16.22
15,10798704,988818,59345,99335,8461393,19,19487,23953,22390,3667245,1836,290608,4152,15.37
16,11621364,1064229,63155,99335,8625902,19,19487,23953,23637,3893636,1836,290608,4152,15.90
17,12406872,1137943,66659,99335,8842137,19,19487,23953,24888,4106769,1836,290608,4152,15.15
18,13240725,1214818,70621,99335,9007739,19,19487,23953,26250,4330899,1836,290608,4152,16.19
19,14036653,1285685,73993,99335,17827249,19,19487,23953,27524,4553282,1836,290608,4152,15.32
20,14877966,1360172,77382,99335,9352679,19,19487,23953,28759,4784919,1836,290608,4152,16.37
21,15738566,1436776,80632,99335,9484623,19,19487,23953,30004,5018630,1836,290608,4152,16.64
22,16475322,1506000,83985,99335,9735976,19,19487,23953,31197,5220059,1836,290608,4152,14.17
23,17180200,1570644,87537,99335,20771080,19,19487,23953,32452,5413272,1836,290608,4152,13.52
24,17727477,1623238,90688,99335,21581683,19,19487,23953,33674,5562608,1836,290608,4152,10.55
25,18494326,1689571,93685,99335,10687873,19,19487,23953,34861,5775154,1836,290608,4152,14.88
26,19344652,1768899,96792,99335,10826833,19,19487,23953,36142,6006967,1836,290608,4152,16.55
27,20176607,1845351,100649,99335,10984384,19,19487,23953,37457,6234936,1836,290608,4152,16.07
28,21017731,1921279,103671,99335,11140659,19,19487,23953,38728,6467762,1836,290608,4152,16.27
29,21843196,1997506,107467,99335,25193442,19,19487,23953,39935,6694780,1836,290608,4152,15.95
30,22635128,2068907,111123,99335,25923158,19,19487,23953,41163,6912172,1836,290608,4152,15.39
31,23483284,2146206,114476,99335,11644748,19,19487,23953,42383,7143239,1836,290608,4152,16.51
32,24254855,2218240,118225,99335,27375433,19,19487,23953,43675,7357606,1836,290608,4152,14.83
33,24938371,2288560,121669,99335,12172549,19,19487,23953,44864,7537152,1836,290608,4152,13.18
34,25755704,2366402,125277,99335,12351321,19,19487,23953,46096,7749580,1836,290608,4152,15.73
35,26615643,2445280,128934,99335,12489023,19,19487,23953,47343,7975301,1836,290608,4152,16.62
36,27452256,2525019,131982,99335,12643290,19,19487,23953,48495,8193745,1836,290608,4152,16.23
37,28277754,2603025,135267,99335,12805189,19,19487,23953,49775,8408917,1836,290608,4152,15.99
38,29123150,2684143,138733,99335,12948752,19,19487,23953,51005,8632233,1836,290608,4152,16.36
39,29933950,2760836,142247,99335,13133634,19,19487,23953,52290,8846516,1836,290608,4152,15.65
40,30766010,2837630,145647,99335,13289863,19,19487,23953,53478,9064778,1836,290608,4152,16.14
41,31586565,2913049,149168,99335,13462196,19,19487,23953,54836,9285209,1836,290608,4152,15.87
42,32210809,2986991,153145,99335,13829892,19,19487,23953,56067,9445943,1836,290608,4152,11.74
43,32858415,3060947,156157,99335,14174834,19,19487,23953,57186,9612802,1836,290608,4152,12.24
44,33572115,3137602,160085,99335,14453624,19,19487,23953,58308,9798271,1836,290608,4152,13.62
45,34396148,3214486,163238,99335,36966056,19,19487,23953,59581,10015457,1836,290608,4152,15.97
46,35190080,3290172,167122,99335,14812069,19,19487,23953,60844,10224783,1836,290608,4152,15.29
47,36045990,3369381,170123,99335,14951538,19,19487,23953,62053,10447948,1836,290608,4152,16.57
48,36952456,3448832,174198,99335,15037056,19,19487,23953,63458,10695523,1836,290608,4152,17.66
49,37736663,3522878,177918,99335,15253586,19,19487,23953,64662,10904374,1836,290608,4152,15.14
50,38602627,3602620,181366,99335,15383957,19,19487,23953,65889,11133970,1836,290608,4152,16.85
51,39464011,3680853,184745,99335,15516656,19,19487,23953,67103,11364329,1836,290608,4152,16.66
52,40307319,3760981,188206,99335,15669678,19,19487,23953,68407,11590752,1836,290608,4152,16.26
53,41189685,3839200,191641,99335,15779179,19,19487,23953,69675,11827679,1836,290608,4152,17.10
54,42060135,3915720,195411,99335,15895629,19,19487,23953,70971,12062074,1836,290608,4152,16.95
55,42925255,3993957,199240,99335,16019664,19,19487,23953,72336,12296755,1836,290608,4152,16.82
56,43788771,4072573,202509,99335,16154627,19,19487,23953,73562,12526824,1836,290608,4152,16.74
57,44654550,4150889,205900,99335,16279299,19,19487,23953,74855,12757437,1836,290608,4152,16.82
58,45500555,4226765,209978,99335,16423023,19,19487,23953,75998,12984254,1836,290608,4152,16.39
59,46319525,4303667,213338,99335,16597089,19,19487,23953,77375,13200760,1836,290608,4152,15.82
60,47159117,4381133,216353,99335,16738906,19,19487,23953,78631,13425423,1836,290608,4152,16.43
61,47951723,4457789,220076,99335,16938133,19,19487,23953,79877,13638880,1836,290608,4152,15.38
62,48752661,4535058,223590,99335,17125500,19,19487,23953,81035,13852388,1836,290608,4152,15.55
63,49630369,4615164,227138,99335,17242369,19,19487,23953,82310,14088298,1836,290608,4152,17.15
64,50518904,4693777,230931,99335,17346411,19,19487,23953,83561,14326196,1836,290608,4152,17.38
65,51401861,4773908,234079,99335,17462053,19,19487,23953,84793,14564676,1836,290608,4152,17.18
66,52291499,4852274,237620,99335,17566095,19,19487,23953,86084,14801904,1836,290608,4152,17.38
67,53161863,4931841,241722,99335,17685500,19,19487,23953,87476,15042294,1836,290608,4152,16.95
68,54065085,5010820,245011,99335,17778371,19,19487,23953,88768,15288848,1836,290608,4152,17.58
69,54968751,5090181,248701,99335,17868969,19,19487,23953,90014,15536140,1836,290608,4152,17.62
70,55836591,5167525,252559,99335,17989122,19,19487,23953,91301,15775480,1836,290608,4152,16.92
71,56725922,5246886,256093,99335,18092600,19,19487,23953,92661,16016966,1836,290608,4152,17.36
72,57602534,5324005,259421,99335,18206059,19,19487,23953,93856,16262933,1836,290608,4152,17.10
73,58481409,5401891,262656,99335,18319321,19,19487,23953,95125,16505805,1836,290608,4152,17.08
74,59350382,5478392,265918,99335,18441565,19,19487,23953,96401,16741138,1836,290608,4152,17.01
75,60227547,5556246,269445,99335,18559081,19,19487,23953,97628,16983596,1836,290608,4152,17.11
76,61103358,5636570,273095,99335,18675129,19,19487,23953,98884,17223411,1836,290608,4152,16.98
77,61983526,5714389,276393,99335,18787637,19,19487,23953,100197,17466497,1836,290608,4152,17.20
78,62871394,5792669,280056,99335,18893121,19,19487,23953,101486,17711573,1836,290608,4152,17.33
79,63725617,5869356,283903,99335,19032741,19,19487,23953,102658,17944281,1836,290608,4152,16.64
80,64614626,5947290,287041,99335,19140357,19,19487,23953,103903,18187446,1836,290608,4152,17.34
81,65468292,6024784,290753,99335,62559590,19,19487,23953,105133,18420367,1836,290608,4152,16.65
82,66338423,6100843,293583,99335,19402140,19,19487,23953,106392,18658931,1836,290608,4152,17.08
83,67216332,6178377,297055,99335,19519973,19,19487,23953,107725,18903544,1836,290608,4152,17.15
84,68066496,6254453,300701,99335,19670033,19,19487,23953,109007,19136717,1836,290608,4152,16.58
85,68927136,6332063,304301,99335,19811519,19,19487,23953,110254,19375228,1836,290608,4152,16.90
86,69817284,6413272,307820,99335,19927291,19,19487,23953,111565,19616205,1836,290608,4152,17.31
87,70682856,6490277,311349,99335,20048531,19,19487,23953,112830,19850465,1836,290608,4152,16.79
88,71535620,6566225,315144,99335,20188009,19,19487,23953,113997,20084935,1836,290608,4152,16.47
89,72421658,6644615,318897,99335,20301415,19,19487,23953,115272,20327090,1836,290608,4152,17.11
90,73290992,6719216,322142,99335,20418486,19,19487,23953,116622,20565616,1836,290608,4152,16.79
91,74153472,6796284,325165,99335,20536533,19,19487,23953,118035,20803695,1836,290608,4152,16.77
92,75007456,6872137,329425,99335,20674625,19,19487,23953,119178,21041075,1836,290608,4152,16.51
93,75888251,6949724,332543,99335,20789160,19,19487,23953,120369,21281341,1836,290608,4152,17.07
94,76729074,7023295,335829,99335,20938548,19,19487,23953,121514,21516402,1836,290608,4152,16.35
95,77599376,7101043,339704,99335,21060881,19,19487,23953,122683,21756030,1836,290608,4152,16.91
96,78356394,7173930,343066,99335,73244310,19,19487,23953,123804,21960377,1836,290608,4152,14.62
97,79213952,7249654,346679,99335,21430598,19,19487,23953,125064,22197675,1836,290608,4152,16.60
98,80087592,7326778,350174,99335,21552357,19,19487,23953,126312,22437329,1836,290608,4152,16.88
99,80800394,7389367,353399,99335,21833419,19,19487,23953,127461,22632566,1836,290608,4152,13.71
100,81679662,7467631,356950,99335,21939947,19,19487,23953,128763,22875865,1836,290608,4152,17.09
101,82512883,7540440,360497,99335,22100056,19,19487,23953,130035,23109909,1836,290608,4152,16.11
102,83377525,7617054,363810,99335,22227027,19,19487,23953,131284,23346528,1836,290608,4152,16.73
103,84202051,7691825,367136,99335,22388467,19,19487,23953,132477,23576694,1836,290608,4152,15.95
104,85066285,7768781,371099,99335,22526799,19,19487,23953,133761,23816117,1836,290608,4152,16.67
105,85872954,7843316,374431,99335,22719336,19,19487,23953,135060,24040320,1836,290608,4152,15.59
106,86724044,7921887,377464,99335,80441270,19,19487,23953,136303,24271723,1836,290608,4152,16.50
107,87549325,7997565,380449,99335,23033423,19,19487,23953,137553,24496357,1836,290608,4152,16.08
108,88402213,8076797,384099,99335,23174219,19,19487,23953,138767,24724998,1836,290608,4152,16.57
109,89245546,8157415,387277,99335,23327352,19,19487,23953,140051,24949073,1836,290608,4152,16.25
110,90122983,8236122,391333,99335,23447426,19,19487,23953,141318,25182635,1836,290608,4152,16.94
111,90957038,8313628,394755,99335,23607226,19,19487,23953,142541,25405450,1836,290608,4152,16.08
112,91836666,8392356,398331,99335,23716699,19,19487,23953,143721,25640769,1836,290608,4152,17.06
113,92701172,8473302,401826,99335,23842919,19,19487,23953,145017,25868003,1836,290608,4152,16.66
114,93543004,8551963,405086,99335,23984527,19,19487,23953,146355,26096287,1836,290608,4152,16.35
115,94415574,8631254,408601,99335,24099820,19,19487,23953,147595,26332674,1836,290608,4152,16.95
116,95263358,8709821,412619,99335,24250688,19,19487,23953,148879,26562397,1836,290608,4152,16.49
117,96107467,8788181,415678,99335,24403605,19,19487,23953,150167,26789881,1836,290608,4152,16.33
118,96989399,8866812,419555,99335,24517376,19,19487,23953,151490,27028750,1836,290608,4152,17.13
119,97851473,8943672,422921,99335,24648298,19,19487,23953,152814,27260628,1836,290608,4152,16.73
120,98685576,9021949,426268,99335,24801581,19,19487,23953,153990,27485203,1836,290608,4152,16.27
121,99565603,9103657,429750,99335,24908479,19,19487,23953,155304,27720359,1836,290608,4152,17.24
122,100412590,9182993,433259,99335,25052329,19,19487,23953,156497,27947503,1836,290608,4152,16.52
123,101259868,9259661,436994,99335,25202089,19,19487,23953,157733,28174383,1836,290608,4152,16.49
124,102106277,9334708,441027,99335,25343401,19,19487,23953,158927,28402840,1836,290608,4152,16.50
125,102891523,9408016,444370,99335,94047305,19,19487,23953,160195,28616008,1836,290608,4152,15.21
126,103601245,9478756,447418,99335,94806859,19,19487,23953,161371,28804961,1836,290608,4152,13.67
127,104405337,9553039,450707,99335,26022307,19,19487,23953,162593,29023166,1836,290608,4152,15.63
128,105149195,9627114,454082,99335,26269270,19,19487,23953,163802,29223475,1836,290608,4152,14.28
129,105896357,9701251,457989,99335,26510901,19,19487,23953,165025,29425148,1836,290608,4152,14.34
130,106727420,9780430,461093,99335,26676553,19,19487,23953,166292,29641835,1836,290608,4152,16.11
131,107600591,9860645,464695,99335,26797749,19,19487,23953,167573,29873145,1836,290608,4152,16.89
132,108448505,9938274,468209,99335,26932781,19,19487,23953,168778,30099459,1836,290608,4152,16.55
133,109317337,10018953,471666,99335,27062542,19,19487,23953,170052,30329795,1836,290608,4152,16.88
134,110157046,10095774,475382,99335,27220911,19,19487,23953,171391,30556083,1836,290608,4152,16.30
135,110996912,10172388,478450,99335,27371979,19,19487,23953,172654,30780669,1836,290608,4152,16.32
136,111842282,10249098,481824,99335,27516629,19,19487,23953,173931,31004084,1836,290608,4152,16.47
137,112683008,10329367,485626,99335,27671641,19,19487,23953,175176,31223310,1836,290608,4152,16.33
138,113544006,10407050,489192,99335,27811700,19,19487,23953,176509,31454415,1836,290608,4152,16.67
139,114401228,10484394,492894,99335,27952310,19,19487,23953,177709,31682576,1836,290608,4152,16.60
140,115245577,10561468,496801,99335,28093847,19,19487,23953,178813,31901673,1836,290608,4152,16.48
141,116124862,10644637,499410,99335,28199800,19,19487,23953,179943,32134601,1836,290608,4152,17.18
142,116971583,10720536,502639,99335,28336498,19,19487,23953,181246,32359701,1836,290608,4152,16.55
143,117778560,10793941,506296,99335,28516390,19,19487,23953,182525,32581401,1836,290608,4152,15.67
144,118612034,10869410,509851,99335,28678781,19,19487,23953,183813,32808614,1836,290608,4152,16.16
145,119491881,10950147,513525,99335,28795998,19,19487,23953,185004,33044452,1836,290608,4152,17.14
146,120377156,11029049,517468,99335,28906070,19,19487,23953,186289,33282344,1836,290608,4152,17.19
147,121226196,11107281,521134,99335,109931423,19,19487,23953,187577,33509770,1836,290608,4152,16.62
148,122071072,11182513,524442,99335,29201405,19,19487,23953,188839,33738362,1836,290608,4152,16.43
149,122911714,11260655,527944,99335,29357022,19,19487,23953,190031,33963571,1836,290608,4152,16.36
150,123752567,11336588,531586,99335,29508646,19,19487,23953,191337,34189537,1836,290608,4152,16.33
151,124598304,11415270,535645,99335,29655061,19,19487,23953,192608,34416550,1836,290608,4152,16.42
152,125452026,11491216,539047,99335,29799093,19,19487,23953,193870,34644185,1836,290608,4152,16.65
153,126282393,11567042,542635,99335,29963292,19,19487,23953,195154,34871047,1836,290608,4152,16.09
154,127142785,11644260,545851,99335,30094953,19,19487,23953,196465,35106161,1836,290608,4152,16.71
155,127970367,11720910,549994,99335,30255383,19,19487,23953,197623,35326170,1836,290608,4152,16.11
156,128849342,11801913,553189,99335,116394850,19,19487,23953,198911,35559315,1836,290608,4152,17.03
157,129725806,11879818,556513,99335,30481180,19,19487,23953,200238,35796936,1836,290608,4152,17.02
158,130592127,11960317,559931,99335,30597892,19,19487,23953,201444,36030723,1836,290608,4152,16.83
159,131482247,12038531,563068,99335,30697664,19,19487,23953,202702,36271957,1836,290608,4152,17.18
160,132336738,12114890,566750,99335,30837152,19,19487,23953,204043,36502602,1836,290608,4152,16.49
161,133132296,12188739,570441,99335,31030561,19,19487,23953,205168,36717227,1836,290608,4152,15.27
162,133362733,12210368,573636,99335,120871284,19,19487,23953,206409,36782460,1836,290608,4152,4.08
163,134081222,12274811,577012,99335,121626881,19,19487,23953,207600,36976403,1836,290608,4152,13.89
164,134786881,12338413,580928,99335,32353823,19,19487,23953,208829,37164991,1836,290608,4152,13.72
165,135531734,12406355,584190,99335,123148084,19,19487,23953,210096,37362963,1836,290608,4152,14.27
166,136358056,12480385,587832,99335,32768517,19,19487,23953,211338,37583835,1836,290608,4152,15.95
167,137191417,12555710,591277,99335,32925738,19,19487,23953,212494,37807977,1836,290608,4152,16.17
168,138040611,12634260,594930,99335,33077952,19,19487,23953,213771,38038682,1836,290608,4152,16.38
169,138899351,12711078,598341,99335,33216032,19,19487,23953,215010,38269742,1836,290608,4152,16.61
170,139738715,12785289,602286,99335,33372721,19,19487,23953,216339,38497337,1836,290608,4152,16.22
171,140562628,12860039,605363,99335,33534615,19,19487,23953,217641,38723190,1836,290608,4152,16.05
172,141386276,12936186,609063,99335,33703890,19,19487,23953,218873,38946761,1836,290608,4152,15.93
173,142170692,13007643,611811,99335,128935903,19,19487,23953,220094,39158559,1836,290608,4152,15.15
174,142998361,13080692,615535,99335,34062837,19,19487,23953,221244,39384116,1836,290608,4152,16.11
175,143834634,13157197,619016,99335,34222024,19,19487,23953,222472,39607518,1836,290608,4152,16.10
176,144566804,13228693,622647,99335,131133171,19,19487,23953,223702,39804190,1836,290608,4152,14.13
177,144908879,13260575,625896,99335,35131460,19,19487,23953,224955,39896273,1836,290608,4152,6.53
178,145672213,13331540,629986,99335,35363917,19,19487,23953,226162,40098968,1836,290608,4152,14.80
179,146464984,13403023,633768,99335,35570901,19,19487,23953,227325,40307247,1836,290608,4152,15.37
