period,wifi,experiment_runn,measurer,main,IDLE,tiT,TmrSvc,ipc1,sys_evt,esp_timer,ipc0,Heap,Stack,Mbps
0,721866,488,559,100534,6011406,12539,19,19487,13698,5631,1836,290608,4152,0.02
1,735041,4301,11866,100534,6177373,16188,19,19487,13698,6980,1836,290608,4152,0.01
2,747389,4301,14524,100534,7163697,17077,19,19487,13698,8110,1836,290608,4152,0.00
3,968270,85102,17217,100534,8206067,816878,19,19487,13698,9235,1836,290608,4152,16.16
4,1180567,164548,21236,100534,8385991,1621626,19,19487,13698,10440,1836,290608,4152,16.08
5,1411757,242086,24569,100534,9327735,2472578,19,19487,13698,11756,1836,290608,4152,16.79
6,1642082,314287,27598,100534,8691757,3296671,19,19487,13698,12971,1836,290608,4152,16.18
7,1860086,387194,30876,100534,8881999,4092827,19,19487,13698,14116,1836,290608,4152,15.69
8,2080128,460097,34502,100534,11506419,4889932,19,19487,13698,15377,1836,290608,4152,15.66
9,2312361,533341,37795,100534,9225383,5731123,19,19487,13698,16396,1836,290608,4152,16.58
10,2541436,606963,41669,100534,9399657,6544860,19,19487,13698,17641,1836,290608,4152,15.97
11,2770269,679783,44606,100534,9571534,7364119,19,19487,13698,18874,1836,290608,4152,16.18
12,2831298,693462,47982,100534,14605174,7533541,19,19487,13698,20501,1836,290608,4152,2.99
13,2925579,720038,51451,100534,11125263,7812989,19,19487,13698,22226,1836,290608,4152,5.34
14,3154525,795492,54925,100534,11298009,8634220,19,19487,13698,23409,1836,290608,4152,16.22
15,3388469,873133,58464,100534,11445011,9480710,19,19487,13698,24722,1836,290608,4152,16.71
16,3621232,949043,61886,100534,11591987,10318370,19,19487,13698,25698,1836,290608,4152,16.72
17,3844688,1023104,65349,100534,11777304,11125814,19,19487,13698,26942,1836,290608,4152,15.98
18,4078116,1099404,69217,100534,11933503,11962170,19,19487,13698,28086,1836,290608,4152,16.51
19,4304282,1173503,72794,100534,12115672,12778707,19,19487,13698,29324,1836,290608,4152,16.13
20,4538408,1248579,76387,100534,12255922,13631009,19,19487,13698,30575,1836,290608,4152,16.88
21,4778415,1325098,80491,100534,12397303,14488959,19,19487,13698,31800,1836,290608,4152,16.80
22,5011582,1400764,83728,100534,12551436,15329209,19,19487,13698,32985,1836,290608,4152,16.52
23,5244615,1476002,87439,100534,12695375,16177432,19,19487,13698,34314,1836,290608,4152,16.63
24,5480652,1552923,90781,100534,23388590,17034028,19,19487,13698,35487,1836,290608,4152,16.81
25,5712569,1628211,94408,100534,12979630,17875591,19,19487,13698,36611,1836,290608,4152,16.64
26,5955122,1705391,97817,100534,13099127,18749537,19,19487,13698,37832,1836,290608,4152,17.18
27,6183444,1781495,101144,100534,13259171,19585849,19,19487,13698,39053,1836,290608,4152,16.48
28,6410347,1855737,105000,100534,13428118,20406782,19,19487,13698,40189,1836,290608,4152,16.15
29,6646329,1931605,108427,100534,13563113,21256231,19,19487,13698,41450,1836,290608,4152,16.68
