period,tiT,experiment_runn,measurer,main,IDLE,Tmr Svc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
0,17976,296,0,98408,4318031,19,19456,24451,3202,716464,1814,290608,4152,0.04
1,45138,5468,11405,98408,4452357,19,19456,24451,4277,770801,1814,290608,4152,0.07
2,72501,7502,14192,98408,6269667,19,19456,24451,5066,827760,1814,290608,4152,0.18
3,317182,127447,20516,98408,6063081,19,19456,24451,6076,1078227,1814,290608,4152,16.19
4,563925,238426,23467,98408,6721462,19,19456,24451,7238,1336514,1814,290608,4152,15.68
5,741704,286393,26039,98408,7502139,19,19456,24451,8832,1519597,1814,290608,4152,7.16
6,1012926,399033,28624,98408,8146516,19,19456,24451,10004,1791977,1814,290608,4152,15.28
7,1233890,498734,31470,98408,8846326,19,19456,24451,11212,2023015,1814,290608,4152,13.70
8,1519230,635384,34684,98408,9465213,19,19456,24451,12360,2310226,1814,290608,4152,18.30
9,1790870,765361,37375,98408,11360269,19,19456,24451,13538,2586440,1814,290608,4152,17.26
10,2056612,891376,40514,98408,12057696,19,19456,24451,14707,2858535,1814,290608,4152,16.98
11,2300009,1000555,43129,98408,11411630,19,19456,24451,16013,3109590,1814,290608,4152,15.16
12,2585665,1134482,45904,98408,12031660,19,19456,24451,17268,3403460,1814,290608,4152,17.85
13,2872906,1266612,49061,98408,12638852,19,19456,24451,18605,3698398,1814,290608,4152,18.37
14,3167948,1407932,52073,98408,13238265,19,19456,24451,19855,4000610,1814,290608,4152,18.95
15,3457400,1543639,55259,98408,13850233,19,19456,24451,20989,4296138,1814,290608,4152,18.31
16,3754289,1683822,57906,98408,14451943,19,19456,24451,22185,4597040,1814,290608,4152,18.70
17,4062604,1828430,61091,98408,15041656,19,19456,24451,23323,4910657,1814,290608,4152,19.72
18,4357373,1968152,63993,98408,17465578,19,19456,24451,24536,5205266,1814,290608,4152,18.27
19,4628905,2095304,67188,98408,16288416,19,19456,24451,25696,5486288,1814,290608,4152,16.82
20,4896659,2217337,69588,98408,16931312,19,19456,24451,26840,5762629,1814,290608,4152,16.40
21,5162059,2342367,73094,98408,17576647,19,19456,24451,27919,6034977,1814,290608,4152,16.36
22,5438338,2472784,76270,98408,18204939,19,19456,24451,29118,6318495,1814,290608,4152,17.02
23,5708999,2598777,79273,98408,18839220,19,19456,24451,30228,6596246,1814,290608,4152,16.62
24,5970835,2719457,82469,98408,19480943,19,19456,24451,31318,6870055,1814,290608,4152,16.31
25,6250008,2848240,86046,98408,22324224,19,19456,24451,32586,7155663,1814,290608,4152,17.39
26,6523343,2972088,88785,98408,20753065,19,19456,24451,33721,7432050,1814,290608,4152,16.31
27,6800766,3097530,91971,98408,23703279,19,19456,24451,35010,7712359,1814,290608,4152,16.84
28,7073492,3221799,95090,98408,22023813,19,19456,24451,36117,7989253,1814,290608,4152,16.56
29,7342030,3343875,98060,98408,25084368,19,19456,24451,37256,8263522,1814,290608,4152,16.57
30,7623471,3469131,101669,98408,25776578,19,19456,24451,38485,8552048,1814,290608,4152,16.81
31,7895137,3588298,104604,98408,26473985,19,19456,24451,39829,8828302,1814,290608,4152,16.47
32,8171399,3714690,107260,98408,24574536,19,19456,24451,40945,9109217,1814,290608,4152,16.73
33,8440456,3833970,109978,98408,25215240,19,19456,24451,42225,9382889,1814,290608,4152,16.34
34,8716930,3957465,112726,98408,25845070,19,19456,24451,43390,9664648,1814,290608,4152,16.64
35,8981739,4077339,115175,98408,29248009,19,19456,24451,44637,9932052,1814,290608,4152,16.03
36,9257269,4199142,118533,98408,27131161,19,19456,24451,45759,10209776,1814,290608,4152,16.69
37,9501374,4303561,121214,98408,27808350,19,19456,24451,47185,10454966,1814,290608,4152,14.52
38,9802906,4441525,124573,98408,28408691,19,19456,24451,48409,10756857,1814,290608,4152,18.99
39,10087624,4572740,127439,98408,32017708,19,19456,24451,49581,11039132,1814,290608,4152,17.27
40,10359462,4694536,130217,98408,29679460,19,19456,24451,50566,11314975,1814,290608,4152,16.55
41,10633489,4818302,133045,98408,30315105,19,19456,24451,51641,11595869,1814,290608,4152,16.84
42,10901672,4939316,135686,98408,30964064,19,19456,24451,52783,11863453,1814,290608,4152,16.29
43,11182119,5062603,138980,98408,34792073,19,19456,24451,54025,12145247,1814,290608,4152,17.06
44,11449553,5184984,141753,98408,32231523,19,19456,24451,55210,12419246,1814,290608,4152,16.38
45,11721375,5304948,144109,98408,32872505,19,19456,24451,56362,12692957,1814,290608,4152,16.54
46,11832193,5350238,147298,98408,33717620,19,19456,24451,57897,12813869,1814,290608,4152,6.20
47,12136904,5491668,150606,98408,34321866,19,19456,24451,59160,13115543,1814,290608,4152,18.57
48,12404438,5607786,153735,98408,38429682,19,19456,24451,60299,13386824,1814,290608,4152,16.49
49,12707428,5747902,156860,98408,39090984,19,19456,24451,61648,13686588,1814,290608,4152,18.81
50,12998234,5878112,160163,98408,36188139,19,19456,24451,62798,13973643,1814,290608,4152,17.84
51,13282580,6007174,162972,98408,36813014,19,19456,24451,64163,14256428,1814,290608,4152,17.47
52,13590174,6146299,165599,98408,37410946,19,19456,24451,65454,14560293,1814,290608,4152,18.93
53,13894342,6284795,168771,98408,38006945,19,19456,24451,66673,14864903,1814,290608,4152,19.17
54,14167084,6407455,171464,98408,38645576,19,19456,24451,67874,15143090,1814,290608,4152,16.32
55,14442004,6531370,174821,98408,43149255,19,19456,24451,68978,15417912,1814,290608,4152,16.75
56,14722552,6654916,177581,98408,39920894,19,19456,24451,70162,15700106,1814,290608,4152,16.89
57,14931488,6746541,180537,98408,40638138,19,19456,24451,71371,15914841,1814,290608,4152,12.62
58,15221687,6878848,183965,98408,41250974,19,19456,24451,72708,16207043,1814,290608,4152,18.19
59,15500288,7004299,187033,98408,41881193,19,19456,24451,73851,16487380,1814,290608,4152,17.21
60,15795317,7140374,190152,98408,42486820,19,19456,24451,75081,16781841,1814,290608,4152,18.31
61,15985135,7223267,193541,98408,43232950,19,19456,24451,76309,16978095,1814,290608,4152,11.23
62,16277991,7356585,196132,98408,48099333,19,19456,24451,77460,17268043,1814,290608,4152,18.06
63,16572359,7491822,199073,98408,44460722,19,19456,24451,78743,17558595,1814,290608,4152,17.89
64,16879139,7632146,202637,98408,49427399,19,19456,24451,79955,17866714,1814,290608,4152,19.41
65,17149917,7757201,205858,98408,45704512,19,19456,24451,81182,18142713,1814,290608,4152,16.43
66,17430194,7882096,208648,98408,46335206,19,19456,24451,82260,18426411,1814,290608,4152,16.90
67,17706979,8007287,212329,98408,51491538,19,19456,24451,83530,18705701,1814,290608,4152,16.83
68,17975967,8130758,214830,98408,52185582,19,19456,24451,84675,18977213,1814,290608,4152,16.29
69,18258017,8257733,217740,98408,48247569,19,19456,24451,85963,19262905,1814,290608,4152,16.88
70,18534979,8383049,221310,98408,53549607,19,19456,24451,87220,19543817,1814,290608,4152,16.83
71,18808484,8507872,224118,98408,49521578,19,19456,24451,88309,19820358,1814,290608,4152,16.82
72,19080545,8631759,226832,98408,50167026,19,19456,24451,89489,20094259,1814,290608,4152,16.33
73,19355052,8758757,230392,98408,50799915,19,19456,24451,90573,20372967,1814,290608,4152,16.86
74,19618223,8874080,232813,98408,51448690,19,19456,24451,91801,20639049,1814,290608,4152,15.73
75,19902216,9002155,235833,98408,57023172,19,19456,24451,92901,20925814,1814,290608,4152,17.43
76,20178302,9124245,239288,98408,57716580,19,19456,24451,94054,21200297,1814,290608,4152,16.69
77,20449908,9245216,242283,98408,53355776,19,19456,24451,95161,21473555,1814,290608,4152,16.58
78,20727418,9370549,245364,98408,53987057,19,19456,24451,96419,21752375,1814,290608,4152,16.72
79,21002754,9495000,248187,98408,59793868,19,19456,24451,97657,22028926,1814,290608,4152,16.83
80,21277372,9622404,250681,98408,55255819,19,19456,24451,98811,22305541,1814,290608,4152,16.46
81,21554528,9749406,253930,98408,55887105,19,19456,24451,100059,22583457,1814,290608,4152,16.70
82,21824134,9870152,257492,98408,56526921,19,19456,24451,101245,22856265,1814,290608,4152,16.69
83,22085663,9988530,260011,98408,62577746,19,19456,24451,102317,23120905,1814,290608,4152,15.67
84,22374254,10119691,263241,98408,63250887,19,19456,24451,103494,23411644,1814,290608,4152,17.62
85,22636703,10238337,265946,98408,58460033,19,19456,24451,104649,23675650,1814,290608,4152,15.80
86,22916760,10366750,269012,98408,59084272,19,19456,24451,105788,23958683,1814,290608,4152,17.35
87,23194028,10492424,272420,98408,59717619,19,19456,24451,106853,24239081,1814,290608,4152,16.80
88,23468453,10617197,275374,98408,60349559,19,19456,24451,108054,24516297,1814,290608,4152,16.35
89,23752298,10745773,278843,98408,60973693,19,19456,24451,109203,24801892,1814,290608,4152,17.01
90,24027239,10869878,281647,98408,67392947,19,19456,24451,110504,25080616,1814,290608,4152,16.60
91,24298570,10994372,284256,98408,68082613,19,19456,24451,111600,25358442,1814,290608,4152,16.30
92,24573354,11120663,287498,98408,62891857,19,19456,24451,112689,25634145,1814,290608,4152,16.62
93,24849816,11244969,290356,98408,63523118,19,19456,24451,113871,25916752,1814,290608,4152,16.97
94,25118188,11362488,293624,98408,64153342,19,19456,24451,115229,26194158,1814,290608,4152,16.40
95,25370247,11471606,296888,98408,64815513,19,19456,24451,116479,26450029,1814,290608,4152,15.48
96,25659863,11603949,300006,98408,71555752,19,19456,24451,117696,26742395,1814,290608,4152,17.97
97,25933306,11729924,303027,98408,66071211,19,19456,24451,118847,27020370,1814,290608,4152,16.55
98,26199673,11850706,306112,98408,72938322,19,19456,24451,119888,27290627,1814,290608,4152,16.15
99,26479176,11978210,309654,98408,67352235,19,19456,24451,121042,27572501,1814,290608,4152,17.20
100,26754930,12102682,312191,98408,67986098,19,19456,24451,122256,27851866,1814,290608,4152,16.49
101,27026013,12225604,315210,98408,68622996,19,19456,24451,123418,28125908,1814,290608,4152,16.50
102,27298314,12352983,317904,98408,69256061,19,19456,24451,124502,28404328,1814,290608,4152,16.63
103,27573641,12478389,321361,98408,69883316,19,19456,24451,125813,28685437,1814,290608,4152,16.86
104,27845192,12601189,324417,98408,70524349,19,19456,24451,127020,28960346,1814,290608,4152,16.43
105,28123741,12729400,327675,98408,71158500,19,19456,24451,128265,29240689,1814,290608,4152,16.89
106,28397881,12853077,330885,98408,78469279,19,19456,24451,129562,29518656,1814,290608,4152,16.48
107,28669844,12974927,334532,98408,72428470,19,19456,24451,130710,29794359,1814,290608,4152,16.56
108,28930545,13092666,337228,98408,73080064,19,19456,24451,132100,30056302,1814,290608,4152,15.61
109,29216847,13222628,340673,98408,73699072,19,19456,24451,133189,30343502,1814,290608,4152,17.87
110,29489783,13345180,343642,98408,74335701,19,19456,24451,134346,30619574,1814,290608,4152,16.63
111,29766110,13470645,346680,98408,81943336,19,19456,24451,135491,30898036,1814,290608,4152,16.68
112,30037051,13593208,349934,98408,82643945,19,19456,24451,136512,31171508,1814,290608,4152,16.19
113,30311070,13716514,353169,98408,76249112,19,19456,24451,137785,31446397,1814,290608,4152,16.67
