period,experiment_runn,measurer,main,IDLE,tiT,Tmr Svc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
0,345,0,96552,4562641,7890,18,15775,13868,3417,704185,1830,290608,4068,0.02
1,2313,8319,96552,4752898,10047,18,15775,13868,4275,712242,1830,290608,4068,0.00
2,2313,10793,96552,5741798,10935,18,15775,13868,5339,721956,1830,290608,4068,0.00
3,2313,13358,96552,6728638,11769,18,15775,13868,6359,732750,1830,290608,4068,0.00
4,32724,15930,96552,7634097,70652,18,15775,13868,7172,802358,1830,290608,4068,4.10
5,89412,18782,96552,8462246,193047,18,15775,13868,8104,930829,1830,290608,4068,7.92
6,142187,21858,96552,9292567,313069,18,15775,13868,8993,1055424,1830,290608,4068,7.79
7,229503,24904,96552,10067132,482171,18,15775,13868,9758,1219194,1830,290608,4068,10.75
8,310963,28007,96552,10871486,631732,18,15775,13868,10539,1362087,1830,290608,4068,9.17
9,386791,30626,96552,11685268,773161,18,15775,13868,11327,1498764,1830,290608,4068,8.78
10,424758,33311,96552,12583408,846250,18,15775,13868,12171,1572774,1830,290608,4068,4.49
11,467502,36368,96552,13461671,931943,18,15775,13868,12983,1663656,1830,290608,4068,5.41
12,563161,39588,96552,14216405,1116913,18,15775,13868,13900,1841585,1830,290608,4068,11.71
13,647292,42318,96552,14982945,1287330,18,15775,13868,14765,2008129,1830,290608,4068,10.78
14,751772,45174,96552,15727768,1474680,18,15775,13868,15577,2176108,1830,290608,4068,10.82
15,804577,47848,96552,16590326,1568767,18,15775,13868,16713,2264539,1830,290608,4068,5.28
16,873636,50914,96552,18726045,1688070,18,15775,13868,17550,2373946,1830,290608,4068,6.75
17,953691,53664,96552,18198725,1845523,18,15775,13868,18418,2527007,1830,290608,4068,9.97
18,1035380,56720,96552,18976037,2009379,18,15775,13868,19280,2684411,1830,290608,4068,10.51
19,1119474,59908,96552,19750489,2177377,18,15775,13868,20031,2846927,1830,290608,4068,10.77
20,1202754,63097,96552,20537493,2332787,18,15775,13868,20953,2993643,1830,290608,4068,9.41
21,1293552,65646,96552,21319496,2490860,18,15775,13868,21615,3133194,1830,290608,4068,8.91
22,1358797,68750,96552,22158875,2605035,18,15775,13868,22608,3238581,1830,290608,4068,6.49
23,1440450,71876,96552,22956723,2758859,18,15775,13868,23438,3387839,1830,290608,4068,9.74
24,1460234,75002,96552,23896090,2796806,18,15775,13868,24786,3433433,1830,290608,4068,2.23
25,1552173,78064,96552,26321024,2974433,18,15775,13868,25570,3602279,1830,290608,4068,11.27
26,1631245,81339,96552,27154956,3118299,18,15775,13868,26308,3743943,1830,290608,4068,8.85
27,1727400,84015,96552,26215288,3315581,18,15775,13868,27031,3936896,1830,290608,4068,12.81
28,1782408,87659,96552,27049436,3437875,18,15775,13868,27900,4062804,1830,290608,4068,8.13
29,1843248,90853,96552,27868809,3571053,18,15775,13868,28809,4201751,1830,290608,4068,8.61
30,1901354,93190,96552,28705453,3689972,18,15775,13868,29727,4326259,1830,290608,4068,7.55
31,1968225,96311,96552,29522717,3824787,18,15775,13868,30572,4459066,1830,290608,4068,8.48
32,2040078,98666,96552,30324654,3970878,18,15775,13868,31370,4609154,1830,290608,4068,9.41
33,2113070,101777,96552,33042445,4119650,18,15775,13868,32098,4757050,1830,290608,4068,9.58
34,2172051,105036,96552,31954206,4248632,18,15775,13868,32958,4887482,1830,290608,4068,8.30
35,2245108,108132,96552,34731220,4406403,18,15775,13868,33802,5047846,1830,290608,4068,10.44
36,2308758,111040,96552,33557879,4536029,18,15775,13868,34756,5182690,1830,290608,4068,8.29
37,2374806,114168,96552,34376042,4668348,18,15775,13868,35846,5315979,1830,290608,4068,8.36
38,2430195,117448,96552,35220846,4782250,18,15775,13868,36745,5433389,1830,290608,4068,7.27
39,2502021,120202,96552,36020537,4929346,18,15775,13868,37650,5580872,1830,290608,4068,9.48
40,2572962,123315,96552,36821279,5074666,18,15775,13868,38312,5726577,1830,290608,4068,9.25
41,2642712,126287,96552,37614817,5219524,18,15775,13868,39172,5871995,1830,290608,4068,9.23
42,2726317,128817,96552,38408623,5370250,18,15775,13868,40003,6006909,1830,290608,4068,8.53
43,2796666,131918,96552,39229909,5494074,18,15775,13868,40864,6120798,1830,290608,4068,6.90
44,2842266,134920,96552,40114784,5574212,18,15775,13868,41862,6196540,1830,290608,4068,4.27
45,2943316,138042,96552,43249257,5760271,18,15775,13868,42611,6373032,1830,290608,4068,11.57
46,3036797,141069,96552,41641112,5935812,18,15775,13868,43472,6538347,1830,290608,4068,10.78
47,3117934,144010,96552,42442042,6086831,18,15775,13868,44179,6684337,1830,290608,4068,9.21
48,3200321,146745,96552,43233383,6242517,18,15775,13868,45069,6835375,1830,290608,4068,9.55
49,3269477,149864,96552,44041547,6379966,18,15775,13868,45846,6972886,1830,290608,4068,8.65
50,3335560,152987,96552,44853080,6515129,18,15775,13868,46787,7111283,1830,290608,4068,8.65
51,3400723,156110,96552,45669947,6649855,18,15775,13868,47642,7247969,1830,290608,4068,8.65
52,3451057,158773,96552,46519271,6756635,18,15775,13868,48281,7358033,1830,290608,4068,6.99
