period,experiment_runn,measurer,IDLE,tiT,Tmr Svc,ipc1,sys_evt,wifi,esp_timer,ipc0,Heap,Stack,Mbps
0,618,4538,4079125,7523,18,19531,23907,698955,3144,1888,206992,4152,0.01
1,6172,15270,5084748,9912,18,19531,23907,712380,4483,1888,206992,4152,0.00
2,6172,17932,5248535,12144,18,19531,23907,726345,5876,1888,206992,4152,0.00
3,25756,20512,6185932,71126,18,19531,23907,775580,7485,1888,206992,4152,2.04
4,125768,23313,6922868,263285,18,19531,23907,975710,8735,1888,206992,4152,14.01
5,129753,28001,8677782,386748,18,19531,23907,1011913,10462,1888,206992,4152,0.83
6,227954,36546,8621300,671439,18,19531,23907,1221195,11808,1888,206992,4152,14.58
7,295708,39676,9424754,891605,18,19531,23907,1369651,13174,1888,206992,4152,9.90
8,305494,47876,10368666,1017202,18,19531,23907,1418051,14597,1888,206992,4152,2.01
9,374892,58243,11780824,1240332,18,19531,23907,1565127,16148,1888,206992,4152,9.82
10,441931,61109,11986489,1443258,18,19531,23907,1721162,17481,1888,206992,4152,10.35
11,525091,67826,12763789,1702990,18,19531,23907,1894294,19078,1888,206992,4152,11.57
12,528914,71062,13724427,1780917,18,19531,23907,1927372,20885,1888,206992,4152,0.89
13,571357,74221,15027211,1944330,18,19531,23907,2027265,22504,1888,206992,4152,5.90
14,689969,84698,15302978,2241756,18,19531,23907,2273620,23948,1888,206992,4152,17.33
15,733647,87847,16159212,2399155,18,19531,23907,2384947,25696,1888,206992,4152,6.64
16,799247,90928,16972097,2535400,18,19531,23907,2529632,27009,1888,206992,4152,9.87
17,857918,94297,17808905,2691330,18,19531,23907,2657922,28543,1888,206992,4152,8.12
18,879201,96988,18726457,2743273,18,19531,23907,2723309,30371,1888,206992,4152,3.39
19,976974,100548,19460002,2939161,18,19531,23907,2928409,31809,1888,206992,4152,14.13
20,985911,103272,20411073,2967277,18,19531,23907,2968139,33277,1888,206992,4152,1.65
21,1087530,106947,21148019,3170324,18,19531,23907,3172639,34707,1888,206992,4152,14.51
22,1109887,109528,22063971,3223506,18,19531,23907,3240035,36436,1888,206992,4152,3.46
23,1194398,112682,22823008,3399551,18,19531,23907,3422720,38027,1888,206992,4152,12.35
24,1256948,115920,23644173,3527557,18,19531,23907,3557586,39552,1888,206992,4152,8.94
25,1281818,119057,24556145,3582348,18,19531,23907,3624430,41165,1888,206992,4152,3.64
26,1347124,121824,25364411,3721358,18,19531,23907,3774429,42785,1888,206992,4152,9.82
27,1428671,124757,26142519,3885079,18,19531,23907,3946599,44330,1888,206992,4152,11.61
28,1488045,127997,26967420,4009386,18,19531,23907,4078667,45624,1888,206992,4152,8.71
29,1521625,134742,27859927,4085088,18,19531,23907,4165718,47119,1888,206992,4152,5.01
30,1566426,137838,28721193,4181172,18,19531,23907,4272287,48779,1888,206992,4152,6.75
31,1631291,140983,29532733,4317952,18,19531,23907,4417370,50437,1888,206992,4152,9.57
32,1715102,144083,30311644,4477299,18,19531,23907,4586694,51784,1888,206992,4152,11.37
33,1754670,147292,31178303,4565563,18,19531,23907,4693017,53825,1888,206992,4152,6.34
34,1778421,150430,32100533,4610479,18,19531,23907,4754290,55585,1888,206992,4152,3.03
35,1871633,153556,32837933,4800260,18,19531,23907,4956130,57006,1888,206992,4152,13.84
36,1929697,156792,34713754,4922231,18,19531,23907,5089015,58585,1888,206992,4152,8.65
37,1931172,159782,34642689,4928555,18,19531,23907,5109814,60334,1888,206992,4152,0.19
38,2058581,162923,35305914,5183541,18,19531,23907,5366003,61692,1888,206992,4152,18.00
39,2070362,166134,36248109,5215138,18,19531,23907,5412522,63358,1888,206992,4152,2.10
40,2174192,169274,36967053,5422817,18,19531,23907,5623503,64922,1888,206992,4152,14.78
41,2177941,172761,37930305,5439357,18,19531,23907,5654593,66504,1888,206992,4152,0.93
42,2241724,175691,38750349,5567866,18,19531,23907,5791859,68149,1888,206992,4152,9.24
43,2322955,178387,39523540,5736716,18,19531,23907,5969409,69739,1888,206992,4152,11.85
44,2324042,181621,40496200,5743204,18,19531,23907,5992363,71683,1888,206992,4152,0.15
45,2427210,185072,42555124,5946387,18,19531,23907,6199886,73071,1888,206992,4152,14.52
46,2500774,187926,42014962,6100285,18,19531,23907,6361415,74616,1888,206992,4152,10.86
47,2502213,192422,42987320,6107682,18,19531,23907,6383106,76316,1888,206992,4152,0.19
48,2607003,195765,43700024,6318545,18,19531,23907,6599209,77673,1888,206992,4152,15.08
49,2675580,199131,44505071,6460509,18,19531,23907,6751554,79418,1888,206992,4152,10.22
