period,experiment_runn,measurer,IDLE,tiT,Tmr Svc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
0,455,4204,4073334,7201,19,19488,24389,3197,701688,1843,290608,4152,0.01
1,6019,14965,4243713,11143,19,19488,24389,4549,717846,1843,290608,4152,0.00
2,6019,17586,5227895,13719,19,19488,24389,5828,731967,1843,290608,4152,0.00
3,86541,20389,6311586,767582,19,19488,24389,6867,934436,1843,290608,4152,15.03
4,164542,23917,6478348,1588413,19,19488,24389,7979,1151492,1843,290608,4152,16.31
5,243478,27523,6643013,2413403,19,19488,24389,9082,1370502,1843,290608,4152,16.36
6,323514,31300,6828615,3217763,19,19488,24389,10268,1583586,1843,290608,4152,15.89
7,396313,34656,7049685,3985926,19,19488,24389,11385,1789598,1843,290608,4152,15.25
8,476044,38254,7197769,4832175,19,19488,24389,12530,2017505,1843,290608,4152,16.80
9,555193,41555,7347037,5668842,19,19488,24389,13662,2242254,1843,290608,4152,16.63
10,634836,45084,7538797,6468160,19,19488,24389,14900,2456045,1843,290608,4152,15.70
11,713792,49068,7702960,7289213,19,19488,24389,16081,2674672,1843,290608,4152,16.27
12,792162,52323,7866814,8122061,19,19488,24389,17292,2896823,1843,290608,4152,16.49
13,868668,56220,8060296,8921637,19,19488,24389,18593,3108738,1843,290608,4152,15.79
14,947709,59700,8195154,9785125,19,19488,24389,19856,3338158,1843,290608,4152,17.00
15,1024904,63289,8404127,10566171,19,19488,24389,21113,3545552,1843,290608,4152,15.39
16,1101275,66416,8605192,11357622,19,19488,24389,22289,3755404,1843,290608,4152,15.50
17,1180549,70449,8748131,12210195,19,19488,24389,23407,3978133,1843,290608,4152,16.76
18,1258552,74060,8919834,13027806,19,19488,24389,24627,4194449,1843,290608,4152,16.08
19,1337275,77656,9084339,13855527,19,19488,24389,25942,4411572,1843,290608,4152,16.29
20,1416817,81426,9237675,14697360,19,19488,24389,27150,4634722,1843,290608,4152,16.58
21,1498498,84903,9391169,15535690,19,19488,24389,28429,4853062,1843,290608,4152,16.51
22,1577145,88601,9574357,16349591,19,19488,24389,29652,5067587,1843,290608,4152,15.96
23,1654494,91926,9738954,17174600,19,19488,24389,30879,5283232,1843,290608,4152,16.31
24,1736111,95210,9881651,18022850,19,19488,24389,32141,5506625,1843,290608,4152,16.76
25,1813817,98847,10062542,18829656,19,19488,24389,33310,5722528,1843,290608,4152,15.79
26,1893600,101901,10238059,19640289,19,19488,24389,34457,5935185,1843,290608,4152,16.02
27,1969802,105431,10382823,20486803,19,19488,24389,35596,6162773,1843,290608,4152,16.80
28,2046187,109683,10556561,21307183,19,19488,24389,36844,6383066,1843,290608,4152,16.15
29,2124457,113808,10717008,22138311,19,19488,24389,38047,6609788,1843,290608,4152,16.35
30,2203439,117155,25584318,22985527,19,19488,24389,39252,6836929,1843,290608,4152,16.69
31,2283764,121027,11041764,23792483,19,19488,24389,40534,7050854,1843,290608,4152,15.96
32,2360316,123886,27039453,24597929,19,19488,24389,41666,7265473,1843,290608,4152,15.96
33,2437342,126774,11386194,25425834,19,19488,24389,42941,7485921,1843,290608,4152,16.45
34,2512887,129858,11557877,26245366,19,19488,24389,44170,7707752,1843,290608,4152,16.13
35,2588296,133549,11731748,27066465,19,19488,24389,45426,7927308,1843,290608,4152,16.18
36,2663875,136917,11927701,27864075,19,19488,24389,46724,8142232,1843,290608,4152,15.73
37,2741613,140877,12130486,28656618,19,19488,24389,47969,8350532,1843,290608,4152,15.54
38,2819881,144081,12294428,29479193,19,19488,24389,49170,8566392,1843,290608,4152,16.25
39,2896946,147341,12452223,30301484,19,19488,24389,50304,8785738,1843,290608,4152,16.41
40,2976049,150820,12613943,31132900,19,19488,24389,51605,9006122,1843,290608,4152,16.44
41,3055133,154109,12775379,31962308,19,19488,24389,52828,9225683,1843,290608,4152,16.47
42,3131363,157214,12977041,32747331,19,19488,24389,54047,9431420,1843,290608,4152,15.64
43,3203517,161381,13231900,33489950,19,19488,24389,55317,9631115,1843,290608,4152,14.67
44,3276102,164757,13459651,34253101,19,19488,24389,56510,9839953,1843,290608,4152,15.20
45,3351686,167877,36561292,35050845,19,19488,24389,57641,10053659,1843,290608,4152,15.88
46,3429242,170504,13826120,35869585,19,19488,24389,58933,10272718,1843,290608,4152,16.34
47,3505440,173858,13996975,36694473,19,19488,24389,60205,10495972,1843,290608,4152,16.42
48,3583382,177320,14198012,37485207,19,19488,24389,61351,10705773,1843,290608,4152,15.69
49,3659274,180816,14419885,38251854,19,19488,24389,62542,10908948,1843,290608,4152,15.14
50,3732941,184314,14599483,39062668,19,19488,24389,63730,11126464,1843,290608,4152,16.08
51,3809232,187719,40942773,39881370,19,19488,24389,64925,11342447,1843,290608,4152,16.17
52,3884269,190909,14988153,40645262,19,19488,24389,65976,11548326,1843,290608,4152,15.24
53,3961088,194181,15161242,41462762,19,19488,24389,67214,11768209,1843,290608,4152,16.26
54,4039183,197680,15309439,42308362,19,19488,24389,68411,11995677,1843,290608,4152,16.80
55,4115674,201610,15489982,43120459,19,19488,24389,69549,12215535,1843,290608,4152,16.06
56,4189246,204923,15694855,43897641,19,19488,24389,70711,12427051,1843,290608,4152,15.50
57,4266226,207739,45298209,44725188,19,19488,24389,71771,12650475,1843,290608,4152,16.38
58,4340234,210763,16019512,45543870,19,19488,24389,72882,12874795,1843,290608,4152,16.34
59,4418646,214904,16174435,46387889,19,19488,24389,74134,13101475,1843,290608,4152,16.67
60,4493817,218150,47483024,47167832,19,19488,24389,75371,13310572,1843,290608,4152,15.36
61,4568546,220842,16624589,47917549,19,19488,24389,76523,13516845,1843,290608,4152,14.87
