period,experiment_runn,measurer,IDLE,tiT,Tmr Svc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
0,580,4914,23058887,23255,17,45017,23551,15362,868376,27248,290216,4124,0.02
1,6228,15784,23057606,24181,17,45017,23551,15970,873525,27248,290216,4124,0.00
2,6228,18724,24051147,24758,17,45017,23551,16530,879023,27248,290216,4124,0.00
3,8933,21629,25031362,29349,17,45017,23551,17391,894017,27248,290216,4124,0.14
4,8933,24830,26014151,30969,17,45017,23551,18475,909322,27248,290216,4124,0.01
5,9672,27725,26995879,103612,17,45017,23551,19411,926306,27248,290216,4124,0.07
6,11394,30315,27972226,143436,17,45017,23551,20554,945500,27248,290216,4124,0.11
7,13965,33237,28945501,219889,17,45017,23551,21666,967351,27248,290216,4124,0.22
8,14295,41409,29915598,714431,17,45017,23551,22536,1000389,27248,290216,4124,0.25
9,14392,51754,30924050,1015350,17,45017,23551,23757,1017087,27248,290216,4124,0.06
10,15334,54746,31898774,1210184,17,45017,23551,24848,1040664,27248,290216,4124,0.08
11,16183,57484,32877504,1345860,17,45017,23551,25770,1060185,27248,290216,4124,0.22
12,20694,60498,33843609,1356520,17,45017,23551,26931,1088119,27248,290216,4124,0.43
13,25291,63251,34812061,1366400,17,45017,23551,27997,1113533,27248,290216,4124,0.44
14,28056,66259,35788299,1372083,17,45017,23551,29075,1133158,27248,290216,4124,0.24
15,31016,68892,36760409,1382730,17,45017,23551,29912,1156336,27248,290216,4124,0.39
16,33218,71828,37732640,1389878,17,45017,23551,31044,1180130,27248,290216,4124,0.27
17,33218,74859,38718364,1392617,17,45017,23551,31953,1193508,27248,290216,4124,0.06
18,33218,80538,40679790,1394570,17,45017,23551,33771,1229896,27248,290216,4124,0.00
19,33218,83542,41663909,1396137,17,45017,23551,34579,1245029,27248,290216,4124,0.00
20,33218,86556,42652027,1397254,17,45017,23551,35472,1256121,27248,290216,4124,0.00
21,33218,89556,43644841,1398610,17,45017,23551,36001,1262918,27248,290216,4124,0.00
22,33218,92568,44633595,1399889,17,45017,23551,36860,1272350,27248,290216,4124,0.00
23,33218,95570,45622278,1401048,17,45017,23551,37758,1282826,27248,290216,4124,0.00
24,33218,98576,46607898,1403501,17,45017,23551,38697,1296043,27248,290216,4124,0.00
25,34096,101591,47595099,1405513,17,45017,23551,39563,1305982,27248,290216,4124,0.01
26,34887,104557,48572410,1409589,17,45017,23551,40732,1325645,27248,290216,4124,0.06
27,35306,107576,49556941,1412372,17,45017,23551,41683,1339102,27248,290216,4124,0.04
28,35306,113582,51523165,1415418,17,45017,23551,43363,1371361,27248,290216,4124,0.00
29,35306,116598,52507426,1416989,17,45017,23551,44274,1385204,27248,290216,4124,0.00
30,35306,119602,53497308,1418429,17,45017,23551,45104,1394543,27248,290216,4124,0.00
31,35306,122942,54482649,1419933,17,45017,23551,46058,1408706,27248,290216,4124,0.00
32,35306,125591,55468575,1421199,17,45017,23551,47053,1420458,27248,290216,4124,0.00
33,35306,128595,56454437,1423362,17,45017,23551,47974,1433438,27248,290216,4124,0.00
34,35306,131606,57442203,1424740,17,45017,23551,49013,1444726,27248,290216,4124,0.00
35,35306,134334,58429720,1426870,17,45017,23551,50005,1455217,27248,290216,4124,0.00
36,38123,137353,59412501,1431806,17,45017,23551,50693,1469140,27248,290216,4124,0.16
37,43213,140346,60381673,1441269,17,45017,23551,51852,1492270,27248,290216,4124,0.40
38,46701,143353,61358067,1448552,17,45017,23551,52775,1511542,27248,290216,4124,0.31
39,52294,147839,62325811,1459580,17,45017,23551,53786,1535140,27248,290216,4124,0.50
40,60324,153605,64273003,1475380,17,45017,23551,55631,1577997,27248,290216,4124,0.25
41,62625,156613,65249950,1482069,17,45017,23551,56630,1597589,27248,290216,4124,0.27
42,67569,159501,66218235,1493705,17,45017,23551,57439,1622177,27248,290216,4124,0.46
43,76552,163250,67178591,1508708,17,45017,23551,58485,1651731,27248,290216,4124,0.71
44,82686,165875,68145827,1520122,17,45017,23551,59553,1676780,27248,290216,4124,0.54
45,84157,168956,69129286,1524385,17,45017,23551,60637,1690395,27248,290216,4124,0.15
46,84379,175403,70113497,1526865,17,45017,23551,61561,1703554,27248,290216,4124,0.05
47,90287,178479,71082158,1537905,17,45017,23551,62419,1727834,27248,290216,4124,0.49
48,96209,181563,72050709,1548394,17,45017,23551,63331,1752731,27248,290216,4124,0.46
49,101304,184533,73020473,1557608,17,45017,23551,64354,1776321,27248,290216,4124,0.45
50,106091,187476,73990341,1570215,17,45017,23551,65059,1801666,27248,290216,4124,0.53
51,108844,190567,75996451,1579406,17,45017,23551,66138,1828873,27248,290216,4124,0.39
52,115158,193400,75924856,1591999,17,45017,23551,66971,1855767,27248,290216,4124,0.48
53,115762,196423,76904928,1596521,17,45017,23551,67972,1872905,27248,290216,4124,0.13
54,116029,199516,77893127,1599099,17,45017,23551,68781,1882480,27248,290216,4124,0.05
55,116457,202602,78877212,1601052,17,45017,23551,69812,1896702,27248,290216,4124,0.04
56,116457,205678,79869560,1602012,17,45017,23551,70393,1903790,27248,290216,4124,0.00
57,116457,208773,80855575,1603369,17,45017,23551,71289,1915774,27248,290216,4124,0.00
58,116825,211849,81838557,1606045,17,45017,23551,72207,1931149,27248,290216,4124,0.05
59,116825,214925,82825319,1607431,17,45017,23551,73094,1943511,27248,290216,4124,0.00
60,116825,217740,83810694,1608569,17,45017,23551,74095,1958371,27248,290216,4124,0.00
61,116825,220595,84797364,1609815,17,45017,23551,75084,1971086,27248,290216,4124,0.00
62,119806,226748,86761669,1618080,17,45017,23551,76760,2000612,27248,290216,4124,0.10
63,126327,229836,87731652,1629386,17,45017,23551,77435,2022357,27248,290216,4124,0.50
64,131809,232646,88699196,1639817,17,45017,23551,78497,2047499,27248,290216,4124,0.49
65,134878,235718,89675339,1646881,17,45017,23551,79743,2067605,27248,290216,4124,0.31
66,137776,238797,90644481,1656315,17,45017,23551,80797,2094145,27248,290216,4124,0.37
67,137776,241892,91620648,1663506,17,45017,23551,81921,2115672,27248,290216,4124,0.27
68,138910,244985,92598870,1668830,17,45017,23551,82843,2133626,27248,290216,4124,0.17
69,138910,248065,93585482,1670528,17,45017,23551,83715,2146142,27248,290216,4124,0.00
70,139131,251137,94577028,1671974,17,45017,23551,84304,2153781,27248,290216,4124,0.01
71,140909,254214,95557806,1678681,17,45017,23551,85025,2169355,27248,290216,4124,0.18
72,144762,257131,96528697,1686468,17,45017,23551,86143,2191529,27248,290216,4124,0.29
73,147330,260398,97507516,1691738,17,45017,23551,87063,2208043,27248,290216,4124,0.22
74,148481,263597,98488220,1694876,17,45017,23551,88007,2224604,27248,290216,4124,0.08
75,148481,266857,99474610,1695876,17,45017,23551,88939,2236022,27248,290216,4124,0.00
76,148691,270105,100462263,1698606,17,45017,23551,89703,2246991,27248,290216,4124,0.04
