period,experiment_runn,measurer,main,IDLE,tiT,Tmr Svc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
0,546,4864,102484,33628027,21999,17,45016,13803,17702,855553,27248,290216,4124,0.03
1,6178,15398,102484,34616637,23431,17,45016,13803,18602,865670,27248,290216,4124,0.00
2,6178,18311,102484,35602566,24370,17,45016,13803,19450,878262,27248,290216,4124,0.00
3,9779,21480,102484,36575777,30101,17,45016,13803,20056,899623,27248,290216,4124,0.15
4,11850,24100,102484,37551228,36382,17,45016,13803,20607,921788,27248,290216,4124,0.17
5,15324,27008,102484,38531316,42132,17,45016,13803,21279,937077,27248,290216,4124,0.25
6,19198,32834,102484,40486916,50317,17,45016,13803,23203,974608,27248,290216,4124,0.01
7,19198,35829,102484,41477237,51541,17,45016,13803,23857,983498,27248,290216,4124,0.00
8,19198,38873,102484,43626592,52519,17,45016,13803,24443,988872,27248,290216,4124,0.00
9,19927,41660,102484,43455187,55892,17,45016,13803,25495,1003718,27248,290216,4124,0.05
10,19927,44671,102484,44445486,57307,17,45016,13803,26341,1012679,27248,290216,4124,0.02
11,19927,47671,102484,45438892,58222,17,45016,13803,26858,1018928,27248,290216,4124,0.00
12,19927,50667,102484,46431457,59186,17,45016,13803,27557,1025847,27248,290216,4124,0.00
13,19927,53663,102484,47424436,60134,17,45016,13803,28091,1031450,27248,290216,4124,0.00
14,19927,56690,102484,48418036,61048,17,45016,13803,28615,1037445,27248,290216,4124,0.00
15,19927,59695,102484,49412136,61945,17,45016,13803,29221,1042892,27248,290216,4124,0.00
16,19927,62693,102484,50405370,62870,17,45016,13803,29817,1049193,27248,290216,4124,0.00
17,19927,65698,102484,51398340,63809,17,45016,13803,30338,1055812,27248,290216,4124,0.00
18,19927,68722,102484,52389901,65378,17,45016,13803,31003,1063407,27248,290216,4124,0.00
19,20760,71782,102484,53378352,67285,17,45016,13803,31909,1073208,27248,290216,4124,0.02
20,21137,77367,102484,55361139,70137,17,45016,13803,33220,1088036,27248,290216,4124,0.00
21,21137,80371,102484,56354839,71044,17,45016,13803,33744,1093987,27248,290216,4124,0.00
22,21137,83387,102484,57349127,71950,17,45016,13803,34379,1099504,27248,290216,4124,0.00
23,21137,86370,102484,58341929,72872,17,45016,13803,34907,1104961,27248,290216,4124,0.00
24,21137,89396,102484,59330725,74270,17,45016,13803,35682,1115125,27248,290216,4124,0.00
25,21137,92391,102484,60320925,75190,17,45016,13803,36204,1124547,27248,290216,4124,0.00
26,21137,95403,102484,61314812,76103,17,45016,13803,36806,1130190,27248,290216,4124,0.00
