period,experiment_runn,measurer,IDLE,tiT,Tmr Svc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
0,562,4911,64086767,41909,17,45021,23754,33385,1113763,27248,290216,4124,0.06
1,6222,15800,63804265,42832,17,45021,23754,33991,1119816,27248,290216,4124,0.00
2,6222,18717,64797789,43399,17,45021,23754,34572,1125322,27248,290216,4124,0.00
3,8385,24500,66769005,48990,17,45021,23754,36353,1150294,27248,290216,4124,0.00
4,9440,27378,67746766,123223,17,45021,23754,37447,1169830,27248,290216,4124,0.10
5,9440,30200,68734995,190607,17,45021,23754,38402,1180847,27248,290216,4124,0.01
6,9440,33181,69723970,191219,17,45021,23754,39353,1190976,27248,290216,4124,0.00
7,15746,36163,70691101,493089,17,45021,23754,40143,1218199,27248,290216,4124,0.52
8,15989,39145,71674856,590800,17,45021,23754,41269,1233144,27248,290216,4124,0.07
9,15989,42132,72660576,594347,17,45021,23754,42350,1246397,27248,290216,4124,0.00
10,16283,45110,73643915,682371,17,45021,23754,43357,1261815,27248,290216,4124,0.03
11,18104,48417,74616716,953378,17,45021,23754,44287,1286829,27248,290216,4124,0.21
12,22075,54151,76577374,1037116,17,45021,23754,46182,1320944,27248,290216,4124,0.09
13,24389,57132,77554094,1098587,17,45021,23754,46965,1341597,27248,290216,4124,0.15
14,29142,60102,78528990,1163285,17,45021,23754,47696,1362184,27248,290216,4124,0.31
15,32976,63054,79506521,1238847,17,45021,23754,48754,1380815,27248,290216,4124,0.33
16,34371,66045,80483124,1422457,17,45021,23754,49960,1402364,27248,290216,4124,0.27
17,34604,69031,81462436,1503390,17,45021,23754,50926,1421907,27248,290216,4124,0.25
18,35332,71916,82436919,1709831,17,45021,23754,52333,1445524,27248,290216,4124,0.17
19,37606,76404,83419020,1798898,17,45021,23754,53359,1461593,27248,290216,4124,0.18
20,37606,79492,84401365,1870853,17,45021,23754,54504,1478056,27248,290216,4124,0.02
21,38264,82411,85384284,2131708,17,45021,23754,55396,1493757,27248,290216,4124,0.10
22,38264,85487,86372201,2255576,17,45021,23754,56215,1504986,27248,290216,4124,0.01
23,38264,88555,87358031,2374236,17,45021,23754,57166,1518173,27248,290216,4124,0.02
24,43064,94778,88368434,2570848,17,45021,23754,57919,1541928,27248,290216,4124,0.45
