period,experiment_runn,measurer,IDLE,tiT,Tmr Svc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
0,557,4912,19856012,19092,17,45019,13499,12538,805176,27248,290216,4124,0.03
1,6217,15790,19933000,20020,17,45019,13499,13076,810883,27248,290216,4124,0.00
2,6217,18729,20926965,20608,17,45019,13499,13590,815939,27248,290216,4124,0.00
3,6217,21607,21920156,21181,17,45019,13499,14188,821759,27248,290216,4124,0.00
4,9030,24490,22887030,68137,17,45019,13499,15258,851019,27248,290216,4124,0.34
5,12819,28184,23859333,169310,17,45019,13499,16018,877445,27248,290216,4124,0.45
6,19371,43214,24881459,346753,17,45019,13499,17009,904675,27248,290216,4124,0.62
7,30171,47989,26382034,590045,17,45019,13499,17769,938937,27248,290216,4124,1.08
8,37013,58672,26832556,740580,17,45019,13499,18907,967396,27248,290216,4124,0.61
9,42990,61665,27798278,918986,17,45019,13499,19882,996387,27248,290216,4124,0.68
10,48432,64765,28765993,1124155,17,45019,13499,20845,1026975,27248,290216,4124,0.67
11,61907,80684,29756674,1317524,17,45019,13499,21731,1060972,27248,290216,4124,1.26
12,76024,83662,30706032,1505350,17,45019,13499,22601,1100518,27248,290216,4124,1.27
13,89194,86738,31340557,1721866,17,45019,13499,23445,1142436,27248,290216,4124,1.42
14,95097,98240,32651872,1829543,17,45019,13499,24377,1165636,27248,290216,4124,0.58
15,102278,101328,33616530,2078864,17,45019,13499,25151,1194204,27248,290216,4124,0.88
16,107345,107499,35560497,2480650,17,45019,13499,27268,1244110,27248,290216,4124,0.37
17,107345,110588,36540724,2527478,17,45019,13499,28343,1262761,27248,290216,4124,0.21
18,108045,113661,37516197,2910991,17,45019,13499,29580,1285315,27248,290216,4124,0.12
19,110324,116740,38488384,3109163,17,45019,13499,30729,1309903,27248,290216,4124,0.25
20,115805,119817,39454611,3288882,17,45019,13499,31597,1338380,27248,290216,4124,0.58
21,127810,122893,40405920,3499109,17,45019,13499,32588,1376030,27248,290216,4124,1.33
22,147086,125972,41348682,3705025,17,45019,13499,33228,1418879,27248,290216,4124,1.78
23,150962,129027,42320988,3816852,17,45019,13499,34181,1442877,27248,290216,4124,0.48
24,157745,132009,43279415,4099965,17,45019,13499,35237,1479391,27248,290216,4124,0.94
25,164932,134827,44249071,4164661,17,45019,13499,36000,1504194,27248,290216,4124,0.57
26,173351,140236,45201488,4488313,17,45019,13499,37072,1544712,27248,290216,4124,1.08
27,184502,146950,46162722,4634289,17,45019,13499,37885,1577525,27248,290216,4124,0.91
28,188380,158324,47171761,4840978,17,45019,13499,38982,1608373,27248,290216,4124,0.62
29,193990,174092,48225122,5057504,17,45019,13499,40129,1641569,27248,290216,4124,0.64
30,204436,177159,49180736,5249388,17,45019,13499,40966,1677574,27248,290216,4124,1.06
31,206420,180233,50160414,5301994,17,45019,13499,41947,1695430,27248,290216,4124,0.23
32,207285,183310,51139853,5495534,17,45019,13499,42956,1714126,27248,290216,4124,0.11
33,210589,186309,52109213,5740531,17,45019,13499,43830,1741378,27248,290216,4124,0.57
34,219471,189396,53072160,5913635,17,45019,13499,44831,1771471,27248,290216,4124,0.81
35,227428,192392,54036353,6097881,17,45019,13499,45747,1801167,27248,290216,4124,0.78
36,238247,195323,54993016,6286235,17,45019,13499,46552,1835442,27248,290216,4124,1.09
37,246331,198380,55956146,6426828,17,45019,13499,47588,1866079,27248,290216,4124,0.78
38,247236,201562,56933117,6557146,17,45019,13499,48511,1889199,27248,290216,4124,0.30
39,259625,217132,57963590,6822137,17,45019,13499,49722,1924186,27248,290216,4124,1.02
40,264418,220312,58941217,6946619,17,45019,13499,50489,1944163,27248,290216,4124,0.44
41,268985,236266,59948056,7176618,17,45019,13499,51415,1965354,27248,290216,4124,0.43
42,273520,244239,60916782,7312679,17,45019,13499,52289,1993798,27248,290216,4124,0.64
43,275746,247078,61889590,7427546,17,45019,13499,53127,2018734,27248,290216,4124,0.16
44,283062,250143,62854582,7629773,17,45019,13499,53900,2046763,27248,290216,4124,0.66
45,291567,253221,63823902,7744622,17,45019,13499,54719,2069694,27248,290216,4124,0.63
46,294712,256286,64804187,7793014,17,45019,13499,55374,2086118,27248,290216,4124,0.21
47,302343,259332,65767320,8043797,17,45019,13499,56361,2116593,27248,290216,4124,0.83
48,307952,262608,66729299,8247191,17,45019,13499,57316,2148898,27248,290216,4124,0.83
49,312135,265415,67701083,8446240,17,45019,13499,58362,2173847,27248,290216,4124,0.45
50,316037,280544,68675121,8596320,17,45019,13499,59213,2204894,27248,290216,4124,0.73
51,321934,283444,69645716,8759696,17,45019,13499,60068,2229729,27248,290216,4124,0.59
52,330448,286532,70612809,8872441,17,45019,13499,60895,2256328,27248,290216,4124,0.84
53,332099,289607,71587633,9113047,17,45019,13499,61663,2279343,27248,290216,4124,0.30
54,340790,292913,72552673,9244524,17,45019,13499,62599,2308529,27248,290216,4124,0.59
55,345694,308464,73541935,9405033,17,45019,13499,63203,2330646,27248,290216,4124,0.40
56,358292,331482,75488453,9690171,17,45019,13499,64764,2378437,27248,290216,4124,0.25
57,364862,342818,76480164,9859400,17,45019,13499,65871,2402519,27248,290216,4124,0.62
58,376526,346874,77435930,10099566,17,45019,13499,66618,2437436,27248,290216,4124,1.14
59,386312,355778,78402305,10215900,17,45019,13499,67847,2471397,27248,290216,4124,0.90
60,386312,358851,79385431,10221179,17,45019,13499,68985,2487101,27248,290216,4124,0.08
61,387430,361934,80355534,10596674,17,45019,13499,69990,2515094,27248,290216,4124,0.27
62,387430,366111,81343202,10737426,17,45019,13499,70854,2528070,27248,290216,4124,0.02
63,389267,382057,82368694,10930850,17,45019,13499,71895,2547538,27248,290216,4124,0.17
64,393849,395164,83339711,11058104,17,45019,13499,72906,2572618,27248,290216,4124,0.50
65,397448,398234,84314508,11241550,17,45019,13499,73707,2594251,27248,290216,4124,0.40
66,403430,409434,85282929,11366729,17,45019,13499,74544,2620774,27248,290216,4124,0.57
67,408228,412502,86258670,11422775,17,45019,13499,75254,2640398,27248,290216,4124,0.34
68,410492,415363,87232418,11637155,17,45019,13499,76164,2663677,27248,290216,4124,0.27
69,423144,421303,88189587,11833332,17,45019,13499,77018,2696471,27248,290216,4124,1.05
70,437405,424369,89139594,12022751,17,45019,13499,77963,2734345,27248,290216,4124,1.25
71,447502,427337,90100333,12180171,17,45019,13499,78799,2764731,27248,290216,4124,0.90
72,455352,431820,91064605,12410266,17,45019,13499,79634,2792658,27248,290216,4124,0.83
73,467904,434782,92021891,12588046,17,45019,13499,80474,2826374,27248,290216,4124,1.19
74,474602,437856,92989629,12724906,17,45019,13499,81583,2852762,27248,290216,4124,0.62
75,474602,440929,93972438,12738720,17,45019,13499,82683,2868816,27248,290216,4124,0.12
76,474892,444003,94953983,12984898,17,45019,13499,83721,2885910,27248,290216,4124,0.11
77,475140,447179,95937194,13246727,17,45019,13499,84739,2902280,27248,290216,4124,0.07
78,478107,463379,96922742,13423449,17,45019,13499,85572,2922821,27248,290216,4124,0.23
79,494788,469597,98852126,13781874,17,45019,13499,87368,2979479,27248,290216,4124,0.40
80,500622,472830,99818680,13902573,17,45019,13499,88293,3007222,27248,290216,4124,0.61
81,501006,489007,90727947,13983922,17,45019,13499,89212,3025627,27248,290216,4124,0.10
82,503372,499648,101882799,14237251,17,45019,13499,90054,3047149,27248,290216,4124,0.24
83,509739,502893,102850702,14440325,17,45019,13499,90905,3073519,27248,290216,4124,0.64
84,521679,505907,103807901,14613012,17,45019,13499,91677,3107188,27248,290216,4124,1.01
85,530574,510181,104772213,14720418,17,45019,13499,92706,3134645,27248,290216,4124,0.75
86,534886,513025,105741478,14964012,17,45019,13499,93746,3161055,27248,290216,4124,0.40
87,548128,516747,95660046,15155425,17,45019,13499,94546,3196835,27248,290216,4124,1.18
88,557305,519509,107668112,15251908,17,45019,13499,95378,3217966,27248,290216,4124,0.60
89,559614,522532,108643285,15438834,17,45019,13499,96436,3240857,27248,290216,4124,0.38
90,568727,529359,109612360,15577874,17,45019,13499,97286,3268619,27248,290216,4124,0.84
91,579501,532610,110565545,15824656,17,45019,13499,98203,3305485,27248,290216,4124,1.14
92,591073,536025,111526290,16017270,17,45019,13499,98994,3334658,27248,290216,4124,0.96
93,592911,539354,112505331,16114898,17,45019,13499,99725,3353154,27248,290216,4124,0.40
94,597853,542696,113475621,16360317,17,45019,13499,100753,3378569,27248,290216,4124,0.54
95,599399,546041,114452187,16467026,17,45019,13499,101813,3399288,27248,290216,4124,0.19
96,602566,552011,115423120,16719015,17,45019,13499,102788,3425555,27248,290216,4124,0.49
97,608320,561051,116397985,16901727,17,45019,13499,103663,3454329,27248,290216,4124,0.68
98,613244,566295,117370974,17100302,17,45019,13499,104530,3481357,27248,290216,4124,0.59
99,619015,585342,118362464,17196882,17,45019,13499,105531,3502726,27248,290216,4124,0.52
100,629524,596502,119323889,17435368,17,45019,13499,106400,3535596,27248,290216,4124,1.02
101,635120,599843,107248347,17628712,17,45019,13499,107195,3567487,27248,290216,4124,0.78
102,636819,606873,121270764,17850322,17,45019,13499,107988,3587502,27248,290216,4124,0.26
103,642775,618471,122253102,17921918,17,45019,13499,108875,3609261,27248,290216,4124,0.50
104,646428,621821,123221038,18179597,17,45019,13499,109685,3637066,27248,290216,4124,0.47
105,653967,625218,124186615,18326322,17,45019,13499,110561,3665834,27248,290216,4124,0.64
106,662921,641196,125186483,18491703,17,45019,13499,111431,3692374,27248,290216,4124,0.85
107,675000,648708,126142071,18752508,17,45019,13499,112131,3730881,27248,290216,4124,1.10
108,684116,659934,127126967,18919732,17,45019,13499,112846,3761133,27248,290216,4124,0.89
109,694363,668196,113898191,19085480,17,45019,13499,113589,3794930,27248,290216,4124,1.10
110,697127,677015,129091038,19230929,17,45019,13499,114657,3813859,27248,290216,4124,0.33
111,699148,680600,130071375,19413939,17,45019,13499,115663,3833584,27248,290216,4124,0.21
