period,experiment_runn,measurer,main,IDLE,tiT,Tmr Svc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
0,551,4864,106218,32385672,25515,17,45016,13956,19291,864994,27248,290216,4124,0.04
1,6140,18374,106218,34377691,27144,17,45016,13956,20608,878858,27248,290216,4124,0.00
2,10523,21248,106218,35358808,38112,17,45016,13956,21396,892984,27248,290216,4124,0.15
3,15338,24115,106218,36336528,64900,17,45016,13956,22110,909804,27248,290216,4124,0.30
4,20710,26999,106218,37314715,82639,17,45016,13956,22959,925592,27248,290216,4124,0.34
5,26945,30130,106218,39309075,116015,17,45016,13956,23704,944265,27248,290216,4124,0.40
6,38746,35901,106218,40251544,171797,17,45016,13956,25374,974488,27248,290216,4124,0.45
7,44648,38849,106218,41229010,195565,17,45016,13956,26228,991463,27248,290216,4124,0.38
8,49973,41812,106218,42206702,238467,17,45016,13956,27202,1008557,27248,290216,4124,0.33
9,57668,44767,106218,43177444,269496,17,45016,13956,27998,1031058,27248,290216,4124,0.50
10,58501,47571,106218,44158137,276359,17,45016,13956,29258,1049491,27248,290216,4124,0.09
11,58805,50469,106218,45138274,332504,17,45016,13956,30274,1068169,27248,290216,4124,0.33
12,58805,59147,106218,48091448,341277,17,45016,13956,32612,1113085,27248,290216,4124,0.00
13,58805,62119,106218,49082934,365742,17,45016,13956,33172,1121104,27248,290216,4124,0.00
14,58805,65094,106218,50072650,390115,17,45016,13956,33810,1130811,27248,290216,4124,0.00
15,65310,68074,106218,51041500,454559,17,45016,13956,34632,1155874,27248,290216,4124,0.63
16,74352,78878,106218,52018697,500820,17,45016,13956,35346,1180954,27248,290216,4124,0.87
17,80813,81887,106218,52991082,551283,17,45016,13956,36183,1203442,27248,290216,4124,0.75
18,87965,84586,106218,53963693,581397,17,45016,13956,37187,1224885,27248,290216,4124,0.51
19,92705,87381,106218,54939682,601007,17,45016,13956,38254,1244213,27248,290216,4124,0.29
20,102841,90356,106218,55902988,655133,17,45016,13956,39179,1271973,27248,290216,4124,0.94
21,110549,93314,106218,56871543,736310,17,45016,13956,39878,1299963,27248,290216,4124,0.89
22,112911,109406,106218,58717500,771511,17,45016,13956,41000,1320335,27248,290216,4124,0.49
23,113477,112629,106218,58836966,828961,17,45016,13956,41682,1340356,27248,290216,4124,0.29
24,113477,115701,106218,59827811,831067,17,45016,13956,42493,1348669,27248,290216,4124,0.00
25,113942,118762,106218,60816116,860576,17,45016,13956,43315,1359053,27248,290216,4124,0.03
26,113942,121830,106218,61802905,884125,17,45016,13956,44428,1371119,27248,290216,4124,0.03
27,113942,124914,106218,62793603,909145,17,45016,13956,45216,1379599,27248,290216,4124,0.01
28,113942,127977,106218,63784269,934056,17,45016,13956,45911,1388211,27248,290216,4124,0.00
29,113942,131045,106218,64776006,959999,17,45016,13956,46654,1395699,27248,290216,4124,0.00
30,119500,133646,106218,65752731,1006357,17,45016,13956,47307,1414985,27248,290216,4124,0.47
31,128780,136639,106218,66714975,1068266,17,45016,13956,48280,1446500,27248,290216,4124,1.00
32,134190,139943,106218,68391124,1121506,17,45016,13956,49213,1470597,27248,290216,4124,0.60
33,146461,142762,106218,68650772,1190140,17,45016,13956,50053,1498973,27248,290216,4124,1.01
34,153896,145832,106218,69618212,1243548,17,45016,13956,51078,1524315,27248,290216,4124,0.69
35,158279,148897,106218,70589344,1293799,17,45016,13956,51933,1549054,27248,290216,4124,0.65
36,160702,151971,106218,71561870,1338005,17,45016,13956,52673,1573744,27248,290216,4124,0.49
37,167479,155066,106218,72532136,1391748,17,45016,13956,53484,1598573,27248,290216,4124,0.61
38,180893,158582,106218,74056593,1458956,17,45016,13956,54349,1628873,27248,290216,4124,1.05
39,186556,161295,106218,74466396,1500894,17,45016,13956,55279,1650181,27248,290216,4124,0.50
40,188416,164361,106218,75450979,1531216,17,45016,13956,56109,1663302,27248,290216,4124,0.11
41,195867,167425,106218,76419943,1587109,17,45016,13956,57222,1687847,27248,290216,4124,0.60
42,202399,170498,106218,77391700,1628025,17,45016,13956,57999,1709945,27248,290216,4124,0.49
43,202645,173579,106218,78378874,1631676,17,45016,13956,59021,1721578,27248,290216,4124,0.02
44,205386,176642,106218,79362071,1678882,17,45016,13956,59764,1735231,27248,290216,4124,0.23
45,217132,184696,106218,80331473,1730134,17,45016,13956,60749,1763109,27248,290216,4124,0.89
46,222724,187771,106218,81301741,1782714,17,45016,13956,61795,1787715,27248,290216,4124,0.56
47,226789,190859,106218,82268996,1837887,17,45016,13956,62614,1816217,27248,290216,4124,0.69
48,226789,193930,106218,83253897,1848995,17,45016,13956,63445,1830456,27248,290216,4124,0.20
49,227027,200192,106218,84275848,1907508,17,45016,13956,64163,1838324,27248,290216,4124,0.02
50,227027,203253,106218,85266223,1931656,17,45016,13956,64904,1847184,27248,290216,4124,0.03
51,227027,206322,106218,86259017,1932876,17,45016,13956,65642,1853625,27248,290216,4124,0.00
52,227027,209383,106218,87249087,1938807,17,45016,13956,66377,1862795,27248,290216,4124,0.00
53,238402,212449,106218,88208873,2011272,17,45016,13956,67232,1894707,27248,290216,4124,0.94
54,241227,215442,106218,89182870,2061674,17,45016,13956,68001,1917407,27248,290216,4124,0.48
55,241914,218716,106218,90166069,2085003,17,45016,13956,68992,1933547,27248,290216,4124,0.12
56,244664,221780,106218,91131807,2138816,17,45016,13956,69807,1965136,27248,290216,4124,0.70
57,244664,224781,106218,92121202,2141893,17,45016,13956,70725,1974872,27248,290216,4124,0.02
58,244664,227844,106218,93111827,2163384,17,45016,13956,71412,1983533,27248,290216,4124,0.00
59,244664,230906,106218,94101762,2184864,17,45016,13956,72242,1992743,27248,290216,4124,0.00
60,250705,234151,106218,95379158,2230309,17,45016,13956,72837,2011100,27248,290216,4124,0.33
61,255013,237047,106218,96056748,2265411,17,45016,13956,73701,2031555,27248,290216,4124,0.43
62,262123,240354,106218,97019291,2320339,17,45016,13956,74541,2062747,27248,290216,4124,0.57
63,272299,243120,106218,97983298,2383799,17,45016,13956,75422,2091194,27248,290216,4124,0.88
64,275526,246419,106218,98957231,2446294,17,45016,13956,76300,2114929,27248,290216,4124,0.65
65,275766,249679,106218,99946245,2461404,17,45016,13956,76957,2124799,27248,290216,4124,0.03
66,280736,252923,106218,100922095,2507796,17,45016,13956,77664,2144480,27248,290216,4124,0.38
67,293562,256096,106218,101881706,2580971,17,45016,13956,78497,2175652,27248,290216,4124,1.17
68,302637,259320,106218,102846590,2650121,17,45016,13956,79292,2203673,27248,290216,4124,0.90
69,304424,262560,106218,103822301,2689954,17,45016,13956,80143,2225771,27248,290216,4124,0.43
70,310122,266103,106218,104790258,2735548,17,45016,13956,81247,2252801,27248,290216,4124,0.62
71,318237,268967,106218,105761089,2802444,17,45016,13956,82132,2278428,27248,290216,4124,0.83
72,328548,272199,106218,106725079,2853090,17,45016,13956,83099,2305941,27248,290216,4124,0.92
73,329785,278570,106218,107704856,2889157,17,45016,13956,84158,2326368,27248,290216,4124,0.21
74,333006,291535,106218,108691098,2944461,17,45016,13956,85065,2348199,27248,290216,4124,0.42
75,337674,306047,106218,109672567,2968480,17,45016,13956,85777,2365931,27248,290216,4124,0.33
76,341643,309280,106218,110647370,3016214,17,45016,13956,86698,2386780,27248,290216,4124,0.50
77,352582,312532,106218,111612903,3077063,17,45016,13956,87532,2412113,27248,290216,4124,0.89
78,363856,315170,106218,112571316,3173852,17,45016,13956,88483,2444769,27248,290216,4124,0.97
79,368011,318401,106218,113547782,3192229,17,45016,13956,89448,2463874,27248,290216,4124,0.37
80,375417,321641,106218,114506361,3279464,17,45016,13956,90340,2498601,27248,290216,4124,1.01
81,386987,324637,106218,115467071,3330776,17,45016,13956,91291,2529010,27248,290216,4124,0.96
82,397600,327870,106218,116426991,3398140,17,45016,13956,92298,2559839,27248,290216,4124,0.81
83,404074,331128,106218,117389260,3466474,17,45016,13956,93266,2592605,27248,290216,4124,0.91
84,406216,334239,106218,118371355,3475294,17,45016,13956,94234,2607446,27248,290216,4124,0.17
85,415532,337518,106218,119332382,3564209,17,45016,13956,95280,2638294,27248,290216,4124,0.82
86,424524,340672,106218,120296279,3624045,17,45016,13956,96320,2667193,27248,290216,4124,0.87
87,424768,343927,106218,121278417,3644855,17,45016,13956,97309,2683618,27248,290216,4124,0.15
88,427036,347495,106218,122261694,3684114,17,45016,13956,98043,2697909,27248,290216,4124,0.18
89,436768,350220,106218,123229366,3744379,17,45016,13956,98902,2721702,27248,290216,4124,0.73
90,447589,353441,106218,124188781,3809138,17,45016,13956,99632,2752026,27248,290216,4124,0.99
91,457148,356688,106218,125146939,3870777,17,45016,13956,100631,2784843,27248,290216,4124,0.94
92,468598,359930,106218,126108324,3932382,17,45016,13956,101500,2813992,27248,290216,4124,0.90
93,471063,363165,106218,127089183,3951088,17,45016,13956,102465,2829775,27248,290216,4124,0.20
94,476013,366411,106218,128067897,3999933,17,45016,13956,103061,2846190,27248,290216,4124,0.41
95,483571,369635,106218,129031911,4044251,17,45016,13956,104036,2875635,27248,290216,4124,0.61
96,488981,372880,106218,130001766,4101651,17,45016,13956,105100,2899947,27248,290216,4124,0.57
97,502573,376121,106218,130958530,4175717,17,45016,13956,105980,2932068,27248,290216,4124,1.10
98,512170,379354,106218,131926457,4231624,17,45016,13956,106826,2955382,27248,290216,4124,0.76
99,514444,382600,106218,132911791,4241900,17,45016,13956,107585,2967509,27248,290216,4124,0.20
100,523524,385751,106218,133873077,4326956,17,45016,13956,108415,2997855,27248,290216,4124,0.85
101,536082,388689,106218,134834426,4394502,17,45016,13956,109319,3028040,27248,290216,4124,1.07
102,540270,391535,106218,135811418,4436420,17,45016,13956,110296,3047850,27248,290216,4124,0.45
103,546492,394792,106218,136784831,4464949,17,45016,13956,110961,3068763,27248,290216,4124,0.47
104,553370,397919,106218,137760174,4493286,17,45016,13956,111676,3086826,27248,290216,4124,0.44
105,558827,401330,106218,138736207,4526740,17,45016,13956,112599,3105042,27248,290216,4124,0.36
106,564331,404577,106218,139711557,4551358,17,45016,13956,113166,3124299,27248,290216,4124,0.35
107,568809,407805,106218,140691836,4571688,17,45016,13956,113840,3139680,27248,290216,4124,0.29
108,569029,411022,106218,141670119,4581285,17,45016,13956,114837,3160004,27248,290216,4124,0.09
109,569029,414084,106218,142652178,4599392,17,45016,13956,115908,3177015,27248,290216,4124,0.26
110,569029,421012,106218,143631880,4608517,17,45016,13956,116988,3198394,27248,290216,4124,0.09
111,573552,424119,106218,144607073,4652333,17,45016,13956,117824,3218828,27248,290216,4124,0.28
112,581109,427330,106218,145580501,4678471,17,45016,13956,118352,3238349,27248,290216,4124,0.50
113,587132,430694,106218,146556501,4716683,17,45016,13956,119202,3256424,27248,290216,4124,0.39
114,594479,433723,106218,147531620,4740210,17,45016,13956,119935,3274488,27248,290216,4124,0.46
115,601787,436871,106218,148504012,4781748,17,45016,13956,120731,3295293,27248,290216,4124,0.47
116,609115,440440,106218,149474034,4827596,17,45016,13956,121689,3318583,27248,290216,4124,0.56
117,609749,443255,106218,150450414,4839697,17,45016,13956,122825,3341865,27248,290216,4124,0.17
118,609749,446415,106218,151441964,4840305,17,45016,13956,123662,3350522,27248,290216,4124,0.00
119,609749,449630,106218,152428925,4865988,17,45016,13956,124475,3362565,27248,290216,4124,0.00
120,609749,452864,106218,153419237,4892283,17,45016,13956,125094,3371437,27248,290216,4124,0.00
121,609749,456104,106218,154411535,4893448,17,45016,13956,125719,3378310,27248,290216,4124,0.00
122,609749,459337,106218,155403410,4919027,17,45016,13956,126404,3385553,27248,290216,4124,0.00
123,610005,462567,106218,156390732,4922870,17,45016,13956,127322,3396863,27248,290216,4124,0.01
124,610005,465809,106218,157381538,4933484,17,45016,13956,127999,3405179,27248,290216,4124,0.00
125,610005,469046,106218,158371771,4959591,17,45016,13956,128633,3414111,27248,290216,4124,0.00
126,610005,472282,106218,159360916,4982491,17,45016,13956,129494,3423906,27248,290216,4124,0.00
127,610005,475527,106218,160350033,4987819,17,45016,13956,130219,3433865,27248,290216,4124,0.01
128,610005,481997,106218,162321067,4998786,17,45016,13956,131536,3461118,27248,290216,4124,0.00
129,613578,491704,106218,165269849,5041614,17,45016,13956,134197,3506239,27248,290216,4124,0.09
130,616407,494944,106218,166248428,5058315,17,45016,13956,134868,3524528,27248,290216,4124,0.23
131,621538,498177,106218,167224532,5079663,17,45016,13956,135698,3543266,27248,290216,4124,0.31
132,626377,501399,106218,168202471,5101027,17,45016,13956,136466,3560462,27248,290216,4124,0.30
133,630225,504627,106218,169180892,5119309,17,45016,13956,137322,3577875,27248,290216,4124,0.25
134,645676,513951,106218,172114129,5179115,17,45016,13956,140118,3629116,27248,290216,4124,0.27
135,645676,517164,106218,173093787,5209732,17,45016,13956,140760,3648640,27248,290216,4124,0.24
136,648319,520395,106218,174070987,5247626,17,45016,13956,141436,3668256,27248,290216,4124,0.35
137,655876,530086,106218,177009316,5294308,17,45016,13956,143827,3720632,27248,290216,4124,0.17
138,658687,533244,106218,177985102,5348695,17,45016,13956,144602,3742107,27248,290216,4124,0.39
139,663333,536462,106218,178962782,5369514,17,45016,13956,145507,3759566,27248,290216,4124,0.30
140,668104,539691,106218,179942258,5385674,17,45016,13956,146343,3775196,27248,290216,4124,0.31
141,671086,542915,106218,180920623,5404441,17,45016,13956,147204,3793355,27248,290216,4124,0.19
142,674899,546128,106218,181898972,5417149,17,45016,13956,148101,3810786,27248,290216,4124,0.24
143,685373,552470,106218,183852125,5464434,17,45016,13956,149701,3847096,27248,290216,4124,0.36
144,700044,565082,106218,187768398,5537820,17,45016,13956,153625,3915820,27248,290216,4124,0.28
145,702448,567953,106218,188746162,5555535,17,45016,13956,154563,3934936,27248,290216,4124,0.15
146,707381,570977,106218,189724659,5571665,17,45016,13956,155732,3951227,27248,290216,4124,0.31
147,713025,574139,106218,190699123,5599381,17,45016,13956,156489,3971169,27248,290216,4124,0.35
148,716900,577269,106218,191677853,5625174,17,45016,13956,157264,3988337,27248,290216,4124,0.32
149,716900,580492,106218,192658581,5642198,17,45016,13956,158278,4006413,27248,290216,4124,0.24
150,720385,583713,106218,193635751,5664844,17,45016,13956,159113,4025887,27248,290216,4124,0.32
151,724435,587216,106218,194613461,5682892,17,45016,13956,160106,4043711,27248,290216,4124,0.25
152,725028,590014,106218,195598434,5686003,17,45016,13956,161003,4057387,27248,290216,4124,0.04
153,725028,593254,106218,196580102,5694241,17,45016,13956,162255,4074268,27248,290216,4124,0.03
154,725028,596493,106218,197569749,5695853,17,45016,13956,163003,4083671,27248,290216,4124,0.00
155,725028,599726,106218,198557814,5697035,17,45016,13956,163879,4094533,27248,290216,4124,0.00
156,725028,602957,106218,199548070,5719673,17,45016,13956,164634,4103323,27248,290216,4124,0.01
157,725028,606188,106218,200537396,5741510,17,45016,13956,165405,4113032,27248,290216,4124,0.00
158,725028,609421,106218,201529048,5762749,17,45016,13956,166048,4120540,27248,290216,4124,0.00
159,725028,612652,106218,202521558,5784707,17,45016,13956,166553,4127330,27248,290216,4124,0.00
160,725028,615890,106218,203514601,5809843,17,45016,13956,167123,4133516,27248,290216,4124,0.00
161,726685,619362,106218,204036602,5822386,17,45016,13956,168174,4150885,27248,290216,4124,0.12
162,727392,625660,106218,206471891,5831056,17,45016,13956,169850,4174109,27248,290216,4124,0.00
163,727392,628886,106218,207465257,5852734,17,45016,13956,170398,4179998,27248,290216,4124,0.00
