period,experiment_runn,measurer,main,IDLE,tiT,Tmr Svc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
0,587,4863,104579,18678416,17797,17,45024,13401,11757,789668,27248,290216,4124,0.02
1,6202,15424,104579,19672665,18702,17,45024,13401,12287,794789,27248,290216,4124,0.00
2,6202,18357,104579,20666482,19284,17,45024,13401,12804,800056,27248,290216,4124,0.00
3,11742,21232,104579,21640289,38832,17,45024,13401,13800,821068,27248,290216,4124,0.36
4,11742,24136,104579,22619024,50865,17,45024,13401,14906,840369,27248,290216,4124,0.23
5,11742,29929,104579,24594278,58351,17,45024,13401,16411,861893,27248,290216,4124,0.00
6,11742,35695,104579,26557379,59377,17,45024,13401,17673,897669,27248,290216,4124,0.00
7,11742,38582,104579,27545474,59835,17,45024,13401,18249,908140,27248,290216,4124,0.00
8,11742,41458,104579,28538242,60289,17,45024,13401,18756,914018,27248,290216,4124,0.00
9,11742,44331,104579,29530744,60742,17,45024,13401,19365,920063,27248,290216,4124,0.00
10,11742,47201,104579,30524658,61196,17,45024,13401,19846,924826,27248,290216,4124,0.00
11,12348,50074,104579,31514500,62225,17,45024,13401,20559,932821,27248,290216,4124,0.00
12,12348,52950,104579,32505253,63838,17,45024,13401,21316,940472,27248,290216,4124,0.00
13,12348,55833,104579,33497011,64364,17,45024,13401,21942,947235,27248,290216,4124,0.00
14,12348,58715,104579,34489865,64822,17,45024,13401,22442,953028,27248,290216,4124,0.00
15,12348,61593,104579,35483324,65278,17,45024,13401,22926,958236,27248,290216,4124,0.00
16,12348,64469,104579,36475798,65732,17,45024,13401,23492,964349,27248,290216,4124,0.00
17,12348,70224,104579,38460674,66640,17,45024,13401,24586,976683,27248,290216,4124,0.00
18,12348,73102,104579,39454549,67094,17,45024,13401,25082,981463,27248,290216,4124,0.00
19,12348,75978,104579,40447896,67550,17,45024,13401,25635,986716,27248,290216,4124,0.00
20,12979,78852,104579,41435093,68573,17,45024,13401,26336,997344,27248,290216,4124,0.00
21,12979,81678,104579,42426626,69356,17,45024,13401,26974,1004383,27248,290216,4124,0.00
22,12979,87445,104579,44408073,70399,17,45024,13401,28148,1020053,27248,290216,4124,0.00
23,12979,90324,104579,45397584,70859,17,45024,13401,28748,1029092,27248,290216,4124,0.00
24,12979,96080,104579,47378198,71765,17,45024,13401,29803,1045725,27248,290216,4124,0.00
25,12979,98953,104579,48370835,72219,17,45024,13401,30394,1051653,27248,290216,4124,0.00
26,12979,101826,104579,49364486,72673,17,45024,13401,30878,1056674,27248,290216,4124,0.00
27,12979,104700,104579,50357337,73126,17,45024,13401,31376,1062481,27248,290216,4124,0.00
28,13594,107575,104579,51346378,74051,17,45024,13401,32122,1071234,27248,290216,4124,0.00
29,14214,147079,104579,64870558,81842,17,45024,13401,40497,1532007,27248,290216,4124,0.00
30,14214,150050,104579,65864017,82297,17,45024,13401,41041,1538075,27248,290216,4124,0.00
31,14214,153026,104579,66857767,82752,17,45024,13401,41639,1543791,27248,290216,4124,0.00
32,14214,155997,104579,67848343,84226,17,45024,13401,42273,1552652,27248,290216,4124,0.01
33,14214,158982,104579,68842643,84712,17,45024,13401,42787,1557889,27248,290216,4124,0.00
34,14214,161947,104579,69836356,85168,17,45024,13401,43308,1563731,27248,290216,4124,0.00
35,14823,167714,104579,71818190,86848,17,45024,13401,44758,1579148,27248,290216,4124,0.00
36,14823,173677,104579,73775246,87839,17,45024,13401,46296,1620660,27248,290216,4124,0.00
37,16041,235531,104579,94175068,99094,17,45024,13401,58833,2209654,27248,290216,4124,0.00
38,16041,238503,104579,95168564,99548,17,45024,13401,59353,2215707,27248,290216,4124,0.00
39,16041,241478,104579,96161686,100002,17,45024,13401,59923,2222081,27248,290216,4124,0.00
40,16041,244453,104579,97152843,100456,17,45024,13401,60629,2230284,27248,290216,4124,0.00
41,16651,260170,104579,102104393,103388,17,45024,13401,63758,2274431,27248,290216,4124,0.00
42,16651,263313,104579,103097529,103906,17,45024,13401,64386,2280553,27248,290216,4124,0.00
43,16651,266455,104579,104089642,104366,17,45024,13401,64950,2287764,27248,290216,4124,0.00
44,16651,269598,104579,105083901,104821,17,45024,13401,65437,2292904,27248,290216,4124,0.00
45,16651,272740,104579,106066451,105275,17,45024,13401,65969,2309709,27248,290216,4124,0.00
46,16651,275883,104579,107059034,105839,17,45024,13401,66636,2316345,27248,290216,4124,0.00
47,16651,279023,104579,108051473,106306,17,45024,13401,67257,2323174,27248,290216,4124,0.00
48,16651,282170,104579,109044843,106760,17,45024,13401,67766,2329177,27248,290216,4124,0.00
49,17268,285311,104579,110033126,107658,17,45024,13401,68477,2339454,27248,290216,4124,0.00
50,17268,288457,104579,111025582,108311,17,45024,13401,69150,2346216,27248,290216,4124,0.00
51,17268,291598,104579,112015362,108852,17,45024,13401,69732,2355742,27248,290216,4124,0.00
52,17268,294749,104579,113008752,109306,17,45024,13401,70235,2361727,27248,290216,4124,0.00
53,17520,303864,104579,115906692,112719,17,45024,13401,72426,2461328,27248,290216,4124,0.00
54,17520,310144,104579,117889084,113719,17,45024,13401,73484,2477656,27248,290216,4124,0.00
55,17520,316422,104579,119873288,114979,17,45024,13401,74756,2491960,27248,290216,4124,0.00
56,17520,319569,104579,120863759,115742,17,45024,13401,75387,2500749,27248,290216,4124,0.00
57,17520,322712,104579,121857197,116284,17,45024,13401,75972,2506612,27248,290216,4124,0.00
58,17520,325861,104579,122850016,116843,17,45024,13401,76588,2513058,27248,290216,4124,0.00
59,18132,329000,104579,123842677,117355,17,45024,13401,77097,2519166,27248,290216,4124,0.00
60,18132,332076,104579,124835421,117809,17,45024,13401,77663,2525809,27248,290216,4124,0.00
61,18132,335222,104579,125829543,118262,17,45024,13401,78206,2531028,27248,290216,4124,0.00
62,18132,338365,104579,126822275,118716,17,45024,13401,78765,2537623,27248,290216,4124,0.00
63,18132,341508,104579,127815752,119171,17,45024,13401,79261,2543536,27248,290216,4124,0.00
64,18132,344652,104579,128809388,119625,17,45024,13401,79762,2549284,27248,290216,4124,0.00
65,18132,347797,104579,129800686,120505,17,45024,13401,80511,2557122,27248,290216,4124,0.00
66,18132,350898,104579,130794104,121323,17,45024,13401,81257,2564038,27248,290216,4124,0.00
67,18132,354048,104579,131787629,121839,17,45024,13401,81757,2569892,27248,290216,4124,0.00
68,18132,357192,104579,132780996,122292,17,45024,13401,82250,2575918,27248,290216,4124,0.00
69,18746,363411,104579,134764725,123266,17,45024,13401,83414,2590250,27248,290216,4124,0.00
70,18746,366557,104579,135758010,123720,17,45024,13401,83904,2596358,27248,290216,4124,0.00
71,18746,372843,104579,137743565,124628,17,45024,13401,85089,2609390,27248,290216,4124,0.00
72,18746,375987,104579,138738009,125082,17,45024,13401,85566,2614354,27248,290216,4124,0.00
73,18746,379125,104579,139729366,126105,17,45024,13401,86247,2622207,27248,290216,4124,0.00
74,18746,382280,104579,140722048,126788,17,45024,13401,86928,2628726,27248,290216,4124,0.00
75,19367,394784,104579,144689775,128963,17,45024,13401,89274,2657644,27248,290216,4124,0.00
76,19367,397939,104579,145683416,129424,17,45024,13401,89854,2663297,27248,290216,4124,0.00
77,19367,404227,104579,147668046,130349,17,45024,13401,90852,2677439,27248,290216,4124,0.00
78,19367,407365,104579,148661391,130803,17,45024,13401,91459,2683378,27248,290216,4124,0.00
79,19367,410509,104579,149650921,131756,17,45024,13401,92153,2693039,27248,290216,4124,0.00
80,19367,413665,104579,150641851,132421,17,45024,13401,92852,2701291,27248,290216,4124,0.00
81,19367,416813,104579,151635216,132884,17,45024,13401,93353,2707306,27248,290216,4124,0.00
82,19988,435494,104579,157587668,135657,17,45024,13401,96898,2750181,27248,290216,4124,0.00
83,19988,438638,104579,158580340,136111,17,45024,13401,97402,2756890,27248,290216,4124,0.00
84,20605,466871,104579,167483692,140998,17,45024,13401,102838,2846518,27248,290216,4124,0.00
85,20605,476311,104579,170456971,142904,17,45024,13401,104686,2871042,27248,290216,4124,0.00
86,20605,479454,104579,171448783,143370,17,45024,13401,105306,2878496,27248,290216,4124,0.00
87,20605,482597,104579,172442334,143825,17,45024,13401,105803,2884334,27248,290216,4124,0.00
88,21226,485742,104579,173433390,144312,17,45024,13401,106315,2892030,27248,290216,4124,0.00
89,21226,488818,104579,174426120,144766,17,45024,13401,106952,2898616,27248,290216,4124,0.00
90,21226,495102,104579,176409142,145775,17,45024,13401,108088,2914232,27248,290216,4124,0.00
91,21226,498246,104579,177397714,146226,17,45024,13401,108703,2924930,27248,290216,4124,0.00
92,21226,513970,104579,182350692,149281,17,45024,13401,111973,2968108,27248,290216,4124,0.00
93,21838,517119,104579,183342964,149768,17,45024,13401,112441,2974637,27248,290216,4124,0.00
94,21838,520195,104579,184336171,150222,17,45024,13401,112942,2980882,27248,290216,4124,0.00
95,21838,523340,104579,185328748,150676,17,45024,13401,113566,2987565,27248,290216,4124,0.00
96,21838,529627,104579,187310677,151585,17,45024,13401,114672,3004301,27248,290216,4124,0.00
97,21838,535914,104579,189291527,152925,17,45024,13401,115912,3021982,27248,290216,4124,0.00
98,21838,545354,104579,192265531,154551,17,45024,13401,117823,3045718,27248,290216,4124,0.00
99,22450,548497,104579,193258717,155039,17,45024,13401,118337,3051292,27248,290216,4124,0.00
100,22450,551573,104579,194251593,155493,17,45024,13401,118902,3057804,27248,290216,4124,0.00
period,experiment_runn,measurer,IDLE,tiT,Tmr Svc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
0,597,4868,21058488,17975,17,45013,20735,12636,815860,27248,290216,4092,0.01
1,6257,15748,21112239,18918,17,45013,20735,13309,820791,27248,290216,4092,0.00
2,6257,18345,22107104,19454,17,45013,20735,13817,826600,27248,290216,4092,0.00
3,12482,21216,23076638,48808,17,45013,20735,14789,851636,27248,290216,4092,0.56
4,15017,23981,24045664,107446,17,45013,20735,15768,878635,27248,290216,4092,0.62
5,20793,29965,25994205,282969,17,45013,20735,17498,924196,27248,290216,4092,0.50
6,23777,32960,26966259,360282,17,45013,20735,18550,949400,27248,290216,4092,0.46
7,23777,35953,27953707,412087,17,45013,20735,19549,961002,27248,290216,4092,0.01
8,23777,38935,28939431,504827,17,45013,20735,20327,974555,27248,290216,4092,0.01
9,23777,41920,29923350,563082,17,45013,20735,21280,989734,27248,290216,4092,0.01
10,23777,44902,30910607,612068,17,45013,20735,22064,1001748,27248,290216,4092,0.01
