period,experiment_runn,measurer,IDLE,tiT,Tmr Svc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
0,564,4912,34566312,25793,17,45014,13786,19601,858378,27248,290216,4124,0.04
1,6219,15802,34575714,26721,17,45014,13786,20134,863696,27248,290216,4124,0.00
2,6219,18722,35568691,27296,17,45014,13786,20649,869804,27248,290216,4124,0.00
3,16373,21632,36537270,57019,17,45014,13786,21320,891943,27248,290216,4124,0.53
4,24289,27317,38485719,87160,17,45014,13786,22819,934754,27248,290216,4124,0.32
5,32476,33248,40445284,194599,17,45014,13786,24569,966811,27248,290216,4124,0.31
6,37933,39254,42406196,247364,17,45014,13786,26493,1000865,27248,290216,4124,0.18
7,40825,42450,43382853,269043,17,45014,13786,27278,1021043,27248,290216,4124,0.17
8,45796,45041,44360472,317584,17,45014,13786,28197,1038588,27248,290216,4124,0.32
9,54217,48028,45326914,370313,17,45014,13786,28939,1064709,27248,290216,4124,0.55
10,58151,51002,46303539,400782,17,45014,13786,29932,1084076,27248,290216,4124,0.26
11,58151,56982,48261854,536227,17,45014,13786,32353,1123437,27248,290216,4124,0.01
12,58151,62946,50236152,626588,17,45014,13786,33998,1147602,27248,290216,4124,0.01
13,61485,65936,51212673,686523,17,45014,13786,34977,1167803,27248,290216,4124,0.30
14,64394,74691,54156996,724328,17,45014,13786,37934,1218435,27248,290216,4124,0.00
15,65180,80659,56124698,914887,17,45014,13786,39821,1248172,27248,290216,4124,0.00
16,65180,83644,57110033,923067,17,45014,13786,40712,1262001,27248,290216,4124,0.00
17,65180,86625,58084597,980230,17,45014,13786,41511,1286693,27248,290216,4124,0.01
18,69446,89610,59600929,1061027,17,45014,13786,42304,1312002,27248,290216,4124,0.61
19,69446,92463,60038528,1124954,17,45014,13786,43249,1331112,27248,290216,4124,0.27
20,69446,106120,61027537,1150769,17,45014,13786,44131,1340608,27248,290216,4124,0.00
21,69446,109104,62014023,1222284,17,45014,13786,45012,1353294,27248,290216,4124,0.01
22,69446,112192,63004753,1279346,17,45014,13786,45841,1364010,27248,290216,4124,0.01
23,69446,127950,64011061,1350006,17,45014,13786,46674,1373820,27248,290216,4124,0.01
24,69446,131021,64999913,1399033,17,45014,13786,47450,1384158,27248,290216,4124,0.01
25,71692,134090,65979673,1465305,17,45014,13786,48384,1401470,27248,290216,4124,0.16
26,72123,137174,66960457,1500978,17,45014,13786,49409,1419183,27248,290216,4124,0.21
27,72123,140251,67950403,1519112,17,45014,13786,50232,1428379,27248,290216,4124,0.00
28,72123,143322,68939407,1573165,17,45014,13786,50959,1438614,27248,290216,4124,0.01
29,73041,146296,69923772,1628365,17,45014,13786,51989,1452492,27248,290216,4124,0.04
30,73624,149368,70903714,1633908,17,45014,13786,52954,1471006,27248,290216,4124,0.07
31,73624,152445,71852089,1635221,17,45014,13786,53884,1521665,27248,290216,4124,0.00
32,73624,164236,75736171,1741529,17,45014,13786,57356,1635446,27248,290216,4124,0.01
33,73624,167309,76719687,1763294,17,45014,13786,58124,1651125,27248,290216,4124,0.00
