period,tiT,experiment_runn,measurer,main,IDLE,Tmr Svc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
0,14810,474,0,98829,18550213,17,45036,19740,10516,792085,27250,290248,4092,0.01
1,17418,909,8690,98829,18633739,17,45036,19740,11236,799405,27250,290248,4092,0.00
2,20623,3384,11572,98829,19618483,17,45036,19740,12079,810706,27250,290248,4092,0.05
3,32847,6518,14475,98829,20582522,17,45036,19740,12903,842785,27250,290248,4092,0.58
4,50497,12445,17398,98829,21540916,17,45036,19740,13740,876354,27250,290248,4092,0.72
5,65078,17710,20400,98829,22506473,17,45036,19740,14542,903054,27250,290248,4092,0.70
6,86605,17710,23268,98829,23466690,17,45036,19740,15128,942995,27250,290248,4092,0.11
7,129723,17710,28855,98829,25381599,17,45036,19740,16663,1026671,27250,290248,4092,0.07
8,312964,18240,54388,98829,33976265,17,45036,19740,22109,1420186,27250,290248,4092,0.04
9,322011,18240,60175,98829,35913623,17,45036,19740,23804,1479336,27250,290248,4092,0.02
10,332437,18240,63254,98829,36881689,17,45036,19740,24378,1509873,27250,290248,4092,0.03
11,342374,18240,66232,98829,37847111,17,45036,19740,25000,1542935,27250,290248,4092,0.04
12,344394,18879,69151,98829,38819499,17,45036,19740,25902,1568330,27250,290248,4092,0.00
13,353757,18879,71974,98829,39783409,17,45036,19740,26568,1603090,27250,290248,4092,0.02
14,365113,18879,74937,98829,40746328,17,45036,19740,27069,1640474,27250,290248,4092,0.03
15,371159,18879,77759,98829,41709264,17,45036,19740,27618,1675758,27250,290248,4092,0.01
16,380043,18879,80617,98829,42671750,17,45036,19740,28230,1711671,27250,290248,4092,0.02
17,393751,18879,83608,98829,43630696,17,45036,19740,28822,1751406,27250,290248,4092,0.04
18,399816,18879,86583,98829,44596820,17,45036,19740,29499,1783843,27250,290248,4092,0.02
19,474225,19527,101161,98829,49404219,17,45036,19740,32232,1968522,27250,290248,4092,0.05
20,533691,19527,113258,98829,53252552,17,45036,19740,34293,2115156,27250,290248,4092,0.04
21,582522,19527,121949,98829,56128782,17,45036,19740,35874,2236187,27250,290248,4092,0.08
22,588218,19741,124572,98829,57098809,17,45036,19740,36414,2264403,27250,290248,4092,0.02
23,686388,19741,142281,98829,62853621,17,45036,19740,39476,2500948,27250,290248,4092,0.05
24,885946,20382,175062,98829,73408627,17,45036,19740,45108,2934164,27250,290248,4092,0.05
25,897194,20382,178030,98829,74370050,17,45036,19740,45525,2971957,27250,290248,4092,0.03
26,911803,20382,181106,98829,75331380,17,45036,19740,46001,3009173,27250,290248,4092,0.04
