period,experiment_runn,measurer,main,IDLE,tiT,Tmr Svc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
0,578,525,99207,5010181,9643,17,45038,13655,3770,710849,27250,290248,4124,0.01
1,2515,7929,99207,5191788,11033,17,45038,13655,4573,718160,27250,290248,4124,0.00
2,2515,10585,99207,6183692,12453,17,45038,13655,5285,725264,27250,290248,4124,0.00
3,12373,13218,99207,7145129,29846,17,45038,13655,6192,752274,27250,290248,4124,0.86
4,15597,15944,99207,8111609,40518,17,45038,13655,7131,780506,27250,290248,4124,0.42
5,21343,19111,99207,9033438,90742,17,45038,13655,7894,850653,27250,290248,4124,0.65
6,21343,21839,99207,9964475,134661,17,45038,13655,8548,919011,27250,290248,4124,0.45
7,31214,24601,99207,10918690,155518,17,45038,13655,9219,952682,27250,290248,4124,0.87
8,39872,27513,99207,11846702,191727,17,45038,13655,10058,1013877,27250,290248,4124,0.82
9,48535,30209,99207,12787488,220775,17,45038,13655,10767,1064318,27250,290248,4124,0.75
10,57070,33450,99207,13730567,246231,17,45038,13655,11428,1109895,27250,290248,4124,0.79
11,61514,35912,99207,14679876,267527,17,45038,13655,12233,1153920,27250,290248,4124,0.61
12,64390,38862,99207,15632327,286218,17,45038,13655,12973,1196524,27250,290248,4124,0.41
13,69507,41985,99207,16592795,302422,17,45038,13655,13734,1229121,27250,290248,4124,0.39
14,77884,44719,99207,17537420,325495,17,45038,13655,14361,1274303,27250,290248,4124,0.68
15,83301,47545,99207,18487373,346303,17,45038,13655,15096,1317632,27250,290248,4124,0.57
16,92572,50509,99207,19428140,374894,17,45038,13655,15816,1367094,27250,290248,4124,0.87
17,105057,53299,99207,20355795,412111,17,45038,13655,16423,1427408,27250,290248,4124,0.93
18,110003,56388,99207,21313992,428619,17,45038,13655,17161,1462197,27250,290248,4124,0.38
19,114295,59476,99207,22276420,446914,17,45038,13655,17842,1492757,27250,290248,4124,0.32
20,117057,62595,99207,23235783,460694,17,45038,13655,18478,1528601,27250,290248,4124,0.20
21,121471,65717,99207,24196692,476549,17,45038,13655,19099,1561609,27250,290248,4124,0.33
22,123438,68623,99207,25174211,483682,17,45038,13655,19734,1581705,27250,290248,4124,0.14
23,135519,80246,99207,29045662,539672,17,45038,13655,22329,1691701,27250,290248,4124,0.23
24,136846,83103,99207,30002849,558357,17,45038,13655,23052,1730859,27250,290248,4124,0.13
25,141840,86184,99207,30963635,576079,17,45038,13655,23644,1763218,27250,290248,4124,0.36
26,145493,92214,99207,32895679,607380,17,45038,13655,25025,1822990,27250,290248,4124,0.19
27,146611,98285,99207,36518890,636185,17,45038,13655,26504,1885235,27250,290248,4124,0.09
28,146611,101233,99207,35796883,645841,17,45038,13655,26969,1917719,27250,290248,4124,0.03
29,146611,106709,99207,37728483,664049,17,45038,13655,28082,1983809,27250,290248,4124,0.02
30,146611,109796,99207,38691267,676274,17,45038,13655,28694,2019372,27250,290248,4124,0.05
31,147508,112793,99207,39657940,685113,17,45038,13655,29450,2050095,27250,290248,4124,0.10
32,147829,115734,99207,40624400,693481,17,45038,13655,30508,2080838,27250,290248,4124,0.11
33,148048,121798,99207,42548094,720211,17,45038,13655,31949,2152822,27250,290248,4124,0.12
34,148270,124760,99207,43507930,730756,17,45038,13655,32655,2191332,27250,290248,4124,0.07
35,148270,127841,99207,44467685,738631,17,45038,13655,33440,2229917,27250,290248,4124,0.02
36,148270,130801,99207,45426014,750598,17,45038,13655,34290,2270004,27250,290248,4124,0.04
37,148270,134126,99207,46387333,759878,17,45038,13655,34955,2307172,27250,290248,4124,0.03
38,148270,136669,99207,47343042,770613,17,45038,13655,35578,2350008,27250,290248,4124,0.03
39,148479,139554,99207,48300396,781099,17,45038,13655,36165,2390732,27250,290248,4124,0.04
40,153646,142824,99207,49251546,800066,17,45038,13655,36728,2433809,27250,290248,4124,0.38
41,154221,145768,99207,50203484,817430,17,45038,13655,37363,2479728,27250,290248,4124,0.41
42,157156,148839,99207,51155770,836245,17,45038,13655,38052,2522640,27250,290248,4124,0.39
43,160705,151916,99207,54374991,851412,17,45038,13655,38828,2563474,27250,290248,4124,0.41
44,161404,154896,99207,55362262,865342,17,45038,13655,39490,2605918,27250,290248,4124,0.16
45,161404,157898,99207,54031097,876863,17,45038,13655,40096,2644413,27250,290248,4124,0.03
46,161634,160763,99207,54992449,887427,17,45038,13655,40607,2681278,27250,290248,4124,0.04
47,162930,163833,99207,55949613,900151,17,45038,13655,41180,2720556,27250,290248,4124,0.09
48,166021,166816,99207,56903336,915772,17,45038,13655,42081,2761365,27250,290248,4124,0.28
49,167265,169811,99207,57859080,928451,17,45038,13655,42716,2802350,27250,290248,4124,0.20
50,168335,172716,99207,58821927,938651,17,45038,13655,43509,2837954,27250,290248,4124,0.09
51,168691,176165,99207,59780993,950120,17,45038,13655,44205,2877033,27250,290248,4124,0.12
52,168950,178646,99207,60742955,961052,17,45038,13655,44684,2913145,27250,290248,4124,0.07
53,169336,181585,99207,61700219,972229,17,45038,13655,45177,2953816,27250,290248,4124,0.04
54,173057,187623,99207,63626155,996799,17,45038,13655,46596,3024223,27250,290248,4124,0.14
55,176049,190700,99207,64588916,1010246,17,45038,13655,47236,3056491,27250,290248,4124,0.22
56,180198,193677,99207,68249242,1025137,17,45038,13655,47916,3091634,27250,290248,4124,0.31
57,186919,196462,99207,66495468,1049575,17,45038,13655,48619,3138816,27250,290248,4124,0.59
58,187514,199277,99207,67448982,1063819,17,45038,13655,49479,3182704,27250,290248,4124,0.16
59,188073,204992,99207,69370625,1085646,17,45038,13655,50898,3257192,27250,290248,4124,0.07
60,192490,208097,99207,70320823,1103160,17,45038,13655,51533,3300081,27250,290248,4124,0.37
61,196238,211167,99207,71272795,1120589,17,45038,13655,52305,3341452,27250,290248,4124,0.41
62,197831,214088,99207,72225294,1136691,17,45038,13655,53269,3385087,27250,290248,4124,0.21
63,197831,217128,99207,73186670,1145076,17,45038,13655,54262,3423085,27250,290248,4124,0.05
64,199183,220090,99207,74140667,1159599,17,45038,13655,54890,3466086,27250,290248,4124,0.21
65,204850,222479,99207,75088583,1181287,17,45038,13655,55734,3511563,27250,290248,4124,0.45
66,209590,225585,99207,76042494,1200275,17,45038,13655,56414,3550908,27250,290248,4124,0.39
67,216337,228431,99207,76989758,1222245,17,45038,13655,57146,3595352,27250,290248,4124,0.60
68,216337,231431,99207,77946289,1236187,17,45038,13655,58060,3636924,27250,290248,4124,0.24
69,216337,234035,99207,78895574,1255606,17,45038,13655,58776,3687707,27250,290248,4124,0.06
70,216628,236888,99207,79853187,1266036,17,45038,13655,59329,3728320,27250,290248,4124,0.04
71,216628,239871,99207,80816679,1276410,17,45038,13655,60215,3762695,27250,290248,4124,0.05
72,216628,242971,99207,81775741,1291270,17,45038,13655,61001,3801713,27250,290248,4124,0.04
73,216628,246079,99207,82733943,1304725,17,45038,13655,61622,3842089,27250,290248,4124,0.04
74,218738,248689,99207,83686037,1325027,17,45038,13655,62250,3887845,27250,290248,4124,0.24
75,222933,251663,99207,84635278,1346619,17,45038,13655,62952,3932619,27250,290248,4124,0.40
76,229100,254564,99207,85574217,1373822,17,45038,13655,63584,3986648,27250,290248,4124,0.49
77,234553,257896,99207,86518872,1398201,17,45038,13655,64214,4035215,27250,290248,4124,0.45
78,235712,260545,99207,87477190,1411011,17,45038,13655,64879,4074146,27250,290248,4124,0.30
79,237405,263367,99207,88431430,1427943,17,45038,13655,65639,4115914,27250,290248,4124,0.25
80,237405,266362,99207,89384066,1442751,17,45038,13655,66420,4161401,27250,290248,4124,0.05
81,237405,269334,99207,90340823,1452627,17,45038,13655,67170,4202736,27250,290248,4124,0.03
82,237405,275176,99207,92254645,1473950,17,45038,13655,68680,4285671,27250,290248,4124,0.04
83,237405,278206,99207,93203184,1490977,17,45038,13655,69302,4335501,27250,290248,4124,0.05
84,237405,281175,99207,94151265,1508574,17,45038,13655,70056,4385689,27250,290248,4124,0.05
85,237684,284330,99207,95097793,1527832,17,45038,13655,70801,4436972,27250,290248,4124,0.09
86,244509,287580,99207,96040819,1551913,17,45038,13655,71490,4485337,27250,290248,4124,0.54
87,253399,290814,99207,96981680,1576234,17,45038,13655,72142,4533677,27250,290248,4124,0.70
88,259547,294140,99207,97927792,1597142,17,45038,13655,72860,4579022,27250,290248,4124,0.50
89,264164,297336,99207,98876953,1615935,17,45038,13655,73631,4623248,27250,290248,4124,0.38
